Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
SAL-SAL-00001,Salesforce,sales_cloud,Escalate Salesforce sales_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Low
SAL-SAL-00002,Salesforce,sales_cloud,Edit Salesforce sales_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Low
SAL-SAL-00003,Salesforce,sales_cloud,Reject Salesforce sales_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAL-SAL-00004,Salesforce,sales_cloud,Update Salesforce sales_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Medium
SAL-SAL-00005,Salesforce,sales_cloud,Route Salesforce sales_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAL-SAL-00006,Salesforce,sales_cloud,Update Salesforce sales_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Medium
SAL-SAL-00007,Salesforce,sales_cloud,Route Salesforce sales_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,High
SAL-SAL-00008,Salesforce,sales_cloud,Route Salesforce sales_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,High
SAL-SAL-00009,Salesforce,sales_cloud,Escalate Salesforce sales_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAL-SAL-00010,Salesforce,sales_cloud,Clone Salesforce sales_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-SAL-00011,Salesforce,sales_cloud,Reject Salesforce sales_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-SAL-00012,Salesforce,sales_cloud,Create Salesforce sales_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAL-SAL-00013,Salesforce,sales_cloud,Reject Salesforce sales_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Medium
SAL-SAL-00014,Salesforce,sales_cloud,Route Salesforce sales_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Low
SAL-SAL-00015,Salesforce,sales_cloud,Archive Salesforce sales_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Medium
SAL-SAL-00016,Salesforce,sales_cloud,Delete Salesforce sales_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAL-SAL-00017,Salesforce,sales_cloud,Route Salesforce sales_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-SAL-00018,Salesforce,sales_cloud,Archive Salesforce sales_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,High
SAL-SAL-00019,Salesforce,sales_cloud,Delete Salesforce sales_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,High
SAL-SAL-00020,Salesforce,sales_cloud,Search Salesforce sales_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,High
SAL-SAL-00021,Salesforce,sales_cloud,Clone Salesforce sales_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Low
SAL-SAL-00022,Salesforce,sales_cloud,Route Salesforce sales_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,High
SAL-SAL-00023,Salesforce,sales_cloud,Approve Salesforce sales_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAL-SAL-00024,Salesforce,sales_cloud,Route Salesforce sales_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAL-SAL-00025,Salesforce,sales_cloud,Submit Salesforce sales_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,High
SAL-SAL-00026,Salesforce,sales_cloud,Create Salesforce sales_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Medium
SAL-SAL-00027,Salesforce,sales_cloud,Archive Salesforce sales_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAL-SAL-00028,Salesforce,sales_cloud,Archive Salesforce sales_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-SAL-00029,Salesforce,sales_cloud,Delete Salesforce sales_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,High
SAL-SAL-00030,Salesforce,sales_cloud,Delete Salesforce sales_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAL-SAL-00031,Salesforce,sales_cloud,Validate Salesforce sales_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Medium
SAL-SAL-00032,Salesforce,sales_cloud,Restore Salesforce sales_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Low
SAL-SAL-00033,Salesforce,sales_cloud,Submit Salesforce sales_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAL-SAL-00034,Salesforce,sales_cloud,Clone Salesforce sales_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAL-SAL-00035,Salesforce,sales_cloud,Delete Salesforce sales_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAL-SAL-00036,Salesforce,sales_cloud,Create Salesforce sales_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAL-SAL-00037,Salesforce,sales_cloud,Search Salesforce sales_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAL-SAL-00038,Salesforce,sales_cloud,Route Salesforce sales_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,High
SAL-SAL-00039,Salesforce,sales_cloud,Validate Salesforce sales_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAL-SAL-00040,Salesforce,sales_cloud,Update Salesforce sales_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Medium
SAL-SAL-00041,Salesforce,sales_cloud,Validate Salesforce sales_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Low
SAL-SAL-00042,Salesforce,sales_cloud,Search Salesforce sales_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,High
SAL-SAL-00043,Salesforce,sales_cloud,Archive Salesforce sales_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-SAL-00044,Salesforce,sales_cloud,Delete Salesforce sales_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Low
SAL-SAL-00045,Salesforce,sales_cloud,Delete Salesforce sales_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,High
SAL-SAL-00046,Salesforce,sales_cloud,Delete Salesforce sales_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-SAL-00047,Salesforce,sales_cloud,Clone Salesforce sales_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Medium
SAL-SAL-00048,Salesforce,sales_cloud,Reject Salesforce sales_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,High
SAL-SAL-00049,Salesforce,sales_cloud,Archive Salesforce sales_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Medium
SAL-SAL-00050,Salesforce,sales_cloud,Validate Salesforce sales_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAL-SAL-00051,Salesforce,sales_cloud,Restore Salesforce sales_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAL-SAL-00052,Salesforce,sales_cloud,Approve Salesforce sales_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,High
SAL-SAL-00053,Salesforce,sales_cloud,Reject Salesforce sales_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,High
SAL-SAL-00054,Salesforce,sales_cloud,Edit Salesforce sales_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAL-SAL-00055,Salesforce,sales_cloud,Delete Salesforce sales_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAL-SAL-00056,Salesforce,sales_cloud,Route Salesforce sales_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,High
