Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
SAL-SER-00001,Salesforce,service_cloud,Search Salesforce service_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Low
SAL-SER-00002,Salesforce,service_cloud,Edit Salesforce service_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAL-SER-00003,Salesforce,service_cloud,Route Salesforce service_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-SER-00004,Salesforce,service_cloud,Submit Salesforce service_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,High
SAL-SER-00005,Salesforce,service_cloud,Edit Salesforce service_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-SER-00006,Salesforce,service_cloud,Delete Salesforce service_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Medium
SAL-SER-00007,Salesforce,service_cloud,Search Salesforce service_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAL-SER-00008,Salesforce,service_cloud,Delete Salesforce service_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAL-SER-00009,Salesforce,service_cloud,Archive Salesforce service_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-SER-00010,Salesforce,service_cloud,Edit Salesforce service_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,High
SAL-SER-00011,Salesforce,service_cloud,Escalate Salesforce service_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Low
SAL-SER-00012,Salesforce,service_cloud,Restore Salesforce service_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAL-SER-00013,Salesforce,service_cloud,Escalate Salesforce service_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,High
SAL-SER-00014,Salesforce,service_cloud,Route Salesforce service_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,High
SAL-SER-00015,Salesforce,service_cloud,Delete Salesforce service_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAL-SER-00016,Salesforce,service_cloud,Search Salesforce service_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,High
SAL-SER-00017,Salesforce,service_cloud,Restore Salesforce service_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Low
SAL-SER-00018,Salesforce,service_cloud,Archive Salesforce service_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAL-SER-00019,Salesforce,service_cloud,Archive Salesforce service_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAL-SER-00020,Salesforce,service_cloud,Escalate Salesforce service_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,High
SAL-SER-00021,Salesforce,service_cloud,Clone Salesforce service_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAL-SER-00022,Salesforce,service_cloud,Submit Salesforce service_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-SER-00023,Salesforce,service_cloud,Submit Salesforce service_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Low
SAL-SER-00024,Salesforce,service_cloud,Archive Salesforce service_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-SER-00025,Salesforce,service_cloud,Archive Salesforce service_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
