Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
SER-HRS-00001,ServiceNow,hrsd,Update ServiceNow hrsd,ServiceNow test data ready,Open module > perform action > validate result,Success,Low
SER-HRS-00002,ServiceNow,hrsd,Reject ServiceNow hrsd,ServiceNow test data ready,Initiate integration > check queue > confirm completion,Success,Low
SER-HRS-00003,ServiceNow,hrsd,Edit ServiceNow hrsd,ServiceNow test data ready,Open module > perform action > validate result,Success,Medium
SER-HRS-00004,ServiceNow,hrsd,Edit ServiceNow hrsd,ServiceNow test data ready,Submit transaction > sync system > reconcile report,Success,Low
SER-HRS-00005,ServiceNow,hrsd,Archive ServiceNow hrsd,ServiceNow test data ready,Create record > route approval > verify status,Success,Low
SER-HRS-00006,ServiceNow,hrsd,Archive ServiceNow hrsd,ServiceNow test data ready,Initiate integration > check queue > confirm completion,Success,Low
SER-HRS-00007,ServiceNow,hrsd,Create ServiceNow hrsd,ServiceNow test data ready,Create record > route approval > verify status,Success,Low
SER-HRS-00008,ServiceNow,hrsd,Update ServiceNow hrsd,ServiceNow test data ready,Open module > perform action > validate result,Success,Medium
SER-HRS-00009,ServiceNow,hrsd,Approve ServiceNow hrsd,ServiceNow test data ready,Open module > perform action > validate result,Success,High
SER-HRS-00010,ServiceNow,hrsd,Clone ServiceNow hrsd,ServiceNow test data ready,Submit transaction > sync system > reconcile report,Success,High
SER-HRS-00011,ServiceNow,hrsd,Escalate ServiceNow hrsd,ServiceNow test data ready,Submit transaction > sync system > reconcile report,Success,High
SER-HRS-00012,ServiceNow,hrsd,Create ServiceNow hrsd,ServiceNow test data ready,Create record > route approval > verify status,Success,Medium
SER-HRS-00013,ServiceNow,hrsd,Validate ServiceNow hrsd,ServiceNow test data ready,Open module > perform action > validate result,Success,Medium
SER-HRS-00014,ServiceNow,hrsd,Archive ServiceNow hrsd,ServiceNow test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SER-HRS-00015,ServiceNow,hrsd,Restore ServiceNow hrsd,ServiceNow test data ready,Open module > perform action > validate result,Success,Low
SER-HRS-00016,ServiceNow,hrsd,Archive ServiceNow hrsd,ServiceNow test data ready,Submit transaction > sync system > reconcile report,Success,Low
SER-HRS-00017,ServiceNow,hrsd,Update ServiceNow hrsd,ServiceNow test data ready,Create record > route approval > verify status,Success,High
SER-HRS-00018,ServiceNow,hrsd,Edit ServiceNow hrsd,ServiceNow test data ready,Initiate integration > check queue > confirm completion,Success,High
SER-HRS-00019,ServiceNow,hrsd,Reject ServiceNow hrsd,ServiceNow test data ready,Submit transaction > sync system > reconcile report,Success,High
SER-HRS-00020,ServiceNow,hrsd,Update ServiceNow hrsd,ServiceNow test data ready,Initiate integration > check queue > confirm completion,Success,High
SER-HRS-00021,ServiceNow,hrsd,Create ServiceNow hrsd,ServiceNow test data ready,Open module > perform action > validate result,Success,Medium
SER-HRS-00022,ServiceNow,hrsd,Update ServiceNow hrsd,ServiceNow test data ready,Submit transaction > sync system > reconcile report,Success,Low
SER-HRS-00023,ServiceNow,hrsd,Update ServiceNow hrsd,ServiceNow test data ready,Submit transaction > sync system > reconcile report,Success,High
SER-HRS-00024,ServiceNow,hrsd,Submit ServiceNow hrsd,ServiceNow test data ready,Submit transaction > sync system > reconcile report,Success,High
SER-HRS-00025,ServiceNow,hrsd,Approve ServiceNow hrsd,ServiceNow test data ready,Create record > route approval > verify status,Success,Low
SER-HRS-00026,ServiceNow,hrsd,Submit ServiceNow hrsd,ServiceNow test data ready,Create record > route approval > verify status,Success,Medium
SER-HRS-00027,ServiceNow,hrsd,Clone ServiceNow hrsd,ServiceNow test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SER-HRS-00028,ServiceNow,hrsd,Search ServiceNow hrsd,ServiceNow test data ready,Initiate integration > check queue > confirm completion,Success,Low
SER-HRS-00029,ServiceNow,hrsd,Restore ServiceNow hrsd,ServiceNow test data ready,Submit transaction > sync system > reconcile report,Success,High
SER-HRS-00030,ServiceNow,hrsd,Clone ServiceNow hrsd,ServiceNow test data ready,Submit transaction > sync system > reconcile report,Success,High
SER-HRS-00031,ServiceNow,hrsd,Approve ServiceNow hrsd,ServiceNow test data ready,Submit transaction > sync system > reconcile report,Success,Low
SER-HRS-00032,ServiceNow,hrsd,Submit ServiceNow hrsd,ServiceNow test data ready,Submit transaction > sync system > reconcile report,Success,Low
SER-HRS-00033,ServiceNow,hrsd,Search ServiceNow hrsd,ServiceNow test data ready,Create record > route approval > verify status,Success,Medium
SER-HRS-00034,ServiceNow,hrsd,Edit ServiceNow hrsd,ServiceNow test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SER-HRS-00035,ServiceNow,hrsd,Create ServiceNow hrsd,ServiceNow test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SER-HRS-00036,ServiceNow,hrsd,Delete ServiceNow hrsd,ServiceNow test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SER-HRS-00037,ServiceNow,hrsd,Approve ServiceNow hrsd,ServiceNow test data ready,Submit transaction > sync system > reconcile report,Success,High
SER-HRS-00038,ServiceNow,hrsd,Update ServiceNow hrsd,ServiceNow test data ready,Initiate integration > check queue > confirm completion,Success,High
