Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
SNO-GOV-00001,Snowflake,governance,Delete Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,Medium
SNO-GOV-00002,Snowflake,governance,Approve Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,Low
SNO-GOV-00003,Snowflake,governance,Validate Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-GOV-00004,Snowflake,governance,Clone Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,High
SNO-GOV-00005,Snowflake,governance,Clone Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SNO-GOV-00006,Snowflake,governance,Approve Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-GOV-00007,Snowflake,governance,Reject Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,High
SNO-GOV-00008,Snowflake,governance,Create Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Low
SNO-GOV-00009,Snowflake,governance,Create Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-GOV-00010,Snowflake,governance,Edit Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Low
SNO-GOV-00011,Snowflake,governance,Search Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Low
SNO-GOV-00012,Snowflake,governance,Escalate Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,High
SNO-GOV-00013,Snowflake,governance,Edit Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,High
SNO-GOV-00014,Snowflake,governance,Route Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SNO-GOV-00015,Snowflake,governance,Search Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-GOV-00016,Snowflake,governance,Clone Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-GOV-00017,Snowflake,governance,Archive Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-GOV-00018,Snowflake,governance,Reject Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,Medium
SNO-GOV-00019,Snowflake,governance,Archive Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-GOV-00020,Snowflake,governance,Validate Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-GOV-00021,Snowflake,governance,Validate Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Low
SNO-GOV-00022,Snowflake,governance,Submit Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,Medium
SNO-GOV-00023,Snowflake,governance,Validate Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SNO-GOV-00024,Snowflake,governance,Delete Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-GOV-00025,Snowflake,governance,Validate Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,High
SNO-GOV-00026,Snowflake,governance,Edit Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SNO-GOV-00027,Snowflake,governance,Submit Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SNO-GOV-00028,Snowflake,governance,Archive Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Low
SNO-GOV-00029,Snowflake,governance,Archive Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Low
SNO-GOV-00030,Snowflake,governance,Approve Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,Medium
SNO-GOV-00031,Snowflake,governance,Archive Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,Medium
SNO-GOV-00032,Snowflake,governance,Update Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Low
SNO-GOV-00033,Snowflake,governance,Create Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-GOV-00034,Snowflake,governance,Submit Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Low
SNO-GOV-00035,Snowflake,governance,Route Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,Low
SNO-GOV-00036,Snowflake,governance,Delete Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SNO-GOV-00037,Snowflake,governance,Create Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-GOV-00038,Snowflake,governance,Validate Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Low
SNO-GOV-00039,Snowflake,governance,Escalate Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,Low
SNO-GOV-00040,Snowflake,governance,Submit Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-GOV-00041,Snowflake,governance,Archive Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-GOV-00042,Snowflake,governance,Reject Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-GOV-00043,Snowflake,governance,Escalate Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-GOV-00044,Snowflake,governance,Update Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,High
SNO-GOV-00045,Snowflake,governance,Update Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SNO-GOV-00046,Snowflake,governance,Restore Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,High
SNO-GOV-00047,Snowflake,governance,Approve Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,Low
SNO-GOV-00048,Snowflake,governance,Clone Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SNO-GOV-00049,Snowflake,governance,Update Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Low
SNO-GOV-00050,Snowflake,governance,Create Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,High
SNO-GOV-00051,Snowflake,governance,Reject Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Low
SNO-GOV-00052,Snowflake,governance,Delete Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,High
SNO-GOV-00053,Snowflake,governance,Validate Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Low
SNO-GOV-00054,Snowflake,governance,Update Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Low
SNO-GOV-00055,Snowflake,governance,Clone Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,High
SNO-GOV-00056,Snowflake,governance,Search Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,Low
SNO-GOV-00057,Snowflake,governance,Edit Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SNO-GOV-00058,Snowflake,governance,Create Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,Low
SNO-GOV-00059,Snowflake,governance,Update Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,High
SNO-GOV-00060,Snowflake,governance,Escalate Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-GOV-00061,Snowflake,governance,Search Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Low
SNO-GOV-00062,Snowflake,governance,Edit Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,High
SNO-GOV-00063,Snowflake,governance,Update Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-GOV-00064,Snowflake,governance,Submit Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,Low
SNO-GOV-00065,Snowflake,governance,Create Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-GOV-00066,Snowflake,governance,Clone Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-GOV-00067,Snowflake,governance,Validate Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,High
SNO-GOV-00068,Snowflake,governance,Archive Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-GOV-00069,Snowflake,governance,Submit Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-GOV-00070,Snowflake,governance,Archive Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Low
SNO-GOV-00071,Snowflake,governance,Submit Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,High
SNO-GOV-00072,Snowflake,governance,Reject Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,High
SNO-GOV-00073,Snowflake,governance,Submit Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-GOV-00074,Snowflake,governance,Update Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-GOV-00075,Snowflake,governance,Validate Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,Medium
SNO-GOV-00076,Snowflake,governance,Reject Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,High
SNO-GOV-00077,Snowflake,governance,Escalate Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Low
SNO-GOV-00078,Snowflake,governance,Reject Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-GOV-00079,Snowflake,governance,Clone Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,High
SNO-GOV-00080,Snowflake,governance,Escalate Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SNO-GOV-00081,Snowflake,governance,Restore Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SNO-GOV-00082,Snowflake,governance,Reject Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SNO-GOV-00083,Snowflake,governance,Search Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SNO-GOV-00084,Snowflake,governance,Search Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-GOV-00085,Snowflake,governance,Validate Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,High
SNO-GOV-00086,Snowflake,governance,Edit Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SNO-GOV-00087,Snowflake,governance,Create Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,High
SNO-GOV-00088,Snowflake,governance,Approve Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SNO-GOV-00089,Snowflake,governance,Archive Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SNO-GOV-00090,Snowflake,governance,Update Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-GOV-00091,Snowflake,governance,Archive Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Low
SNO-GOV-00092,Snowflake,governance,Validate Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,High
SNO-GOV-00093,Snowflake,governance,Route Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Low
SNO-GOV-00094,Snowflake,governance,Update Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-GOV-00095,Snowflake,governance,Validate Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,Medium
SNO-GOV-00096,Snowflake,governance,Archive Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,Low
SNO-GOV-00097,Snowflake,governance,Archive Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Low
SNO-GOV-00098,Snowflake,governance,Search Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,High
SNO-GOV-00099,Snowflake,governance,Escalate Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,High
SNO-GOV-00100,Snowflake,governance,Restore Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Low
SNO-GOV-00101,Snowflake,governance,Create Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-GOV-00102,Snowflake,governance,Edit Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Low
SNO-GOV-00103,Snowflake,governance,Edit Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,Low
SNO-GOV-00104,Snowflake,governance,Update Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-GOV-00105,Snowflake,governance,Approve Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-GOV-00106,Snowflake,governance,Clone Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Low
SNO-GOV-00107,Snowflake,governance,Validate Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Low
SNO-GOV-00108,Snowflake,governance,Restore Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-GOV-00109,Snowflake,governance,Archive Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,High
SNO-GOV-00110,Snowflake,governance,Restore Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-GOV-00111,Snowflake,governance,Search Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Low
SNO-GOV-00112,Snowflake,governance,Edit Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Low
SNO-GOV-00113,Snowflake,governance,Edit Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-GOV-00114,Snowflake,governance,Route Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,Medium
SNO-GOV-00115,Snowflake,governance,Route Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,Low
SNO-GOV-00116,Snowflake,governance,Submit Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Low
SNO-GOV-00117,Snowflake,governance,Update Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SNO-GOV-00118,Snowflake,governance,Update Snowflake governance,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-GOV-00119,Snowflake,governance,Approve Snowflake governance,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-GOV-00120,Snowflake,governance,Clone Snowflake governance,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,High
SNO-GOV-00121,Snowflake,governance,Restore Snowflake governance,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Low
