Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
SNO-PIP-00001,Snowflake,pipelines,Archive Snowflake pipelines,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,High
SNO-PIP-00002,Snowflake,pipelines,Reject Snowflake pipelines,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,High
SNO-PIP-00003,Snowflake,pipelines,Update Snowflake pipelines,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Low
SNO-PIP-00004,Snowflake,pipelines,Update Snowflake pipelines,Snowflake test data ready,Open module > perform action > validate result,Success,Medium
SNO-PIP-00005,Snowflake,pipelines,Delete Snowflake pipelines,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,High
SNO-PIP-00006,Snowflake,pipelines,Validate Snowflake pipelines,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,High
SNO-PIP-00007,Snowflake,pipelines,Submit Snowflake pipelines,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SNO-PIP-00008,Snowflake,pipelines,Delete Snowflake pipelines,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SNO-PIP-00009,Snowflake,pipelines,Clone Snowflake pipelines,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-PIP-00010,Snowflake,pipelines,Reject Snowflake pipelines,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,High
SNO-PIP-00011,Snowflake,pipelines,Clone Snowflake pipelines,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SNO-PIP-00012,Snowflake,pipelines,Validate Snowflake pipelines,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,High
SNO-PIP-00013,Snowflake,pipelines,Archive Snowflake pipelines,Snowflake test data ready,Open module > perform action > validate result,Success,Medium
SNO-PIP-00014,Snowflake,pipelines,Validate Snowflake pipelines,Snowflake test data ready,Open module > perform action > validate result,Success,Low
SNO-PIP-00015,Snowflake,pipelines,Reject Snowflake pipelines,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-PIP-00016,Snowflake,pipelines,Create Snowflake pipelines,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,High
SNO-PIP-00017,Snowflake,pipelines,Approve Snowflake pipelines,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-PIP-00018,Snowflake,pipelines,Reject Snowflake pipelines,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SNO-PIP-00019,Snowflake,pipelines,Submit Snowflake pipelines,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-PIP-00020,Snowflake,pipelines,Edit Snowflake pipelines,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-PIP-00021,Snowflake,pipelines,Approve Snowflake pipelines,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-PIP-00022,Snowflake,pipelines,Submit Snowflake pipelines,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-PIP-00023,Snowflake,pipelines,Validate Snowflake pipelines,Snowflake test data ready,Create record > route approval > verify status,Success,High
SNO-PIP-00024,Snowflake,pipelines,Submit Snowflake pipelines,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-PIP-00025,Snowflake,pipelines,Approve Snowflake pipelines,Snowflake test data ready,Open module > perform action > validate result,Success,Low
SNO-PIP-00026,Snowflake,pipelines,Archive Snowflake pipelines,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-PIP-00027,Snowflake,pipelines,Delete Snowflake pipelines,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,High
SNO-PIP-00028,Snowflake,pipelines,Escalate Snowflake pipelines,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Low
SNO-PIP-00029,Snowflake,pipelines,Route Snowflake pipelines,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-PIP-00030,Snowflake,pipelines,Escalate Snowflake pipelines,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-PIP-00031,Snowflake,pipelines,Archive Snowflake pipelines,Snowflake test data ready,Create record > route approval > verify status,Success,Low
