Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
SNO-STO-00001,Snowflake,storage,Create Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-STO-00002,Snowflake,storage,Route Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-STO-00003,Snowflake,storage,Approve Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-STO-00004,Snowflake,storage,Submit Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-STO-00005,Snowflake,storage,Escalate Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-STO-00006,Snowflake,storage,Delete Snowflake storage,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SNO-STO-00007,Snowflake,storage,Update Snowflake storage,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SNO-STO-00008,Snowflake,storage,Delete Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-STO-00009,Snowflake,storage,Approve Snowflake storage,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Low
SNO-STO-00010,Snowflake,storage,Restore Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-STO-00011,Snowflake,storage,Create Snowflake storage,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,High
SNO-STO-00012,Snowflake,storage,Approve Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-STO-00013,Snowflake,storage,Archive Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-STO-00014,Snowflake,storage,Submit Snowflake storage,Snowflake test data ready,Open module > perform action > validate result,Success,Low
SNO-STO-00015,Snowflake,storage,Reject Snowflake storage,Snowflake test data ready,Open module > perform action > validate result,Success,Medium
SNO-STO-00016,Snowflake,storage,Submit Snowflake storage,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,High
SNO-STO-00017,Snowflake,storage,Search Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-STO-00018,Snowflake,storage,Archive Snowflake storage,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SNO-STO-00019,Snowflake,storage,Archive Snowflake storage,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Low
SNO-STO-00020,Snowflake,storage,Reject Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,High
SNO-STO-00021,Snowflake,storage,Edit Snowflake storage,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SNO-STO-00022,Snowflake,storage,Archive Snowflake storage,Snowflake test data ready,Open module > perform action > validate result,Success,Medium
SNO-STO-00023,Snowflake,storage,Approve Snowflake storage,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,High
SNO-STO-00024,Snowflake,storage,Approve Snowflake storage,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SNO-STO-00025,Snowflake,storage,Route Snowflake storage,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,High
SNO-STO-00026,Snowflake,storage,Submit Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-STO-00027,Snowflake,storage,Approve Snowflake storage,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Low
SNO-STO-00028,Snowflake,storage,Restore Snowflake storage,Snowflake test data ready,Open module > perform action > validate result,Success,Medium
SNO-STO-00029,Snowflake,storage,Escalate Snowflake storage,Snowflake test data ready,Open module > perform action > validate result,Success,Medium
SNO-STO-00030,Snowflake,storage,Validate Snowflake storage,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,High
SNO-STO-00031,Snowflake,storage,Approve Snowflake storage,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,High
SNO-STO-00032,Snowflake,storage,Restore Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-STO-00033,Snowflake,storage,Escalate Snowflake storage,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,High
SNO-STO-00034,Snowflake,storage,Approve Snowflake storage,Snowflake test data ready,Open module > perform action > validate result,Success,Low
SNO-STO-00035,Snowflake,storage,Submit Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-STO-00036,Snowflake,storage,Route Snowflake storage,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SNO-STO-00037,Snowflake,storage,Archive Snowflake storage,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-STO-00038,Snowflake,storage,Create Snowflake storage,Snowflake test data ready,Open module > perform action > validate result,Success,Medium
SNO-STO-00039,Snowflake,storage,Reject Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-STO-00040,Snowflake,storage,Submit Snowflake storage,Snowflake test data ready,Open module > perform action > validate result,Success,Low
SNO-STO-00041,Snowflake,storage,Approve Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,High
SNO-STO-00042,Snowflake,storage,Search Snowflake storage,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SNO-STO-00043,Snowflake,storage,Escalate Snowflake storage,Snowflake test data ready,Open module > perform action > validate result,Success,Medium
SNO-STO-00044,Snowflake,storage,Update Snowflake storage,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,High
SNO-STO-00045,Snowflake,storage,Route Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-STO-00046,Snowflake,storage,Update Snowflake storage,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SNO-STO-00047,Snowflake,storage,Update Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,High
SNO-STO-00048,Snowflake,storage,Archive Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-STO-00049,Snowflake,storage,Create Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,High
SNO-STO-00050,Snowflake,storage,Search Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-STO-00051,Snowflake,storage,Approve Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-STO-00052,Snowflake,storage,Create Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,High
SNO-STO-00053,Snowflake,storage,Approve Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-STO-00054,Snowflake,storage,Approve Snowflake storage,Snowflake test data ready,Open module > perform action > validate result,Success,High
SNO-STO-00055,Snowflake,storage,Update Snowflake storage,Snowflake test data ready,Submit transaction > sync system > reconcile report,Success,Low
SNO-STO-00056,Snowflake,storage,Validate Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Medium
SNO-STO-00057,Snowflake,storage,Escalate Snowflake storage,Snowflake test data ready,Open module > perform action > validate result,Success,Medium
SNO-STO-00058,Snowflake,storage,Reject Snowflake storage,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SNO-STO-00059,Snowflake,storage,Clone Snowflake storage,Snowflake test data ready,Create record > route approval > verify status,Success,Low
SNO-STO-00060,Snowflake,storage,Reject Snowflake storage,Snowflake test data ready,Initiate integration > check queue > confirm completion,Success,Medium
