Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
SPL-DAS-00001,Splunk,dashboards,Escalate Splunk dashboards,Splunk test data ready,Open module > perform action > validate result,Success,Low
SPL-DAS-00002,Splunk,dashboards,Validate Splunk dashboards,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SPL-DAS-00003,Splunk,dashboards,Route Splunk dashboards,Splunk test data ready,Create record > route approval > verify status,Success,Low
SPL-DAS-00004,Splunk,dashboards,Delete Splunk dashboards,Splunk test data ready,Create record > route approval > verify status,Success,Low
SPL-DAS-00005,Splunk,dashboards,Create Splunk dashboards,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,Low
SPL-DAS-00006,Splunk,dashboards,Escalate Splunk dashboards,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,High
SPL-DAS-00007,Splunk,dashboards,Edit Splunk dashboards,Splunk test data ready,Create record > route approval > verify status,Success,Medium
SPL-DAS-00008,Splunk,dashboards,Clone Splunk dashboards,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SPL-DAS-00009,Splunk,dashboards,Delete Splunk dashboards,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SPL-DAS-00010,Splunk,dashboards,Archive Splunk dashboards,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,High
SPL-DAS-00011,Splunk,dashboards,Create Splunk dashboards,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,Low
SPL-DAS-00012,Splunk,dashboards,Route Splunk dashboards,Splunk test data ready,Open module > perform action > validate result,Success,Medium
SPL-DAS-00013,Splunk,dashboards,Edit Splunk dashboards,Splunk test data ready,Open module > perform action > validate result,Success,Low
SPL-DAS-00014,Splunk,dashboards,Submit Splunk dashboards,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,High
SPL-DAS-00015,Splunk,dashboards,Approve Splunk dashboards,Splunk test data ready,Open module > perform action > validate result,Success,High
SPL-DAS-00016,Splunk,dashboards,Route Splunk dashboards,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,Low
SPL-DAS-00017,Splunk,dashboards,Edit Splunk dashboards,Splunk test data ready,Create record > route approval > verify status,Success,Low
SPL-DAS-00018,Splunk,dashboards,Restore Splunk dashboards,Splunk test data ready,Open module > perform action > validate result,Success,Medium
SPL-DAS-00019,Splunk,dashboards,Archive Splunk dashboards,Splunk test data ready,Create record > route approval > verify status,Success,Medium
SPL-DAS-00020,Splunk,dashboards,Approve Splunk dashboards,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SPL-DAS-00021,Splunk,dashboards,Validate Splunk dashboards,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SPL-DAS-00022,Splunk,dashboards,Search Splunk dashboards,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SPL-DAS-00023,Splunk,dashboards,Route Splunk dashboards,Splunk test data ready,Open module > perform action > validate result,Success,High
SPL-DAS-00024,Splunk,dashboards,Update Splunk dashboards,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SPL-DAS-00025,Splunk,dashboards,Validate Splunk dashboards,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,Low
SPL-DAS-00026,Splunk,dashboards,Delete Splunk dashboards,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SPL-DAS-00027,Splunk,dashboards,Clone Splunk dashboards,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,Low
SPL-DAS-00028,Splunk,dashboards,Search Splunk dashboards,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SPL-DAS-00029,Splunk,dashboards,Create Splunk dashboards,Splunk test data ready,Create record > route approval > verify status,Success,Medium
SPL-DAS-00030,Splunk,dashboards,Archive Splunk dashboards,Splunk test data ready,Create record > route approval > verify status,Success,Medium
SPL-DAS-00031,Splunk,dashboards,Escalate Splunk dashboards,Splunk test data ready,Open module > perform action > validate result,Success,Low
SPL-DAS-00032,Splunk,dashboards,Update Splunk dashboards,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,High
SPL-DAS-00033,Splunk,dashboards,Escalate Splunk dashboards,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SPL-DAS-00034,Splunk,dashboards,Create Splunk dashboards,Splunk test data ready,Open module > perform action > validate result,Success,Medium
SPL-DAS-00035,Splunk,dashboards,Create Splunk dashboards,Splunk test data ready,Create record > route approval > verify status,Success,Medium
SPL-DAS-00036,Splunk,dashboards,Approve Splunk dashboards,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,High
SPL-DAS-00037,Splunk,dashboards,Route Splunk dashboards,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,Low
SPL-DAS-00038,Splunk,dashboards,Clone Splunk dashboards,Splunk test data ready,Open module > perform action > validate result,Success,Low
SPL-DAS-00039,Splunk,dashboards,Route Splunk dashboards,Splunk test data ready,Open module > perform action > validate result,Success,Medium
SPL-DAS-00040,Splunk,dashboards,Restore Splunk dashboards,Splunk test data ready,Open module > perform action > validate result,Success,High
SPL-DAS-00041,Splunk,dashboards,Reject Splunk dashboards,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,Low
SPL-DAS-00042,Splunk,dashboards,Archive Splunk dashboards,Splunk test data ready,Create record > route approval > verify status,Success,High
SPL-DAS-00043,Splunk,dashboards,Route Splunk dashboards,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,Low
SPL-DAS-00044,Splunk,dashboards,Restore Splunk dashboards,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,High
SPL-DAS-00045,Splunk,dashboards,Reject Splunk dashboards,Splunk test data ready,Create record > route approval > verify status,Success,High
SPL-DAS-00046,Splunk,dashboards,Approve Splunk dashboards,Splunk test data ready,Create record > route approval > verify status,Success,Low
SPL-DAS-00047,Splunk,dashboards,Archive Splunk dashboards,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,High
SPL-DAS-00048,Splunk,dashboards,Clone Splunk dashboards,Splunk test data ready,Open module > perform action > validate result,Success,High
SPL-DAS-00049,Splunk,dashboards,Escalate Splunk dashboards,Splunk test data ready,Open module > perform action > validate result,Success,Medium
SPL-DAS-00050,Splunk,dashboards,Clone Splunk dashboards,Splunk test data ready,Open module > perform action > validate result,Success,High
SPL-DAS-00051,Splunk,dashboards,Search Splunk dashboards,Splunk test data ready,Create record > route approval > verify status,Success,Low
SPL-DAS-00052,Splunk,dashboards,Create Splunk dashboards,Splunk test data ready,Open module > perform action > validate result,Success,Low
SPL-DAS-00053,Splunk,dashboards,Update Splunk dashboards,Splunk test data ready,Create record > route approval > verify status,Success,High
SPL-DAS-00054,Splunk,dashboards,Search Splunk dashboards,Splunk test data ready,Create record > route approval > verify status,Success,Low
SPL-DAS-00055,Splunk,dashboards,Reject Splunk dashboards,Splunk test data ready,Create record > route approval > verify status,Success,Medium
SPL-DAS-00056,Splunk,dashboards,Approve Splunk dashboards,Splunk test data ready,Open module > perform action > validate result,Success,Low
SPL-DAS-00057,Splunk,dashboards,Edit Splunk dashboards,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,High
SPL-DAS-00058,Splunk,dashboards,Archive Splunk dashboards,Splunk test data ready,Create record > route approval > verify status,Success,Medium
SPL-DAS-00059,Splunk,dashboards,Restore Splunk dashboards,Splunk test data ready,Open module > perform action > validate result,Success,High
SPL-DAS-00060,Splunk,dashboards,Route Splunk dashboards,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SPL-DAS-00061,Splunk,dashboards,Reject Splunk dashboards,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,High
