Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
SPL-REP-00001,Splunk,reports,Approve Splunk reports,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,High
SPL-REP-00002,Splunk,reports,Reject Splunk reports,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,High
SPL-REP-00003,Splunk,reports,Create Splunk reports,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SPL-REP-00004,Splunk,reports,Update Splunk reports,Splunk test data ready,Create record > route approval > verify status,Success,High
SPL-REP-00005,Splunk,reports,Archive Splunk reports,Splunk test data ready,Open module > perform action > validate result,Success,Low
SPL-REP-00006,Splunk,reports,Escalate Splunk reports,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,Low
SPL-REP-00007,Splunk,reports,Escalate Splunk reports,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,Low
SPL-REP-00008,Splunk,reports,Approve Splunk reports,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,High
SPL-REP-00009,Splunk,reports,Route Splunk reports,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SPL-REP-00010,Splunk,reports,Create Splunk reports,Splunk test data ready,Open module > perform action > validate result,Success,Medium
SPL-REP-00011,Splunk,reports,Search Splunk reports,Splunk test data ready,Open module > perform action > validate result,Success,Medium
SPL-REP-00012,Splunk,reports,Route Splunk reports,Splunk test data ready,Open module > perform action > validate result,Success,Low
SPL-REP-00013,Splunk,reports,Search Splunk reports,Splunk test data ready,Open module > perform action > validate result,Success,Low
SPL-REP-00014,Splunk,reports,Reject Splunk reports,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,Low
SPL-REP-00015,Splunk,reports,Restore Splunk reports,Splunk test data ready,Open module > perform action > validate result,Success,Medium
SPL-REP-00016,Splunk,reports,Validate Splunk reports,Splunk test data ready,Create record > route approval > verify status,Success,Low
SPL-REP-00017,Splunk,reports,Restore Splunk reports,Splunk test data ready,Open module > perform action > validate result,Success,Medium
SPL-REP-00018,Splunk,reports,Validate Splunk reports,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,Low
SPL-REP-00019,Splunk,reports,Delete Splunk reports,Splunk test data ready,Open module > perform action > validate result,Success,Low
SPL-REP-00020,Splunk,reports,Edit Splunk reports,Splunk test data ready,Create record > route approval > verify status,Success,Low
SPL-REP-00021,Splunk,reports,Route Splunk reports,Splunk test data ready,Open module > perform action > validate result,Success,Low
SPL-REP-00022,Splunk,reports,Search Splunk reports,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,High
SPL-REP-00023,Splunk,reports,Escalate Splunk reports,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SPL-REP-00024,Splunk,reports,Validate Splunk reports,Splunk test data ready,Open module > perform action > validate result,Success,Medium
SPL-REP-00025,Splunk,reports,Approve Splunk reports,Splunk test data ready,Create record > route approval > verify status,Success,Low
SPL-REP-00026,Splunk,reports,Submit Splunk reports,Splunk test data ready,Open module > perform action > validate result,Success,Low
SPL-REP-00027,Splunk,reports,Archive Splunk reports,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,Low
SPL-REP-00028,Splunk,reports,Route Splunk reports,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,High
SPL-REP-00029,Splunk,reports,Delete Splunk reports,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,Low
SPL-REP-00030,Splunk,reports,Delete Splunk reports,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,High
SPL-REP-00031,Splunk,reports,Approve Splunk reports,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,High
SPL-REP-00032,Splunk,reports,Clone Splunk reports,Splunk test data ready,Open module > perform action > validate result,Success,Medium
SPL-REP-00033,Splunk,reports,Delete Splunk reports,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,High
SPL-REP-00034,Splunk,reports,Reject Splunk reports,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,Low
SPL-REP-00035,Splunk,reports,Reject Splunk reports,Splunk test data ready,Open module > perform action > validate result,Success,High
SPL-REP-00036,Splunk,reports,Escalate Splunk reports,Splunk test data ready,Create record > route approval > verify status,Success,High
SPL-REP-00037,Splunk,reports,Create Splunk reports,Splunk test data ready,Create record > route approval > verify status,Success,High
SPL-REP-00038,Splunk,reports,Route Splunk reports,Splunk test data ready,Open module > perform action > validate result,Success,High
SPL-REP-00039,Splunk,reports,Reject Splunk reports,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,High
SPL-REP-00040,Splunk,reports,Submit Splunk reports,Splunk test data ready,Create record > route approval > verify status,Success,Low
SPL-REP-00041,Splunk,reports,Archive Splunk reports,Splunk test data ready,Open module > perform action > validate result,Success,Low
SPL-REP-00042,Splunk,reports,Clone Splunk reports,Splunk test data ready,Create record > route approval > verify status,Success,High
SPL-REP-00043,Splunk,reports,Submit Splunk reports,Splunk test data ready,Open module > perform action > validate result,Success,Low
SPL-REP-00044,Splunk,reports,Validate Splunk reports,Splunk test data ready,Open module > perform action > validate result,Success,High
SPL-REP-00045,Splunk,reports,Escalate Splunk reports,Splunk test data ready,Initiate integration > check queue > confirm completion,Success,Low
SPL-REP-00046,Splunk,reports,Delete Splunk reports,Splunk test data ready,Create record > route approval > verify status,Success,High
SPL-REP-00047,Splunk,reports,Create Splunk reports,Splunk test data ready,Open module > perform action > validate result,Success,High
SPL-REP-00048,Splunk,reports,Archive Splunk reports,Splunk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
