Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
STR-THR-00001,Strata,threat_prevention,Edit Strata threat_prevention,Strata test data ready,Open module > perform action > validate result,Success,Medium
STR-THR-00002,Strata,threat_prevention,Reject Strata threat_prevention,Strata test data ready,Initiate integration > check queue > confirm completion,Success,High
STR-THR-00003,Strata,threat_prevention,Validate Strata threat_prevention,Strata test data ready,Open module > perform action > validate result,Success,Medium
STR-THR-00004,Strata,threat_prevention,Clone Strata threat_prevention,Strata test data ready,Initiate integration > check queue > confirm completion,Success,Medium
STR-THR-00005,Strata,threat_prevention,Update Strata threat_prevention,Strata test data ready,Open module > perform action > validate result,Success,High
STR-THR-00006,Strata,threat_prevention,Delete Strata threat_prevention,Strata test data ready,Create record > route approval > verify status,Success,Medium
STR-THR-00007,Strata,threat_prevention,Archive Strata threat_prevention,Strata test data ready,Create record > route approval > verify status,Success,Low
STR-THR-00008,Strata,threat_prevention,Reject Strata threat_prevention,Strata test data ready,Initiate integration > check queue > confirm completion,Success,High
STR-THR-00009,Strata,threat_prevention,Escalate Strata threat_prevention,Strata test data ready,Open module > perform action > validate result,Success,Medium
STR-THR-00010,Strata,threat_prevention,Search Strata threat_prevention,Strata test data ready,Submit transaction > sync system > reconcile report,Success,High
STR-THR-00011,Strata,threat_prevention,Approve Strata threat_prevention,Strata test data ready,Open module > perform action > validate result,Success,Medium
STR-THR-00012,Strata,threat_prevention,Create Strata threat_prevention,Strata test data ready,Create record > route approval > verify status,Success,High
STR-THR-00013,Strata,threat_prevention,Edit Strata threat_prevention,Strata test data ready,Open module > perform action > validate result,Success,Low
STR-THR-00014,Strata,threat_prevention,Edit Strata threat_prevention,Strata test data ready,Initiate integration > check queue > confirm completion,Success,Medium
STR-THR-00015,Strata,threat_prevention,Search Strata threat_prevention,Strata test data ready,Submit transaction > sync system > reconcile report,Success,Low
STR-THR-00016,Strata,threat_prevention,Restore Strata threat_prevention,Strata test data ready,Initiate integration > check queue > confirm completion,Success,Medium
STR-THR-00017,Strata,threat_prevention,Create Strata threat_prevention,Strata test data ready,Create record > route approval > verify status,Success,Medium
STR-THR-00018,Strata,threat_prevention,Validate Strata threat_prevention,Strata test data ready,Open module > perform action > validate result,Success,Low
STR-THR-00019,Strata,threat_prevention,Archive Strata threat_prevention,Strata test data ready,Open module > perform action > validate result,Success,High
STR-THR-00020,Strata,threat_prevention,Route Strata threat_prevention,Strata test data ready,Open module > perform action > validate result,Success,Low
STR-THR-00021,Strata,threat_prevention,Validate Strata threat_prevention,Strata test data ready,Initiate integration > check queue > confirm completion,Success,High
STR-THR-00022,Strata,threat_prevention,Create Strata threat_prevention,Strata test data ready,Initiate integration > check queue > confirm completion,Success,High
STR-THR-00023,Strata,threat_prevention,Delete Strata threat_prevention,Strata test data ready,Initiate integration > check queue > confirm completion,Success,Low
STR-THR-00024,Strata,threat_prevention,Escalate Strata threat_prevention,Strata test data ready,Create record > route approval > verify status,Success,High
STR-THR-00025,Strata,threat_prevention,Delete Strata threat_prevention,Strata test data ready,Initiate integration > check queue > confirm completion,Success,Medium
STR-THR-00026,Strata,threat_prevention,Submit Strata threat_prevention,Strata test data ready,Initiate integration > check queue > confirm completion,Success,Low
STR-THR-00027,Strata,threat_prevention,Update Strata threat_prevention,Strata test data ready,Initiate integration > check queue > confirm completion,Success,Low
STR-THR-00028,Strata,threat_prevention,Approve Strata threat_prevention,Strata test data ready,Open module > perform action > validate result,Success,Medium
STR-THR-00029,Strata,threat_prevention,Create Strata threat_prevention,Strata test data ready,Submit transaction > sync system > reconcile report,Success,High
STR-THR-00030,Strata,threat_prevention,Submit Strata threat_prevention,Strata test data ready,Open module > perform action > validate result,Success,High
STR-THR-00031,Strata,threat_prevention,Search Strata threat_prevention,Strata test data ready,Submit transaction > sync system > reconcile report,Success,High
STR-THR-00032,Strata,threat_prevention,Restore Strata threat_prevention,Strata test data ready,Initiate integration > check queue > confirm completion,Success,High
STR-THR-00033,Strata,threat_prevention,Restore Strata threat_prevention,Strata test data ready,Open module > perform action > validate result,Success,Medium
STR-THR-00034,Strata,threat_prevention,Clone Strata threat_prevention,Strata test data ready,Initiate integration > check queue > confirm completion,Success,Low
STR-THR-00035,Strata,threat_prevention,Update Strata threat_prevention,Strata test data ready,Create record > route approval > verify status,Success,High
STR-THR-00036,Strata,threat_prevention,Validate Strata threat_prevention,Strata test data ready,Initiate integration > check queue > confirm completion,Success,Low
STR-THR-00037,Strata,threat_prevention,Approve Strata threat_prevention,Strata test data ready,Create record > route approval > verify status,Success,Medium
STR-THR-00038,Strata,threat_prevention,Search Strata threat_prevention,Strata test data ready,Initiate integration > check queue > confirm completion,Success,High
STR-THR-00039,Strata,threat_prevention,Submit Strata threat_prevention,Strata test data ready,Submit transaction > sync system > reconcile report,Success,Medium
STR-THR-00040,Strata,threat_prevention,Escalate Strata threat_prevention,Strata test data ready,Create record > route approval > verify status,Success,Low
STR-THR-00041,Strata,threat_prevention,Approve Strata threat_prevention,Strata test data ready,Initiate integration > check queue > confirm completion,Success,Medium
STR-THR-00042,Strata,threat_prevention,Edit Strata threat_prevention,Strata test data ready,Submit transaction > sync system > reconcile report,Success,High
STR-THR-00043,Strata,threat_prevention,Archive Strata threat_prevention,Strata test data ready,Open module > perform action > validate result,Success,Medium
STR-THR-00044,Strata,threat_prevention,Approve Strata threat_prevention,Strata test data ready,Submit transaction > sync system > reconcile report,Success,Medium
STR-THR-00045,Strata,threat_prevention,Restore Strata threat_prevention,Strata test data ready,Initiate integration > check queue > confirm completion,Success,High
STR-THR-00046,Strata,threat_prevention,Approve Strata threat_prevention,Strata test data ready,Create record > route approval > verify status,Success,Low
STR-THR-00047,Strata,threat_prevention,Reject Strata threat_prevention,Strata test data ready,Initiate integration > check queue > confirm completion,Success,Low
STR-THR-00048,Strata,threat_prevention,Reject Strata threat_prevention,Strata test data ready,Create record > route approval > verify status,Success,High
STR-THR-00049,Strata,threat_prevention,Clone Strata threat_prevention,Strata test data ready,Open module > perform action > validate result,Success,Low
STR-THR-00050,Strata,threat_prevention,Route Strata threat_prevention,Strata test data ready,Submit transaction > sync system > reconcile report,Success,Low
STR-THR-00051,Strata,threat_prevention,Submit Strata threat_prevention,Strata test data ready,Create record > route approval > verify status,Success,High
STR-THR-00052,Strata,threat_prevention,Route Strata threat_prevention,Strata test data ready,Open module > perform action > validate result,Success,Low
STR-THR-00053,Strata,threat_prevention,Archive Strata threat_prevention,Strata test data ready,Create record > route approval > verify status,Success,Medium
STR-THR-00054,Strata,threat_prevention,Edit Strata threat_prevention,Strata test data ready,Initiate integration > check queue > confirm completion,Success,High
STR-THR-00055,Strata,threat_prevention,Create Strata threat_prevention,Strata test data ready,Submit transaction > sync system > reconcile report,Success,High
STR-THR-00056,Strata,threat_prevention,Search Strata threat_prevention,Strata test data ready,Submit transaction > sync system > reconcile report,Success,High
STR-THR-00057,Strata,threat_prevention,Submit Strata threat_prevention,Strata test data ready,Submit transaction > sync system > reconcile report,Success,High
STR-THR-00058,Strata,threat_prevention,Clone Strata threat_prevention,Strata test data ready,Initiate integration > check queue > confirm completion,Success,Medium
STR-THR-00059,Strata,threat_prevention,Create Strata threat_prevention,Strata test data ready,Open module > perform action > validate result,Success,Medium
