Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
STR-VPN-00001,Strata,vpn,Create Strata vpn,Strata test data ready,Open module > perform action > validate result,Success,Low
STR-VPN-00002,Strata,vpn,Reject Strata vpn,Strata test data ready,Submit transaction > sync system > reconcile report,Success,High
STR-VPN-00003,Strata,vpn,Update Strata vpn,Strata test data ready,Submit transaction > sync system > reconcile report,Success,Medium
STR-VPN-00004,Strata,vpn,Search Strata vpn,Strata test data ready,Submit transaction > sync system > reconcile report,Success,High
STR-VPN-00005,Strata,vpn,Archive Strata vpn,Strata test data ready,Initiate integration > check queue > confirm completion,Success,High
STR-VPN-00006,Strata,vpn,Submit Strata vpn,Strata test data ready,Open module > perform action > validate result,Success,Medium
STR-VPN-00007,Strata,vpn,Validate Strata vpn,Strata test data ready,Initiate integration > check queue > confirm completion,Success,Medium
STR-VPN-00008,Strata,vpn,Escalate Strata vpn,Strata test data ready,Open module > perform action > validate result,Success,Low
STR-VPN-00009,Strata,vpn,Reject Strata vpn,Strata test data ready,Initiate integration > check queue > confirm completion,Success,Low
STR-VPN-00010,Strata,vpn,Escalate Strata vpn,Strata test data ready,Initiate integration > check queue > confirm completion,Success,Medium
STR-VPN-00011,Strata,vpn,Escalate Strata vpn,Strata test data ready,Submit transaction > sync system > reconcile report,Success,Medium
STR-VPN-00012,Strata,vpn,Restore Strata vpn,Strata test data ready,Open module > perform action > validate result,Success,Low
STR-VPN-00013,Strata,vpn,Delete Strata vpn,Strata test data ready,Initiate integration > check queue > confirm completion,Success,High
STR-VPN-00014,Strata,vpn,Update Strata vpn,Strata test data ready,Initiate integration > check queue > confirm completion,Success,High
STR-VPN-00015,Strata,vpn,Update Strata vpn,Strata test data ready,Submit transaction > sync system > reconcile report,Success,High
STR-VPN-00016,Strata,vpn,Clone Strata vpn,Strata test data ready,Submit transaction > sync system > reconcile report,Success,Low
STR-VPN-00017,Strata,vpn,Search Strata vpn,Strata test data ready,Initiate integration > check queue > confirm completion,Success,Medium
STR-VPN-00018,Strata,vpn,Route Strata vpn,Strata test data ready,Open module > perform action > validate result,Success,Medium
STR-VPN-00019,Strata,vpn,Clone Strata vpn,Strata test data ready,Open module > perform action > validate result,Success,High
STR-VPN-00020,Strata,vpn,Search Strata vpn,Strata test data ready,Create record > route approval > verify status,Success,Medium
STR-VPN-00021,Strata,vpn,Edit Strata vpn,Strata test data ready,Create record > route approval > verify status,Success,Low
STR-VPN-00022,Strata,vpn,Validate Strata vpn,Strata test data ready,Initiate integration > check queue > confirm completion,Success,Medium
STR-VPN-00023,Strata,vpn,Archive Strata vpn,Strata test data ready,Submit transaction > sync system > reconcile report,Success,High
STR-VPN-00024,Strata,vpn,Submit Strata vpn,Strata test data ready,Open module > perform action > validate result,Success,Medium
STR-VPN-00025,Strata,vpn,Search Strata vpn,Strata test data ready,Create record > route approval > verify status,Success,Medium
STR-VPN-00026,Strata,vpn,Clone Strata vpn,Strata test data ready,Submit transaction > sync system > reconcile report,Success,Low
STR-VPN-00027,Strata,vpn,Search Strata vpn,Strata test data ready,Create record > route approval > verify status,Success,Medium
STR-VPN-00028,Strata,vpn,Submit Strata vpn,Strata test data ready,Submit transaction > sync system > reconcile report,Success,High
STR-VPN-00029,Strata,vpn,Search Strata vpn,Strata test data ready,Initiate integration > check queue > confirm completion,Success,Low
STR-VPN-00030,Strata,vpn,Create Strata vpn,Strata test data ready,Initiate integration > check queue > confirm completion,Success,Low
STR-VPN-00031,Strata,vpn,Delete Strata vpn,Strata test data ready,Submit transaction > sync system > reconcile report,Success,High
STR-VPN-00032,Strata,vpn,Edit Strata vpn,Strata test data ready,Open module > perform action > validate result,Success,Medium
STR-VPN-00033,Strata,vpn,Delete Strata vpn,Strata test data ready,Create record > route approval > verify status,Success,Medium
STR-VPN-00034,Strata,vpn,Approve Strata vpn,Strata test data ready,Create record > route approval > verify status,Success,Medium
STR-VPN-00035,Strata,vpn,Create Strata vpn,Strata test data ready,Open module > perform action > validate result,Success,High
STR-VPN-00036,Strata,vpn,Approve Strata vpn,Strata test data ready,Create record > route approval > verify status,Success,High
STR-VPN-00037,Strata,vpn,Archive Strata vpn,Strata test data ready,Open module > perform action > validate result,Success,High
STR-VPN-00038,Strata,vpn,Clone Strata vpn,Strata test data ready,Create record > route approval > verify status,Success,High
STR-VPN-00039,Strata,vpn,Delete Strata vpn,Strata test data ready,Create record > route approval > verify status,Success,High
STR-VPN-00040,Strata,vpn,Approve Strata vpn,Strata test data ready,Create record > route approval > verify status,Success,Low
