Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
TAB-DAS-00001,Tableau,dashboards,Escalate Tableau dashboards,Tableau test data ready,Open module > perform action > validate result,Success,Medium
TAB-DAS-00002,Tableau,dashboards,Validate Tableau dashboards,Tableau test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TAB-DAS-00003,Tableau,dashboards,Edit Tableau dashboards,Tableau test data ready,Create record > route approval > verify status,Success,High
TAB-DAS-00004,Tableau,dashboards,Restore Tableau dashboards,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TAB-DAS-00005,Tableau,dashboards,Clone Tableau dashboards,Tableau test data ready,Create record > route approval > verify status,Success,Low
TAB-DAS-00006,Tableau,dashboards,Search Tableau dashboards,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TAB-DAS-00007,Tableau,dashboards,Clone Tableau dashboards,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,High
TAB-DAS-00008,Tableau,dashboards,Approve Tableau dashboards,Tableau test data ready,Open module > perform action > validate result,Success,Low
TAB-DAS-00009,Tableau,dashboards,Restore Tableau dashboards,Tableau test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TAB-DAS-00010,Tableau,dashboards,Approve Tableau dashboards,Tableau test data ready,Create record > route approval > verify status,Success,Low
TAB-DAS-00011,Tableau,dashboards,Search Tableau dashboards,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Low
TAB-DAS-00012,Tableau,dashboards,Edit Tableau dashboards,Tableau test data ready,Initiate integration > check queue > confirm completion,Success,High
TAB-DAS-00013,Tableau,dashboards,Submit Tableau dashboards,Tableau test data ready,Create record > route approval > verify status,Success,Medium
TAB-DAS-00014,Tableau,dashboards,Delete Tableau dashboards,Tableau test data ready,Open module > perform action > validate result,Success,Medium
TAB-DAS-00015,Tableau,dashboards,Create Tableau dashboards,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TAB-DAS-00016,Tableau,dashboards,Clone Tableau dashboards,Tableau test data ready,Open module > perform action > validate result,Success,High
TAB-DAS-00017,Tableau,dashboards,Delete Tableau dashboards,Tableau test data ready,Open module > perform action > validate result,Success,High
TAB-DAS-00018,Tableau,dashboards,Validate Tableau dashboards,Tableau test data ready,Open module > perform action > validate result,Success,High
TAB-DAS-00019,Tableau,dashboards,Reject Tableau dashboards,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TAB-DAS-00020,Tableau,dashboards,Reject Tableau dashboards,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Low
