Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
TAB-EXT-00001,Tableau,extracts,Reject Tableau extracts,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Low
TAB-EXT-00002,Tableau,extracts,Approve Tableau extracts,Tableau test data ready,Create record > route approval > verify status,Success,Medium
TAB-EXT-00003,Tableau,extracts,Reject Tableau extracts,Tableau test data ready,Create record > route approval > verify status,Success,Medium
TAB-EXT-00004,Tableau,extracts,Edit Tableau extracts,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TAB-EXT-00005,Tableau,extracts,Delete Tableau extracts,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TAB-EXT-00006,Tableau,extracts,Clone Tableau extracts,Tableau test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TAB-EXT-00007,Tableau,extracts,Search Tableau extracts,Tableau test data ready,Initiate integration > check queue > confirm completion,Success,High
TAB-EXT-00008,Tableau,extracts,Submit Tableau extracts,Tableau test data ready,Open module > perform action > validate result,Success,Low
TAB-EXT-00009,Tableau,extracts,Archive Tableau extracts,Tableau test data ready,Initiate integration > check queue > confirm completion,Success,Low
TAB-EXT-00010,Tableau,extracts,Update Tableau extracts,Tableau test data ready,Open module > perform action > validate result,Success,Low
TAB-EXT-00011,Tableau,extracts,Escalate Tableau extracts,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TAB-EXT-00012,Tableau,extracts,Restore Tableau extracts,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Low
TAB-EXT-00013,Tableau,extracts,Route Tableau extracts,Tableau test data ready,Create record > route approval > verify status,Success,Low
TAB-EXT-00014,Tableau,extracts,Search Tableau extracts,Tableau test data ready,Open module > perform action > validate result,Success,High
TAB-EXT-00015,Tableau,extracts,Edit Tableau extracts,Tableau test data ready,Initiate integration > check queue > confirm completion,Success,High
TAB-EXT-00016,Tableau,extracts,Restore Tableau extracts,Tableau test data ready,Create record > route approval > verify status,Success,Low
TAB-EXT-00017,Tableau,extracts,Archive Tableau extracts,Tableau test data ready,Open module > perform action > validate result,Success,Medium
TAB-EXT-00018,Tableau,extracts,Validate Tableau extracts,Tableau test data ready,Initiate integration > check queue > confirm completion,Success,Low
TAB-EXT-00019,Tableau,extracts,Restore Tableau extracts,Tableau test data ready,Open module > perform action > validate result,Success,Medium
TAB-EXT-00020,Tableau,extracts,Submit Tableau extracts,Tableau test data ready,Initiate integration > check queue > confirm completion,Success,Low
TAB-EXT-00021,Tableau,extracts,Search Tableau extracts,Tableau test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TAB-EXT-00022,Tableau,extracts,Approve Tableau extracts,Tableau test data ready,Open module > perform action > validate result,Success,Low
TAB-EXT-00023,Tableau,extracts,Edit Tableau extracts,Tableau test data ready,Create record > route approval > verify status,Success,High
TAB-EXT-00024,Tableau,extracts,Submit Tableau extracts,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TAB-EXT-00025,Tableau,extracts,Escalate Tableau extracts,Tableau test data ready,Create record > route approval > verify status,Success,Medium
TAB-EXT-00026,Tableau,extracts,Delete Tableau extracts,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,High
TAB-EXT-00027,Tableau,extracts,Submit Tableau extracts,Tableau test data ready,Open module > perform action > validate result,Success,Medium
TAB-EXT-00028,Tableau,extracts,Search Tableau extracts,Tableau test data ready,Initiate integration > check queue > confirm completion,Success,High
TAB-EXT-00029,Tableau,extracts,Approve Tableau extracts,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Low
TAB-EXT-00030,Tableau,extracts,Route Tableau extracts,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Low
TAB-EXT-00031,Tableau,extracts,Submit Tableau extracts,Tableau test data ready,Create record > route approval > verify status,Success,Low
TAB-EXT-00032,Tableau,extracts,Route Tableau extracts,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,High
TAB-EXT-00033,Tableau,extracts,Validate Tableau extracts,Tableau test data ready,Open module > perform action > validate result,Success,Low
TAB-EXT-00034,Tableau,extracts,Reject Tableau extracts,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Low
TAB-EXT-00035,Tableau,extracts,Submit Tableau extracts,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,High
TAB-EXT-00036,Tableau,extracts,Restore Tableau extracts,Tableau test data ready,Create record > route approval > verify status,Success,Medium
TAB-EXT-00037,Tableau,extracts,Edit Tableau extracts,Tableau test data ready,Open module > perform action > validate result,Success,Medium
TAB-EXT-00038,Tableau,extracts,Restore Tableau extracts,Tableau test data ready,Create record > route approval > verify status,Success,High
TAB-EXT-00039,Tableau,extracts,Clone Tableau extracts,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Low
TAB-EXT-00040,Tableau,extracts,Edit Tableau extracts,Tableau test data ready,Open module > perform action > validate result,Success,Low
TAB-EXT-00041,Tableau,extracts,Submit Tableau extracts,Tableau test data ready,Open module > perform action > validate result,Success,Medium
TAB-EXT-00042,Tableau,extracts,Archive Tableau extracts,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,High
TAB-EXT-00043,Tableau,extracts,Restore Tableau extracts,Tableau test data ready,Initiate integration > check queue > confirm completion,Success,High
TAB-EXT-00044,Tableau,extracts,Route Tableau extracts,Tableau test data ready,Create record > route approval > verify status,Success,Medium
TAB-EXT-00045,Tableau,extracts,Update Tableau extracts,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TAB-EXT-00046,Tableau,extracts,Clone Tableau extracts,Tableau test data ready,Create record > route approval > verify status,Success,High
