Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
TAB-PER-00001,Tableau,permissions,Escalate Tableau permissions,Tableau test data ready,Initiate integration > check queue > confirm completion,Success,Low
TAB-PER-00002,Tableau,permissions,Validate Tableau permissions,Tableau test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TAB-PER-00003,Tableau,permissions,Submit Tableau permissions,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,High
TAB-PER-00004,Tableau,permissions,Archive Tableau permissions,Tableau test data ready,Open module > perform action > validate result,Success,Medium
TAB-PER-00005,Tableau,permissions,Edit Tableau permissions,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TAB-PER-00006,Tableau,permissions,Reject Tableau permissions,Tableau test data ready,Create record > route approval > verify status,Success,Low
TAB-PER-00007,Tableau,permissions,Search Tableau permissions,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TAB-PER-00008,Tableau,permissions,Submit Tableau permissions,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TAB-PER-00009,Tableau,permissions,Approve Tableau permissions,Tableau test data ready,Create record > route approval > verify status,Success,Low
TAB-PER-00010,Tableau,permissions,Create Tableau permissions,Tableau test data ready,Initiate integration > check queue > confirm completion,Success,Low
TAB-PER-00011,Tableau,permissions,Delete Tableau permissions,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Low
TAB-PER-00012,Tableau,permissions,Approve Tableau permissions,Tableau test data ready,Create record > route approval > verify status,Success,Medium
TAB-PER-00013,Tableau,permissions,Search Tableau permissions,Tableau test data ready,Open module > perform action > validate result,Success,High
TAB-PER-00014,Tableau,permissions,Approve Tableau permissions,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Low
TAB-PER-00015,Tableau,permissions,Create Tableau permissions,Tableau test data ready,Initiate integration > check queue > confirm completion,Success,Low
TAB-PER-00016,Tableau,permissions,Validate Tableau permissions,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Low
TAB-PER-00017,Tableau,permissions,Restore Tableau permissions,Tableau test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TAB-PER-00018,Tableau,permissions,Clone Tableau permissions,Tableau test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TAB-PER-00019,Tableau,permissions,Validate Tableau permissions,Tableau test data ready,Open module > perform action > validate result,Success,Low
