Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
TEA-BOM-00001,Teamcenter,bom,Clone Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-BOM-00002,Teamcenter,bom,Archive Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-BOM-00003,Teamcenter,bom,Restore Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-BOM-00004,Teamcenter,bom,Archive Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-BOM-00005,Teamcenter,bom,Delete Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Low
TEA-BOM-00006,Teamcenter,bom,Clone Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-BOM-00007,Teamcenter,bom,Submit Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-BOM-00008,Teamcenter,bom,Archive Teamcenter bom,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,High
TEA-BOM-00009,Teamcenter,bom,Delete Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-BOM-00010,Teamcenter,bom,Escalate Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-BOM-00011,Teamcenter,bom,Submit Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-BOM-00012,Teamcenter,bom,Escalate Teamcenter bom,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Low
TEA-BOM-00013,Teamcenter,bom,Reject Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TEA-BOM-00014,Teamcenter,bom,Archive Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-BOM-00015,Teamcenter,bom,Validate Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-BOM-00016,Teamcenter,bom,Clone Teamcenter bom,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TEA-BOM-00017,Teamcenter,bom,Archive Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-BOM-00018,Teamcenter,bom,Submit Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TEA-BOM-00019,Teamcenter,bom,Validate Teamcenter bom,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Low
TEA-BOM-00020,Teamcenter,bom,Edit Teamcenter bom,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,High
TEA-BOM-00021,Teamcenter,bom,Validate Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-BOM-00022,Teamcenter,bom,Approve Teamcenter bom,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,High
TEA-BOM-00023,Teamcenter,bom,Create Teamcenter bom,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TEA-BOM-00024,Teamcenter,bom,Route Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-BOM-00025,Teamcenter,bom,Validate Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-BOM-00026,Teamcenter,bom,Approve Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Low
TEA-BOM-00027,Teamcenter,bom,Validate Teamcenter bom,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Low
TEA-BOM-00028,Teamcenter,bom,Restore Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-BOM-00029,Teamcenter,bom,Restore Teamcenter bom,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TEA-BOM-00030,Teamcenter,bom,Edit Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Low
TEA-BOM-00031,Teamcenter,bom,Search Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-BOM-00032,Teamcenter,bom,Route Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-BOM-00033,Teamcenter,bom,Search Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-BOM-00034,Teamcenter,bom,Update Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-BOM-00035,Teamcenter,bom,Validate Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-BOM-00036,Teamcenter,bom,Create Teamcenter bom,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Low
TEA-BOM-00037,Teamcenter,bom,Validate Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TEA-BOM-00038,Teamcenter,bom,Escalate Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-BOM-00039,Teamcenter,bom,Reject Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-BOM-00040,Teamcenter,bom,Search Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-BOM-00041,Teamcenter,bom,Restore Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-BOM-00042,Teamcenter,bom,Search Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-BOM-00043,Teamcenter,bom,Validate Teamcenter bom,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,High
TEA-BOM-00044,Teamcenter,bom,Validate Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-BOM-00045,Teamcenter,bom,Archive Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Low
TEA-BOM-00046,Teamcenter,bom,Edit Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TEA-BOM-00047,Teamcenter,bom,Approve Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Low
TEA-BOM-00048,Teamcenter,bom,Escalate Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-BOM-00049,Teamcenter,bom,Submit Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-BOM-00050,Teamcenter,bom,Update Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-BOM-00051,Teamcenter,bom,Edit Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-BOM-00052,Teamcenter,bom,Update Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Low
TEA-BOM-00053,Teamcenter,bom,Reject Teamcenter bom,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,High
TEA-BOM-00054,Teamcenter,bom,Route Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-BOM-00055,Teamcenter,bom,Escalate Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-BOM-00056,Teamcenter,bom,Route Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-BOM-00057,Teamcenter,bom,Validate Teamcenter bom,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,High
TEA-BOM-00058,Teamcenter,bom,Escalate Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-BOM-00059,Teamcenter,bom,Delete Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-BOM-00060,Teamcenter,bom,Update Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-BOM-00061,Teamcenter,bom,Approve Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Low
TEA-BOM-00062,Teamcenter,bom,Approve Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-BOM-00063,Teamcenter,bom,Archive Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-BOM-00064,Teamcenter,bom,Delete Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-BOM-00065,Teamcenter,bom,Archive Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-BOM-00066,Teamcenter,bom,Update Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TEA-BOM-00067,Teamcenter,bom,Create Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-BOM-00068,Teamcenter,bom,Restore Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Low
TEA-BOM-00069,Teamcenter,bom,Submit Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-BOM-00070,Teamcenter,bom,Clone Teamcenter bom,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TEA-BOM-00071,Teamcenter,bom,Update Teamcenter bom,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,High
TEA-BOM-00072,Teamcenter,bom,Escalate Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-BOM-00073,Teamcenter,bom,Search Teamcenter bom,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TEA-BOM-00074,Teamcenter,bom,Validate Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-BOM-00075,Teamcenter,bom,Delete Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-BOM-00076,Teamcenter,bom,Restore Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-BOM-00077,Teamcenter,bom,Delete Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Low
TEA-BOM-00078,Teamcenter,bom,Edit Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-BOM-00079,Teamcenter,bom,Escalate Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-BOM-00080,Teamcenter,bom,Archive Teamcenter bom,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-BOM-00081,Teamcenter,bom,Restore Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-BOM-00082,Teamcenter,bom,Validate Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-BOM-00083,Teamcenter,bom,Create Teamcenter bom,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Low
TEA-BOM-00084,Teamcenter,bom,Archive Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-BOM-00085,Teamcenter,bom,Escalate Teamcenter bom,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-BOM-00086,Teamcenter,bom,Create Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-BOM-00087,Teamcenter,bom,Update Teamcenter bom,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Low
