Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
TEA-PLM-00001,Teamcenter,plm,Approve Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-PLM-00002,Teamcenter,plm,Edit Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-PLM-00003,Teamcenter,plm,Route Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-PLM-00004,Teamcenter,plm,Route Teamcenter plm,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,High
TEA-PLM-00005,Teamcenter,plm,Delete Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-PLM-00006,Teamcenter,plm,Validate Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-PLM-00007,Teamcenter,plm,Reject Teamcenter plm,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TEA-PLM-00008,Teamcenter,plm,Restore Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-PLM-00009,Teamcenter,plm,Delete Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-PLM-00010,Teamcenter,plm,Submit Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-PLM-00011,Teamcenter,plm,Update Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Low
TEA-PLM-00012,Teamcenter,plm,Submit Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-PLM-00013,Teamcenter,plm,Reject Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-PLM-00014,Teamcenter,plm,Escalate Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-PLM-00015,Teamcenter,plm,Edit Teamcenter plm,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Low
TEA-PLM-00016,Teamcenter,plm,Delete Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-PLM-00017,Teamcenter,plm,Update Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-PLM-00018,Teamcenter,plm,Delete Teamcenter plm,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Low
TEA-PLM-00019,Teamcenter,plm,Validate Teamcenter plm,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,High
TEA-PLM-00020,Teamcenter,plm,Update Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-PLM-00021,Teamcenter,plm,Update Teamcenter plm,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Low
TEA-PLM-00022,Teamcenter,plm,Submit Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-PLM-00023,Teamcenter,plm,Clone Teamcenter plm,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,High
TEA-PLM-00024,Teamcenter,plm,Escalate Teamcenter plm,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Low
TEA-PLM-00025,Teamcenter,plm,Edit Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Low
TEA-PLM-00026,Teamcenter,plm,Archive Teamcenter plm,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TEA-PLM-00027,Teamcenter,plm,Restore Teamcenter plm,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,High
TEA-PLM-00028,Teamcenter,plm,Restore Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-PLM-00029,Teamcenter,plm,Delete Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-PLM-00030,Teamcenter,plm,Clone Teamcenter plm,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,High
TEA-PLM-00031,Teamcenter,plm,Route Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TEA-PLM-00032,Teamcenter,plm,Update Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-PLM-00033,Teamcenter,plm,Submit Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Low
TEA-PLM-00034,Teamcenter,plm,Reject Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-PLM-00035,Teamcenter,plm,Submit Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-PLM-00036,Teamcenter,plm,Submit Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-PLM-00037,Teamcenter,plm,Create Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-PLM-00038,Teamcenter,plm,Submit Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-PLM-00039,Teamcenter,plm,Validate Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-PLM-00040,Teamcenter,plm,Search Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-PLM-00041,Teamcenter,plm,Escalate Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-PLM-00042,Teamcenter,plm,Restore Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-PLM-00043,Teamcenter,plm,Escalate Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TEA-PLM-00044,Teamcenter,plm,Update Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-PLM-00045,Teamcenter,plm,Restore Teamcenter plm,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TEA-PLM-00046,Teamcenter,plm,Approve Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-PLM-00047,Teamcenter,plm,Escalate Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-PLM-00048,Teamcenter,plm,Create Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-PLM-00049,Teamcenter,plm,Escalate Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-PLM-00050,Teamcenter,plm,Validate Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TEA-PLM-00051,Teamcenter,plm,Route Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-PLM-00052,Teamcenter,plm,Edit Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-PLM-00053,Teamcenter,plm,Archive Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-PLM-00054,Teamcenter,plm,Search Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-PLM-00055,Teamcenter,plm,Archive Teamcenter plm,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TEA-PLM-00056,Teamcenter,plm,Clone Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-PLM-00057,Teamcenter,plm,Clone Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-PLM-00058,Teamcenter,plm,Escalate Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-PLM-00059,Teamcenter,plm,Validate Teamcenter plm,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,High
TEA-PLM-00060,Teamcenter,plm,Create Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-PLM-00061,Teamcenter,plm,Route Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-PLM-00062,Teamcenter,plm,Delete Teamcenter plm,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,High
TEA-PLM-00063,Teamcenter,plm,Archive Teamcenter plm,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,High
TEA-PLM-00064,Teamcenter,plm,Approve Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-PLM-00065,Teamcenter,plm,Edit Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-PLM-00066,Teamcenter,plm,Submit Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-PLM-00067,Teamcenter,plm,Validate Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TEA-PLM-00068,Teamcenter,plm,Route Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-PLM-00069,Teamcenter,plm,Edit Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-PLM-00070,Teamcenter,plm,Escalate Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TEA-PLM-00071,Teamcenter,plm,Reject Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-PLM-00072,Teamcenter,plm,Validate Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-PLM-00073,Teamcenter,plm,Validate Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-PLM-00074,Teamcenter,plm,Update Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Low
TEA-PLM-00075,Teamcenter,plm,Create Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-PLM-00076,Teamcenter,plm,Archive Teamcenter plm,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TEA-PLM-00077,Teamcenter,plm,Escalate Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-PLM-00078,Teamcenter,plm,Clone Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-PLM-00079,Teamcenter,plm,Reject Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-PLM-00080,Teamcenter,plm,Search Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-PLM-00081,Teamcenter,plm,Create Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-PLM-00082,Teamcenter,plm,Restore Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-PLM-00083,Teamcenter,plm,Reject Teamcenter plm,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Low
TEA-PLM-00084,Teamcenter,plm,Reject Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-PLM-00085,Teamcenter,plm,Update Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-PLM-00086,Teamcenter,plm,Archive Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-PLM-00087,Teamcenter,plm,Restore Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-PLM-00088,Teamcenter,plm,Archive Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-PLM-00089,Teamcenter,plm,Escalate Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-PLM-00090,Teamcenter,plm,Route Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Low
TEA-PLM-00091,Teamcenter,plm,Submit Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-PLM-00092,Teamcenter,plm,Route Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TEA-PLM-00093,Teamcenter,plm,Clone Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-PLM-00094,Teamcenter,plm,Delete Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Low
TEA-PLM-00095,Teamcenter,plm,Update Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-PLM-00096,Teamcenter,plm,Route Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-PLM-00097,Teamcenter,plm,Approve Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-PLM-00098,Teamcenter,plm,Escalate Teamcenter plm,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TEA-PLM-00099,Teamcenter,plm,Update Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-PLM-00100,Teamcenter,plm,Update Teamcenter plm,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-PLM-00101,Teamcenter,plm,Approve Teamcenter plm,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-PLM-00102,Teamcenter,plm,Delete Teamcenter plm,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,High
TEA-PLM-00103,Teamcenter,plm,Validate Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-PLM-00104,Teamcenter,plm,Create Teamcenter plm,Teamcenter test data ready,Create record > route approval > verify status,Success,High
