Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
UKG-COR-00001,UKGPro,core_hr,Restore UKGPro core_hr,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Low
UKG-COR-00002,UKGPro,core_hr,Escalate UKGPro core_hr,UKGPro test data ready,Open module > perform action > validate result,Success,High
UKG-COR-00003,UKGPro,core_hr,Reject UKGPro core_hr,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-COR-00004,UKGPro,core_hr,Reject UKGPro core_hr,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-COR-00005,UKGPro,core_hr,Search UKGPro core_hr,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UKG-COR-00006,UKGPro,core_hr,Edit UKGPro core_hr,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-COR-00007,UKGPro,core_hr,Reject UKGPro core_hr,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,High
UKG-COR-00008,UKGPro,core_hr,Create UKGPro core_hr,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,High
UKG-COR-00009,UKGPro,core_hr,Edit UKGPro core_hr,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-COR-00010,UKGPro,core_hr,Restore UKGPro core_hr,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Low
UKG-COR-00011,UKGPro,core_hr,Validate UKGPro core_hr,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Low
UKG-COR-00012,UKGPro,core_hr,Archive UKGPro core_hr,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Low
UKG-COR-00013,UKGPro,core_hr,Submit UKGPro core_hr,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,High
UKG-COR-00014,UKGPro,core_hr,Edit UKGPro core_hr,UKGPro test data ready,Open module > perform action > validate result,Success,Low
