Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
UKG-PAY-00001,UKGPro,payroll,Update UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,Medium
UKG-PAY-00002,UKGPro,payroll,Reject UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,High
UKG-PAY-00003,UKGPro,payroll,Route UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-PAY-00004,UKGPro,payroll,Submit UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-PAY-00005,UKGPro,payroll,Clone UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Low
UKG-PAY-00006,UKGPro,payroll,Search UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,High
UKG-PAY-00007,UKGPro,payroll,Edit UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,High
UKG-PAY-00008,UKGPro,payroll,Archive UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,High
UKG-PAY-00009,UKGPro,payroll,Edit UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,High
UKG-PAY-00010,UKGPro,payroll,Search UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,High
UKG-PAY-00011,UKGPro,payroll,Archive UKGPro payroll,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-PAY-00012,UKGPro,payroll,Submit UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-PAY-00013,UKGPro,payroll,Restore UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-PAY-00014,UKGPro,payroll,Archive UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,High
UKG-PAY-00015,UKGPro,payroll,Submit UKGPro payroll,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,High
UKG-PAY-00016,UKGPro,payroll,Create UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Low
UKG-PAY-00017,UKGPro,payroll,Reject UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UKG-PAY-00018,UKGPro,payroll,Submit UKGPro payroll,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-PAY-00019,UKGPro,payroll,Reject UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-PAY-00020,UKGPro,payroll,Search UKGPro payroll,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-PAY-00021,UKGPro,payroll,Delete UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-PAY-00022,UKGPro,payroll,Clone UKGPro payroll,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,High
UKG-PAY-00023,UKGPro,payroll,Clone UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,Medium
UKG-PAY-00024,UKGPro,payroll,Create UKGPro payroll,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-PAY-00025,UKGPro,payroll,Submit UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,Medium
UKG-PAY-00026,UKGPro,payroll,Archive UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,High
UKG-PAY-00027,UKGPro,payroll,Approve UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,High
UKG-PAY-00028,UKGPro,payroll,Edit UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-PAY-00029,UKGPro,payroll,Submit UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UKG-PAY-00030,UKGPro,payroll,Search UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,High
UKG-PAY-00031,UKGPro,payroll,Create UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-PAY-00032,UKGPro,payroll,Archive UKGPro payroll,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-PAY-00033,UKGPro,payroll,Create UKGPro payroll,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,High
UKG-PAY-00034,UKGPro,payroll,Clone UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-PAY-00035,UKGPro,payroll,Delete UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Low
UKG-PAY-00036,UKGPro,payroll,Archive UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Low
UKG-PAY-00037,UKGPro,payroll,Update UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-PAY-00038,UKGPro,payroll,Edit UKGPro payroll,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Low
UKG-PAY-00039,UKGPro,payroll,Approve UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Low
UKG-PAY-00040,UKGPro,payroll,Submit UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Low
UKG-PAY-00041,UKGPro,payroll,Validate UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,High
UKG-PAY-00042,UKGPro,payroll,Create UKGPro payroll,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,High
UKG-PAY-00043,UKGPro,payroll,Restore UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,High
UKG-PAY-00044,UKGPro,payroll,Reject UKGPro payroll,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,High
UKG-PAY-00045,UKGPro,payroll,Reject UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UKG-PAY-00046,UKGPro,payroll,Delete UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Low
UKG-PAY-00047,UKGPro,payroll,Update UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-PAY-00048,UKGPro,payroll,Validate UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Low
UKG-PAY-00049,UKGPro,payroll,Validate UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,High
UKG-PAY-00050,UKGPro,payroll,Route UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-PAY-00051,UKGPro,payroll,Delete UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Low
UKG-PAY-00052,UKGPro,payroll,Archive UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,High
UKG-PAY-00053,UKGPro,payroll,Archive UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-PAY-00054,UKGPro,payroll,Restore UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-PAY-00055,UKGPro,payroll,Route UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-PAY-00056,UKGPro,payroll,Search UKGPro payroll,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Low
UKG-PAY-00057,UKGPro,payroll,Route UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Low
UKG-PAY-00058,UKGPro,payroll,Archive UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,Medium
UKG-PAY-00059,UKGPro,payroll,Reject UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-PAY-00060,UKGPro,payroll,Approve UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UKG-PAY-00061,UKGPro,payroll,Route UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,High
UKG-PAY-00062,UKGPro,payroll,Update UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Low
UKG-PAY-00063,UKGPro,payroll,Restore UKGPro payroll,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,High
UKG-PAY-00064,UKGPro,payroll,Approve UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Low
UKG-PAY-00065,UKGPro,payroll,Validate UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,High
UKG-PAY-00066,UKGPro,payroll,Create UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,High
UKG-PAY-00067,UKGPro,payroll,Approve UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-PAY-00068,UKGPro,payroll,Update UKGPro payroll,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Low
UKG-PAY-00069,UKGPro,payroll,Approve UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-PAY-00070,UKGPro,payroll,Route UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Low
UKG-PAY-00071,UKGPro,payroll,Approve UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Low
UKG-PAY-00072,UKGPro,payroll,Delete UKGPro payroll,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Low
UKG-PAY-00073,UKGPro,payroll,Escalate UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UKG-PAY-00074,UKGPro,payroll,Restore UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,High
UKG-PAY-00075,UKGPro,payroll,Clone UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,High
UKG-PAY-00076,UKGPro,payroll,Validate UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UKG-PAY-00077,UKGPro,payroll,Archive UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,Medium
UKG-PAY-00078,UKGPro,payroll,Validate UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Low
UKG-PAY-00079,UKGPro,payroll,Submit UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-PAY-00080,UKGPro,payroll,Archive UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Low
UKG-PAY-00081,UKGPro,payroll,Search UKGPro payroll,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,High
UKG-PAY-00082,UKGPro,payroll,Archive UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-PAY-00083,UKGPro,payroll,Search UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-PAY-00084,UKGPro,payroll,Create UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-PAY-00085,UKGPro,payroll,Submit UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-PAY-00086,UKGPro,payroll,Search UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,High
UKG-PAY-00087,UKGPro,payroll,Approve UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Low
UKG-PAY-00088,UKGPro,payroll,Route UKGPro payroll,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-PAY-00089,UKGPro,payroll,Restore UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-PAY-00090,UKGPro,payroll,Restore UKGPro payroll,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Low
UKG-PAY-00091,UKGPro,payroll,Approve UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,High
UKG-PAY-00092,UKGPro,payroll,Delete UKGPro payroll,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-PAY-00093,UKGPro,payroll,Edit UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,High
UKG-PAY-00094,UKGPro,payroll,Edit UKGPro payroll,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
