Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
UKG-TIM-00001,UKGPro,timekeeping,Submit UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UKG-TIM-00002,UKGPro,timekeeping,Route UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UKG-TIM-00003,UKGPro,timekeeping,Archive UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,High
UKG-TIM-00004,UKGPro,timekeeping,Update UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-TIM-00005,UKGPro,timekeeping,Archive UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-TIM-00006,UKGPro,timekeeping,Delete UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-TIM-00007,UKGPro,timekeeping,Create UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,Medium
UKG-TIM-00008,UKGPro,timekeeping,Create UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-TIM-00009,UKGPro,timekeeping,Submit UKGPro timekeeping,UKGPro test data ready,Open module > perform action > validate result,Success,High
UKG-TIM-00010,UKGPro,timekeeping,Escalate UKGPro timekeeping,UKGPro test data ready,Open module > perform action > validate result,Success,Low
UKG-TIM-00011,UKGPro,timekeeping,Reject UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,High
UKG-TIM-00012,UKGPro,timekeeping,Reject UKGPro timekeeping,UKGPro test data ready,Open module > perform action > validate result,Success,High
UKG-TIM-00013,UKGPro,timekeeping,Delete UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Low
UKG-TIM-00014,UKGPro,timekeeping,Delete UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,Medium
UKG-TIM-00015,UKGPro,timekeeping,Validate UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,High
UKG-TIM-00016,UKGPro,timekeeping,Escalate UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-TIM-00017,UKGPro,timekeeping,Create UKGPro timekeeping,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-TIM-00018,UKGPro,timekeeping,Edit UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Low
UKG-TIM-00019,UKGPro,timekeeping,Archive UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,High
UKG-TIM-00020,UKGPro,timekeeping,Clone UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,Medium
UKG-TIM-00021,UKGPro,timekeeping,Edit UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,Medium
UKG-TIM-00022,UKGPro,timekeeping,Validate UKGPro timekeeping,UKGPro test data ready,Open module > perform action > validate result,Success,Low
UKG-TIM-00023,UKGPro,timekeeping,Clone UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-TIM-00024,UKGPro,timekeeping,Validate UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,High
UKG-TIM-00025,UKGPro,timekeeping,Route UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-TIM-00026,UKGPro,timekeeping,Validate UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Low
UKG-TIM-00027,UKGPro,timekeeping,Validate UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,High
UKG-TIM-00028,UKGPro,timekeeping,Restore UKGPro timekeeping,UKGPro test data ready,Open module > perform action > validate result,Success,Low
UKG-TIM-00029,UKGPro,timekeeping,Submit UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-TIM-00030,UKGPro,timekeeping,Escalate UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-TIM-00031,UKGPro,timekeeping,Edit UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,Medium
UKG-TIM-00032,UKGPro,timekeeping,Search UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-TIM-00033,UKGPro,timekeeping,Approve UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,Medium
UKG-TIM-00034,UKGPro,timekeeping,Clone UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,High
UKG-TIM-00035,UKGPro,timekeeping,Clone UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-TIM-00036,UKGPro,timekeeping,Submit UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,High
UKG-TIM-00037,UKGPro,timekeeping,Escalate UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,High
UKG-TIM-00038,UKGPro,timekeeping,Reject UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,High
UKG-TIM-00039,UKGPro,timekeeping,Restore UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UKG-TIM-00040,UKGPro,timekeeping,Archive UKGPro timekeeping,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-TIM-00041,UKGPro,timekeeping,Escalate UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-TIM-00042,UKGPro,timekeeping,Archive UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,High
UKG-TIM-00043,UKGPro,timekeeping,Submit UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,Medium
UKG-TIM-00044,UKGPro,timekeeping,Approve UKGPro timekeeping,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-TIM-00045,UKGPro,timekeeping,Reject UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Low
UKG-TIM-00046,UKGPro,timekeeping,Restore UKGPro timekeeping,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-TIM-00047,UKGPro,timekeeping,Clone UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,Medium
UKG-TIM-00048,UKGPro,timekeeping,Update UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Low
UKG-TIM-00049,UKGPro,timekeeping,Escalate UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UKG-TIM-00050,UKGPro,timekeeping,Route UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,High
UKG-TIM-00051,UKGPro,timekeeping,Search UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-TIM-00052,UKGPro,timekeeping,Clone UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UKG-TIM-00053,UKGPro,timekeeping,Route UKGPro timekeeping,UKGPro test data ready,Open module > perform action > validate result,Success,Low
UKG-TIM-00054,UKGPro,timekeeping,Create UKGPro timekeeping,UKGPro test data ready,Open module > perform action > validate result,Success,Low
UKG-TIM-00055,UKGPro,timekeeping,Delete UKGPro timekeeping,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-TIM-00056,UKGPro,timekeeping,Clone UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,High
UKG-TIM-00057,UKGPro,timekeeping,Reject UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,Medium
UKG-TIM-00058,UKGPro,timekeeping,Reject UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Low
UKG-TIM-00059,UKGPro,timekeeping,Update UKGPro timekeeping,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-TIM-00060,UKGPro,timekeeping,Approve UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,High
UKG-TIM-00061,UKGPro,timekeeping,Delete UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,Medium
UKG-TIM-00062,UKGPro,timekeeping,Restore UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,High
UKG-TIM-00063,UKGPro,timekeeping,Clone UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Low
UKG-TIM-00064,UKGPro,timekeeping,Create UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,High
UKG-TIM-00065,UKGPro,timekeeping,Validate UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UKG-TIM-00066,UKGPro,timekeeping,Update UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Low
UKG-TIM-00067,UKGPro,timekeeping,Update UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,High
UKG-TIM-00068,UKGPro,timekeeping,Route UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Low
UKG-TIM-00069,UKGPro,timekeeping,Approve UKGPro timekeeping,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-TIM-00070,UKGPro,timekeeping,Create UKGPro timekeeping,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-TIM-00071,UKGPro,timekeeping,Approve UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-TIM-00072,UKGPro,timekeeping,Validate UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-TIM-00073,UKGPro,timekeeping,Update UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,High
UKG-TIM-00074,UKGPro,timekeeping,Route UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,High
UKG-TIM-00075,UKGPro,timekeeping,Escalate UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Low
UKG-TIM-00076,UKGPro,timekeeping,Create UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,High
UKG-TIM-00077,UKGPro,timekeeping,Clone UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UKG-TIM-00078,UKGPro,timekeeping,Create UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UKG-TIM-00079,UKGPro,timekeeping,Route UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,Medium
UKG-TIM-00080,UKGPro,timekeeping,Archive UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,Medium
UKG-TIM-00081,UKGPro,timekeeping,Restore UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,High
UKG-TIM-00082,UKGPro,timekeeping,Route UKGPro timekeeping,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-TIM-00083,UKGPro,timekeeping,Restore UKGPro timekeeping,UKGPro test data ready,Open module > perform action > validate result,Success,High
UKG-TIM-00084,UKGPro,timekeeping,Validate UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UKG-TIM-00085,UKGPro,timekeeping,Reject UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Low
UKG-TIM-00086,UKGPro,timekeeping,Archive UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Low
UKG-TIM-00087,UKGPro,timekeeping,Restore UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Low
UKG-TIM-00088,UKGPro,timekeeping,Route UKGPro timekeeping,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-TIM-00089,UKGPro,timekeeping,Update UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-TIM-00090,UKGPro,timekeeping,Create UKGPro timekeeping,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,High
UKG-TIM-00091,UKGPro,timekeeping,Submit UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-TIM-00092,UKGPro,timekeeping,Reject UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,High
UKG-TIM-00093,UKGPro,timekeeping,Reject UKGPro timekeeping,UKGPro test data ready,Open module > perform action > validate result,Success,High
UKG-TIM-00094,UKGPro,timekeeping,Search UKGPro timekeeping,UKGPro test data ready,Create record > route approval > verify status,Success,Medium
UKG-TIM-00095,UKGPro,timekeeping,Edit UKGPro timekeeping,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,High
