Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
UKG-WOR-00001,UKGPro,workforce_management,Edit UKGPro workforce_management,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-WOR-00002,UKGPro,workforce_management,Search UKGPro workforce_management,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-WOR-00003,UKGPro,workforce_management,Restore UKGPro workforce_management,UKGPro test data ready,Create record > route approval > verify status,Success,High
UKG-WOR-00004,UKGPro,workforce_management,Escalate UKGPro workforce_management,UKGPro test data ready,Create record > route approval > verify status,Success,Medium
UKG-WOR-00005,UKGPro,workforce_management,Escalate UKGPro workforce_management,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,High
UKG-WOR-00006,UKGPro,workforce_management,Clone UKGPro workforce_management,UKGPro test data ready,Create record > route approval > verify status,Success,Medium
UKG-WOR-00007,UKGPro,workforce_management,Edit UKGPro workforce_management,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-WOR-00008,UKGPro,workforce_management,Escalate UKGPro workforce_management,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-WOR-00009,UKGPro,workforce_management,Delete UKGPro workforce_management,UKGPro test data ready,Open module > perform action > validate result,Success,Low
UKG-WOR-00010,UKGPro,workforce_management,Approve UKGPro workforce_management,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UKG-WOR-00011,UKGPro,workforce_management,Route UKGPro workforce_management,UKGPro test data ready,Create record > route approval > verify status,Success,Low
UKG-WOR-00012,UKGPro,workforce_management,Clone UKGPro workforce_management,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-WOR-00013,UKGPro,workforce_management,Delete UKGPro workforce_management,UKGPro test data ready,Open module > perform action > validate result,Success,Low
UKG-WOR-00014,UKGPro,workforce_management,Route UKGPro workforce_management,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,High
UKG-WOR-00015,UKGPro,workforce_management,Escalate UKGPro workforce_management,UKGPro test data ready,Open module > perform action > validate result,Success,Low
UKG-WOR-00016,UKGPro,workforce_management,Route UKGPro workforce_management,UKGPro test data ready,Open module > perform action > validate result,Success,Low
UKG-WOR-00017,UKGPro,workforce_management,Route UKGPro workforce_management,UKGPro test data ready,Open module > perform action > validate result,Success,Low
UKG-WOR-00018,UKGPro,workforce_management,Approve UKGPro workforce_management,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Low
UKG-WOR-00019,UKGPro,workforce_management,Escalate UKGPro workforce_management,UKGPro test data ready,Open module > perform action > validate result,Success,Low
UKG-WOR-00020,UKGPro,workforce_management,Edit UKGPro workforce_management,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Low
UKG-WOR-00021,UKGPro,workforce_management,Reject UKGPro workforce_management,UKGPro test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UKG-WOR-00022,UKGPro,workforce_management,Archive UKGPro workforce_management,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-WOR-00023,UKGPro,workforce_management,Reject UKGPro workforce_management,UKGPro test data ready,Open module > perform action > validate result,Success,Medium
UKG-WOR-00024,UKGPro,workforce_management,Restore UKGPro workforce_management,UKGPro test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UKG-WOR-00025,UKGPro,workforce_management,Reject UKGPro workforce_management,UKGPro test data ready,Open module > perform action > validate result,Success,Low
