Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
UIP-ASS-00001,UiPath,assets,Update UiPath assets,UiPath test data ready,Open module > perform action > validate result,Success,Low
UIP-ASS-00002,UiPath,assets,Update UiPath assets,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,High
UIP-ASS-00003,UiPath,assets,Validate UiPath assets,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UIP-ASS-00004,UiPath,assets,Route UiPath assets,UiPath test data ready,Create record > route approval > verify status,Success,Medium
UIP-ASS-00005,UiPath,assets,Create UiPath assets,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UIP-ASS-00006,UiPath,assets,Reject UiPath assets,UiPath test data ready,Create record > route approval > verify status,Success,Low
UIP-ASS-00007,UiPath,assets,Archive UiPath assets,UiPath test data ready,Open module > perform action > validate result,Success,High
UIP-ASS-00008,UiPath,assets,Reject UiPath assets,UiPath test data ready,Open module > perform action > validate result,Success,Medium
UIP-ASS-00009,UiPath,assets,Create UiPath assets,UiPath test data ready,Open module > perform action > validate result,Success,High
UIP-ASS-00010,UiPath,assets,Restore UiPath assets,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,High
UIP-ASS-00011,UiPath,assets,Submit UiPath assets,UiPath test data ready,Create record > route approval > verify status,Success,Low
UIP-ASS-00012,UiPath,assets,Archive UiPath assets,UiPath test data ready,Create record > route approval > verify status,Success,Low
UIP-ASS-00013,UiPath,assets,Validate UiPath assets,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UIP-ASS-00014,UiPath,assets,Route UiPath assets,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,High
UIP-ASS-00015,UiPath,assets,Clone UiPath assets,UiPath test data ready,Create record > route approval > verify status,Success,Medium
UIP-ASS-00016,UiPath,assets,Route UiPath assets,UiPath test data ready,Create record > route approval > verify status,Success,Medium
UIP-ASS-00017,UiPath,assets,Validate UiPath assets,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,Low
UIP-ASS-00018,UiPath,assets,Clone UiPath assets,UiPath test data ready,Create record > route approval > verify status,Success,Medium
UIP-ASS-00019,UiPath,assets,Restore UiPath assets,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UIP-ASS-00020,UiPath,assets,Reject UiPath assets,UiPath test data ready,Create record > route approval > verify status,Success,High
UIP-ASS-00021,UiPath,assets,Clone UiPath assets,UiPath test data ready,Create record > route approval > verify status,Success,High
UIP-ASS-00022,UiPath,assets,Search UiPath assets,UiPath test data ready,Open module > perform action > validate result,Success,Low
UIP-ASS-00023,UiPath,assets,Escalate UiPath assets,UiPath test data ready,Create record > route approval > verify status,Success,High
UIP-ASS-00024,UiPath,assets,Validate UiPath assets,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,Low
UIP-ASS-00025,UiPath,assets,Approve UiPath assets,UiPath test data ready,Create record > route approval > verify status,Success,Low
UIP-ASS-00026,UiPath,assets,Delete UiPath assets,UiPath test data ready,Create record > route approval > verify status,Success,Low
UIP-ASS-00027,UiPath,assets,Delete UiPath assets,UiPath test data ready,Open module > perform action > validate result,Success,Low
UIP-ASS-00028,UiPath,assets,Submit UiPath assets,UiPath test data ready,Open module > perform action > validate result,Success,High
UIP-ASS-00029,UiPath,assets,Archive UiPath assets,UiPath test data ready,Create record > route approval > verify status,Success,Medium
UIP-ASS-00030,UiPath,assets,Submit UiPath assets,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,Low
UIP-ASS-00031,UiPath,assets,Escalate UiPath assets,UiPath test data ready,Create record > route approval > verify status,Success,High
