Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
UIP-ATT-00001,UiPath,attended,Delete UiPath attended,UiPath test data ready,Create record > route approval > verify status,Success,Low
UIP-ATT-00002,UiPath,attended,Approve UiPath attended,UiPath test data ready,Create record > route approval > verify status,Success,Medium
UIP-ATT-00003,UiPath,attended,Search UiPath attended,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,High
UIP-ATT-00004,UiPath,attended,Edit UiPath attended,UiPath test data ready,Open module > perform action > validate result,Success,Low
UIP-ATT-00005,UiPath,attended,Archive UiPath attended,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,Low
UIP-ATT-00006,UiPath,attended,Update UiPath attended,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,Low
UIP-ATT-00007,UiPath,attended,Update UiPath attended,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,High
UIP-ATT-00008,UiPath,attended,Approve UiPath attended,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,High
UIP-ATT-00009,UiPath,attended,Validate UiPath attended,UiPath test data ready,Create record > route approval > verify status,Success,High
UIP-ATT-00010,UiPath,attended,Restore UiPath attended,UiPath test data ready,Create record > route approval > verify status,Success,High
UIP-ATT-00011,UiPath,attended,Search UiPath attended,UiPath test data ready,Open module > perform action > validate result,Success,High
UIP-ATT-00012,UiPath,attended,Approve UiPath attended,UiPath test data ready,Create record > route approval > verify status,Success,Low
UIP-ATT-00013,UiPath,attended,Archive UiPath attended,UiPath test data ready,Create record > route approval > verify status,Success,Low
UIP-ATT-00014,UiPath,attended,Restore UiPath attended,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,Low
UIP-ATT-00015,UiPath,attended,Validate UiPath attended,UiPath test data ready,Create record > route approval > verify status,Success,Low
UIP-ATT-00016,UiPath,attended,Escalate UiPath attended,UiPath test data ready,Open module > perform action > validate result,Success,Medium
UIP-ATT-00017,UiPath,attended,Escalate UiPath attended,UiPath test data ready,Create record > route approval > verify status,Success,Low
UIP-ATT-00018,UiPath,attended,Delete UiPath attended,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,Low
UIP-ATT-00019,UiPath,attended,Update UiPath attended,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,Low
UIP-ATT-00020,UiPath,attended,Approve UiPath attended,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,High
UIP-ATT-00021,UiPath,attended,Archive UiPath attended,UiPath test data ready,Open module > perform action > validate result,Success,High
UIP-ATT-00022,UiPath,attended,Validate UiPath attended,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UIP-ATT-00023,UiPath,attended,Delete UiPath attended,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,High
UIP-ATT-00024,UiPath,attended,Submit UiPath attended,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UIP-ATT-00025,UiPath,attended,Archive UiPath attended,UiPath test data ready,Create record > route approval > verify status,Success,Low
UIP-ATT-00026,UiPath,attended,Validate UiPath attended,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UIP-ATT-00027,UiPath,attended,Clone UiPath attended,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,Low
UIP-ATT-00028,UiPath,attended,Create UiPath attended,UiPath test data ready,Create record > route approval > verify status,Success,Low
UIP-ATT-00029,UiPath,attended,Clone UiPath attended,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,High
UIP-ATT-00030,UiPath,attended,Clone UiPath attended,UiPath test data ready,Open module > perform action > validate result,Success,Medium
UIP-ATT-00031,UiPath,attended,Validate UiPath attended,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UIP-ATT-00032,UiPath,attended,Archive UiPath attended,UiPath test data ready,Open module > perform action > validate result,Success,High
UIP-ATT-00033,UiPath,attended,Escalate UiPath attended,UiPath test data ready,Create record > route approval > verify status,Success,High
UIP-ATT-00034,UiPath,attended,Validate UiPath attended,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UIP-ATT-00035,UiPath,attended,Validate UiPath attended,UiPath test data ready,Open module > perform action > validate result,Success,Medium
UIP-ATT-00036,UiPath,attended,Edit UiPath attended,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,Low
UIP-ATT-00037,UiPath,attended,Restore UiPath attended,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UIP-ATT-00038,UiPath,attended,Edit UiPath attended,UiPath test data ready,Create record > route approval > verify status,Success,Low
UIP-ATT-00039,UiPath,attended,Reject UiPath attended,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UIP-ATT-00040,UiPath,attended,Submit UiPath attended,UiPath test data ready,Open module > perform action > validate result,Success,Low
UIP-ATT-00041,UiPath,attended,Restore UiPath attended,UiPath test data ready,Create record > route approval > verify status,Success,Low
UIP-ATT-00042,UiPath,attended,Reject UiPath attended,UiPath test data ready,Create record > route approval > verify status,Success,High
UIP-ATT-00043,UiPath,attended,Clone UiPath attended,UiPath test data ready,Open module > perform action > validate result,Success,Low
UIP-ATT-00044,UiPath,attended,Edit UiPath attended,UiPath test data ready,Open module > perform action > validate result,Success,Low
UIP-ATT-00045,UiPath,attended,Submit UiPath attended,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,Low
