Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
UIP-STU-00001,UiPath,studio,Search UiPath studio,UiPath test data ready,Open module > perform action > validate result,Success,Medium
UIP-STU-00002,UiPath,studio,Reject UiPath studio,UiPath test data ready,Open module > perform action > validate result,Success,Medium
UIP-STU-00003,UiPath,studio,Search UiPath studio,UiPath test data ready,Open module > perform action > validate result,Success,Medium
UIP-STU-00004,UiPath,studio,Escalate UiPath studio,UiPath test data ready,Open module > perform action > validate result,Success,High
UIP-STU-00005,UiPath,studio,Edit UiPath studio,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UIP-STU-00006,UiPath,studio,Route UiPath studio,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,Medium
UIP-STU-00007,UiPath,studio,Submit UiPath studio,UiPath test data ready,Create record > route approval > verify status,Success,Low
UIP-STU-00008,UiPath,studio,Update UiPath studio,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,Low
UIP-STU-00009,UiPath,studio,Reject UiPath studio,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,High
UIP-STU-00010,UiPath,studio,Clone UiPath studio,UiPath test data ready,Create record > route approval > verify status,Success,Medium
UIP-STU-00011,UiPath,studio,Create UiPath studio,UiPath test data ready,Create record > route approval > verify status,Success,High
UIP-STU-00012,UiPath,studio,Delete UiPath studio,UiPath test data ready,Create record > route approval > verify status,Success,Low
UIP-STU-00013,UiPath,studio,Escalate UiPath studio,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,High
UIP-STU-00014,UiPath,studio,Update UiPath studio,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,High
UIP-STU-00015,UiPath,studio,Clone UiPath studio,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,High
UIP-STU-00016,UiPath,studio,Edit UiPath studio,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,High
UIP-STU-00017,UiPath,studio,Create UiPath studio,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,Low
UIP-STU-00018,UiPath,studio,Approve UiPath studio,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,Low
UIP-STU-00019,UiPath,studio,Validate UiPath studio,UiPath test data ready,Create record > route approval > verify status,Success,Low
UIP-STU-00020,UiPath,studio,Reject UiPath studio,UiPath test data ready,Create record > route approval > verify status,Success,Medium
UIP-STU-00021,UiPath,studio,Approve UiPath studio,UiPath test data ready,Create record > route approval > verify status,Success,Medium
UIP-STU-00022,UiPath,studio,Escalate UiPath studio,UiPath test data ready,Create record > route approval > verify status,Success,Low
UIP-STU-00023,UiPath,studio,Validate UiPath studio,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,High
UIP-STU-00024,UiPath,studio,Update UiPath studio,UiPath test data ready,Open module > perform action > validate result,Success,Medium
UIP-STU-00025,UiPath,studio,Reject UiPath studio,UiPath test data ready,Open module > perform action > validate result,Success,Medium
UIP-STU-00026,UiPath,studio,Delete UiPath studio,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,High
UIP-STU-00027,UiPath,studio,Update UiPath studio,UiPath test data ready,Create record > route approval > verify status,Success,High
UIP-STU-00028,UiPath,studio,Restore UiPath studio,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UIP-STU-00029,UiPath,studio,Clone UiPath studio,UiPath test data ready,Create record > route approval > verify status,Success,High
UIP-STU-00030,UiPath,studio,Archive UiPath studio,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,High
UIP-STU-00031,UiPath,studio,Delete UiPath studio,UiPath test data ready,Open module > perform action > validate result,Success,Medium
UIP-STU-00032,UiPath,studio,Clone UiPath studio,UiPath test data ready,Open module > perform action > validate result,Success,High
UIP-STU-00033,UiPath,studio,Approve UiPath studio,UiPath test data ready,Create record > route approval > verify status,Success,Medium
UIP-STU-00034,UiPath,studio,Escalate UiPath studio,UiPath test data ready,Create record > route approval > verify status,Success,Low
UIP-STU-00035,UiPath,studio,Search UiPath studio,UiPath test data ready,Open module > perform action > validate result,Success,High
UIP-STU-00036,UiPath,studio,Validate UiPath studio,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,High
UIP-STU-00037,UiPath,studio,Clone UiPath studio,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,Low
UIP-STU-00038,UiPath,studio,Update UiPath studio,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,Low
UIP-STU-00039,UiPath,studio,Submit UiPath studio,UiPath test data ready,Open module > perform action > validate result,Success,Medium
UIP-STU-00040,UiPath,studio,Update UiPath studio,UiPath test data ready,Create record > route approval > verify status,Success,High
UIP-STU-00041,UiPath,studio,Clone UiPath studio,UiPath test data ready,Create record > route approval > verify status,Success,Medium
UIP-STU-00042,UiPath,studio,Search UiPath studio,UiPath test data ready,Create record > route approval > verify status,Success,Low
UIP-STU-00043,UiPath,studio,Validate UiPath studio,UiPath test data ready,Open module > perform action > validate result,Success,Medium
UIP-STU-00044,UiPath,studio,Delete UiPath studio,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UIP-STU-00045,UiPath,studio,Update UiPath studio,UiPath test data ready,Create record > route approval > verify status,Success,Medium
UIP-STU-00046,UiPath,studio,Restore UiPath studio,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,High
UIP-STU-00047,UiPath,studio,Reject UiPath studio,UiPath test data ready,Open module > perform action > validate result,Success,High
UIP-STU-00048,UiPath,studio,Clone UiPath studio,UiPath test data ready,Open module > perform action > validate result,Success,High
UIP-STU-00049,UiPath,studio,Archive UiPath studio,UiPath test data ready,Open module > perform action > validate result,Success,High
UIP-STU-00050,UiPath,studio,Submit UiPath studio,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,High
UIP-STU-00051,UiPath,studio,Delete UiPath studio,UiPath test data ready,Open module > perform action > validate result,Success,Low
UIP-STU-00052,UiPath,studio,Archive UiPath studio,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,High
UIP-STU-00053,UiPath,studio,Approve UiPath studio,UiPath test data ready,Open module > perform action > validate result,Success,Low
UIP-STU-00054,UiPath,studio,Restore UiPath studio,UiPath test data ready,Submit transaction > sync system > reconcile report,Success,High
UIP-STU-00055,UiPath,studio,Delete UiPath studio,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,High
UIP-STU-00056,UiPath,studio,Edit UiPath studio,UiPath test data ready,Initiate integration > check queue > confirm completion,Success,Medium
UIP-STU-00057,UiPath,studio,Edit UiPath studio,UiPath test data ready,Open module > perform action > validate result,Success,High
