Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
VEE-CLI-00001,Veeva,clinical,Reject Veeva clinical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-CLI-00002,Veeva,clinical,Escalate Veeva clinical,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-CLI-00003,Veeva,clinical,Escalate Veeva clinical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-CLI-00004,Veeva,clinical,Reject Veeva clinical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-CLI-00005,Veeva,clinical,Archive Veeva clinical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-CLI-00006,Veeva,clinical,Restore Veeva clinical,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-CLI-00007,Veeva,clinical,Validate Veeva clinical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-CLI-00008,Veeva,clinical,Search Veeva clinical,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-CLI-00009,Veeva,clinical,Update Veeva clinical,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-CLI-00010,Veeva,clinical,Reject Veeva clinical,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-CLI-00011,Veeva,clinical,Escalate Veeva clinical,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-CLI-00012,Veeva,clinical,Delete Veeva clinical,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-CLI-00013,Veeva,clinical,Edit Veeva clinical,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-CLI-00014,Veeva,clinical,Submit Veeva clinical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-CLI-00015,Veeva,clinical,Approve Veeva clinical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-CLI-00016,Veeva,clinical,Validate Veeva clinical,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-CLI-00017,Veeva,clinical,Reject Veeva clinical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-CLI-00018,Veeva,clinical,Search Veeva clinical,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-CLI-00019,Veeva,clinical,Validate Veeva clinical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-CLI-00020,Veeva,clinical,Route Veeva clinical,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-CLI-00021,Veeva,clinical,Submit Veeva clinical,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-CLI-00022,Veeva,clinical,Create Veeva clinical,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-CLI-00023,Veeva,clinical,Reject Veeva clinical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-CLI-00024,Veeva,clinical,Update Veeva clinical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-CLI-00025,Veeva,clinical,Reject Veeva clinical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-CLI-00026,Veeva,clinical,Validate Veeva clinical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-CLI-00027,Veeva,clinical,Clone Veeva clinical,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-CLI-00028,Veeva,clinical,Edit Veeva clinical,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-CLI-00029,Veeva,clinical,Search Veeva clinical,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-CLI-00030,Veeva,clinical,Clone Veeva clinical,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-CLI-00031,Veeva,clinical,Edit Veeva clinical,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-CLI-00032,Veeva,clinical,Restore Veeva clinical,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-CLI-00033,Veeva,clinical,Route Veeva clinical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-CLI-00034,Veeva,clinical,Archive Veeva clinical,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-CLI-00035,Veeva,clinical,Reject Veeva clinical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-CLI-00036,Veeva,clinical,Submit Veeva clinical,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-CLI-00037,Veeva,clinical,Validate Veeva clinical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-CLI-00038,Veeva,clinical,Update Veeva clinical,Veeva test data ready,Create record > route approval > verify status,Success,Low
VEE-CLI-00039,Veeva,clinical,Update Veeva clinical,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-CLI-00040,Veeva,clinical,Escalate Veeva clinical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-CLI-00041,Veeva,clinical,Archive Veeva clinical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-CLI-00042,Veeva,clinical,Validate Veeva clinical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-CLI-00043,Veeva,clinical,Edit Veeva clinical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-CLI-00044,Veeva,clinical,Clone Veeva clinical,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-CLI-00045,Veeva,clinical,Submit Veeva clinical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-CLI-00046,Veeva,clinical,Route Veeva clinical,Veeva test data ready,Create record > route approval > verify status,Success,Low
VEE-CLI-00047,Veeva,clinical,Approve Veeva clinical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-CLI-00048,Veeva,clinical,Validate Veeva clinical,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-CLI-00049,Veeva,clinical,Restore Veeva clinical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-CLI-00050,Veeva,clinical,Update Veeva clinical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-CLI-00051,Veeva,clinical,Create Veeva clinical,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-CLI-00052,Veeva,clinical,Approve Veeva clinical,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-CLI-00053,Veeva,clinical,Delete Veeva clinical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-CLI-00054,Veeva,clinical,Update Veeva clinical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-CLI-00055,Veeva,clinical,Edit Veeva clinical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-CLI-00056,Veeva,clinical,Update Veeva clinical,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-CLI-00057,Veeva,clinical,Validate Veeva clinical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
