Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
VEE-MED-00001,Veeva,medical,Reject Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-MED-00002,Veeva,medical,Route Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-MED-00003,Veeva,medical,Route Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-MED-00004,Veeva,medical,Approve Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-MED-00005,Veeva,medical,Route Veeva medical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-MED-00006,Veeva,medical,Update Veeva medical,Veeva test data ready,Create record > route approval > verify status,Success,Low
VEE-MED-00007,Veeva,medical,Reject Veeva medical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-MED-00008,Veeva,medical,Edit Veeva medical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-MED-00009,Veeva,medical,Edit Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-MED-00010,Veeva,medical,Reject Veeva medical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-MED-00011,Veeva,medical,Restore Veeva medical,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-MED-00012,Veeva,medical,Archive Veeva medical,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-MED-00013,Veeva,medical,Escalate Veeva medical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-MED-00014,Veeva,medical,Archive Veeva medical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-MED-00015,Veeva,medical,Update Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-MED-00016,Veeva,medical,Restore Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-MED-00017,Veeva,medical,Validate Veeva medical,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-MED-00018,Veeva,medical,Delete Veeva medical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-MED-00019,Veeva,medical,Edit Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-MED-00020,Veeva,medical,Submit Veeva medical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-MED-00021,Veeva,medical,Validate Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-MED-00022,Veeva,medical,Clone Veeva medical,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-MED-00023,Veeva,medical,Validate Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-MED-00024,Veeva,medical,Update Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-MED-00025,Veeva,medical,Archive Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-MED-00026,Veeva,medical,Route Veeva medical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-MED-00027,Veeva,medical,Edit Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-MED-00028,Veeva,medical,Reject Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-MED-00029,Veeva,medical,Escalate Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-MED-00030,Veeva,medical,Validate Veeva medical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-MED-00031,Veeva,medical,Clone Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-MED-00032,Veeva,medical,Submit Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-MED-00033,Veeva,medical,Submit Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-MED-00034,Veeva,medical,Edit Veeva medical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-MED-00035,Veeva,medical,Update Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-MED-00036,Veeva,medical,Route Veeva medical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-MED-00037,Veeva,medical,Update Veeva medical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-MED-00038,Veeva,medical,Clone Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-MED-00039,Veeva,medical,Route Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-MED-00040,Veeva,medical,Clone Veeva medical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-MED-00041,Veeva,medical,Approve Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-MED-00042,Veeva,medical,Approve Veeva medical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-MED-00043,Veeva,medical,Archive Veeva medical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-MED-00044,Veeva,medical,Clone Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-MED-00045,Veeva,medical,Approve Veeva medical,Veeva test data ready,Create record > route approval > verify status,Success,Low
VEE-MED-00046,Veeva,medical,Delete Veeva medical,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-MED-00047,Veeva,medical,Update Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-MED-00048,Veeva,medical,Restore Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-MED-00049,Veeva,medical,Archive Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-MED-00050,Veeva,medical,Update Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-MED-00051,Veeva,medical,Delete Veeva medical,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-MED-00052,Veeva,medical,Create Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-MED-00053,Veeva,medical,Submit Veeva medical,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-MED-00054,Veeva,medical,Delete Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-MED-00055,Veeva,medical,Approve Veeva medical,Veeva test data ready,Create record > route approval > verify status,Success,Low
VEE-MED-00056,Veeva,medical,Update Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-MED-00057,Veeva,medical,Edit Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-MED-00058,Veeva,medical,Route Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-MED-00059,Veeva,medical,Search Veeva medical,Veeva test data ready,Create record > route approval > verify status,Success,Low
VEE-MED-00060,Veeva,medical,Validate Veeva medical,Veeva test data ready,Create record > route approval > verify status,Success,Low
VEE-MED-00061,Veeva,medical,Edit Veeva medical,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-MED-00062,Veeva,medical,Archive Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-MED-00063,Veeva,medical,Clone Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-MED-00064,Veeva,medical,Restore Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-MED-00065,Veeva,medical,Update Veeva medical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-MED-00066,Veeva,medical,Route Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-MED-00067,Veeva,medical,Edit Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-MED-00068,Veeva,medical,Reject Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-MED-00069,Veeva,medical,Approve Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-MED-00070,Veeva,medical,Reject Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-MED-00071,Veeva,medical,Submit Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-MED-00072,Veeva,medical,Escalate Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-MED-00073,Veeva,medical,Search Veeva medical,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-MED-00074,Veeva,medical,Submit Veeva medical,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-MED-00075,Veeva,medical,Validate Veeva medical,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
