Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
VEE-QUA-00001,Veeva,quality,Escalate Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-QUA-00002,Veeva,quality,Submit Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-QUA-00003,Veeva,quality,Reject Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-QUA-00004,Veeva,quality,Search Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-QUA-00005,Veeva,quality,Archive Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-QUA-00006,Veeva,quality,Reject Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,Low
VEE-QUA-00007,Veeva,quality,Reject Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-QUA-00008,Veeva,quality,Create Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-QUA-00009,Veeva,quality,Archive Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-QUA-00010,Veeva,quality,Approve Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-QUA-00011,Veeva,quality,Delete Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-QUA-00012,Veeva,quality,Delete Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-QUA-00013,Veeva,quality,Restore Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-QUA-00014,Veeva,quality,Validate Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-QUA-00015,Veeva,quality,Escalate Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-QUA-00016,Veeva,quality,Route Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-QUA-00017,Veeva,quality,Archive Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,Low
VEE-QUA-00018,Veeva,quality,Update Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-QUA-00019,Veeva,quality,Escalate Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-QUA-00020,Veeva,quality,Clone Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-QUA-00021,Veeva,quality,Validate Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-QUA-00022,Veeva,quality,Route Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-QUA-00023,Veeva,quality,Reject Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-QUA-00024,Veeva,quality,Archive Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-QUA-00025,Veeva,quality,Route Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,Low
VEE-QUA-00026,Veeva,quality,Reject Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-QUA-00027,Veeva,quality,Edit Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-QUA-00028,Veeva,quality,Reject Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-QUA-00029,Veeva,quality,Archive Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-QUA-00030,Veeva,quality,Restore Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-QUA-00031,Veeva,quality,Edit Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-QUA-00032,Veeva,quality,Validate Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-QUA-00033,Veeva,quality,Validate Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-QUA-00034,Veeva,quality,Create Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-QUA-00035,Veeva,quality,Validate Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-QUA-00036,Veeva,quality,Clone Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,Low
VEE-QUA-00037,Veeva,quality,Escalate Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-QUA-00038,Veeva,quality,Validate Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-QUA-00039,Veeva,quality,Restore Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-QUA-00040,Veeva,quality,Search Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-QUA-00041,Veeva,quality,Restore Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-QUA-00042,Veeva,quality,Escalate Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-QUA-00043,Veeva,quality,Search Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-QUA-00044,Veeva,quality,Create Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-QUA-00045,Veeva,quality,Validate Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-QUA-00046,Veeva,quality,Submit Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-QUA-00047,Veeva,quality,Reject Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-QUA-00048,Veeva,quality,Route Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-QUA-00049,Veeva,quality,Restore Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-QUA-00050,Veeva,quality,Reject Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-QUA-00051,Veeva,quality,Create Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-QUA-00052,Veeva,quality,Delete Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-QUA-00053,Veeva,quality,Archive Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-QUA-00054,Veeva,quality,Submit Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-QUA-00055,Veeva,quality,Reject Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-QUA-00056,Veeva,quality,Validate Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-QUA-00057,Veeva,quality,Validate Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,Low
VEE-QUA-00058,Veeva,quality,Create Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-QUA-00059,Veeva,quality,Escalate Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-QUA-00060,Veeva,quality,Edit Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-QUA-00061,Veeva,quality,Approve Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-QUA-00062,Veeva,quality,Restore Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,Low
VEE-QUA-00063,Veeva,quality,Delete Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-QUA-00064,Veeva,quality,Edit Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-QUA-00065,Veeva,quality,Route Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-QUA-00066,Veeva,quality,Restore Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-QUA-00067,Veeva,quality,Archive Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-QUA-00068,Veeva,quality,Reject Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-QUA-00069,Veeva,quality,Route Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-QUA-00070,Veeva,quality,Restore Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-QUA-00071,Veeva,quality,Delete Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,Low
VEE-QUA-00072,Veeva,quality,Approve Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-QUA-00073,Veeva,quality,Edit Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-QUA-00074,Veeva,quality,Clone Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-QUA-00075,Veeva,quality,Search Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-QUA-00076,Veeva,quality,Validate Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-QUA-00077,Veeva,quality,Submit Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-QUA-00078,Veeva,quality,Create Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-QUA-00079,Veeva,quality,Approve Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-QUA-00080,Veeva,quality,Reject Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-QUA-00081,Veeva,quality,Submit Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-QUA-00082,Veeva,quality,Escalate Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-QUA-00083,Veeva,quality,Search Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-QUA-00084,Veeva,quality,Create Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-QUA-00085,Veeva,quality,Archive Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-QUA-00086,Veeva,quality,Delete Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,Low
VEE-QUA-00087,Veeva,quality,Reject Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-QUA-00088,Veeva,quality,Restore Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-QUA-00089,Veeva,quality,Escalate Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-QUA-00090,Veeva,quality,Reject Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-QUA-00091,Veeva,quality,Approve Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-QUA-00092,Veeva,quality,Search Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-QUA-00093,Veeva,quality,Validate Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-QUA-00094,Veeva,quality,Route Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-QUA-00095,Veeva,quality,Route Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-QUA-00096,Veeva,quality,Create Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-QUA-00097,Veeva,quality,Search Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-QUA-00098,Veeva,quality,Create Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-QUA-00099,Veeva,quality,Delete Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-QUA-00100,Veeva,quality,Archive Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,Low
VEE-QUA-00101,Veeva,quality,Reject Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-QUA-00102,Veeva,quality,Reject Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-QUA-00103,Veeva,quality,Update Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-QUA-00104,Veeva,quality,Delete Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-QUA-00105,Veeva,quality,Create Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-QUA-00106,Veeva,quality,Search Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-QUA-00107,Veeva,quality,Delete Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-QUA-00108,Veeva,quality,Submit Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,Low
VEE-QUA-00109,Veeva,quality,Validate Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,Low
VEE-QUA-00110,Veeva,quality,Route Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-QUA-00111,Veeva,quality,Clone Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-QUA-00112,Veeva,quality,Approve Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-QUA-00113,Veeva,quality,Validate Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-QUA-00114,Veeva,quality,Update Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-QUA-00115,Veeva,quality,Delete Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-QUA-00116,Veeva,quality,Submit Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-QUA-00117,Veeva,quality,Edit Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-QUA-00118,Veeva,quality,Update Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-QUA-00119,Veeva,quality,Route Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-QUA-00120,Veeva,quality,Create Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-QUA-00121,Veeva,quality,Search Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-QUA-00122,Veeva,quality,Approve Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-QUA-00123,Veeva,quality,Submit Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-QUA-00124,Veeva,quality,Route Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-QUA-00125,Veeva,quality,Update Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-QUA-00126,Veeva,quality,Archive Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-QUA-00127,Veeva,quality,Search Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-QUA-00128,Veeva,quality,Search Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-QUA-00129,Veeva,quality,Create Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-QUA-00130,Veeva,quality,Delete Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,Low
VEE-QUA-00131,Veeva,quality,Approve Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-QUA-00132,Veeva,quality,Create Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-QUA-00133,Veeva,quality,Validate Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-QUA-00134,Veeva,quality,Validate Veeva quality,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-QUA-00135,Veeva,quality,Escalate Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-QUA-00136,Veeva,quality,Create Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-QUA-00137,Veeva,quality,Archive Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-QUA-00138,Veeva,quality,Delete Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-QUA-00139,Veeva,quality,Validate Veeva quality,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-QUA-00140,Veeva,quality,Restore Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,High
VEE-QUA-00141,Veeva,quality,Restore Veeva quality,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-QUA-00142,Veeva,quality,Validate Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-QUA-00143,Veeva,quality,Edit Veeva quality,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
