Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
VEE-REG-00001,Veeva,regulatory,Escalate Veeva regulatory,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-REG-00002,Veeva,regulatory,Submit Veeva regulatory,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-REG-00003,Veeva,regulatory,Create Veeva regulatory,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-REG-00004,Veeva,regulatory,Route Veeva regulatory,Veeva test data ready,Create record > route approval > verify status,Success,Low
VEE-REG-00005,Veeva,regulatory,Restore Veeva regulatory,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-REG-00006,Veeva,regulatory,Validate Veeva regulatory,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-REG-00007,Veeva,regulatory,Archive Veeva regulatory,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-REG-00008,Veeva,regulatory,Create Veeva regulatory,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-REG-00009,Veeva,regulatory,Escalate Veeva regulatory,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-REG-00010,Veeva,regulatory,Create Veeva regulatory,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-REG-00011,Veeva,regulatory,Search Veeva regulatory,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-REG-00012,Veeva,regulatory,Update Veeva regulatory,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-REG-00013,Veeva,regulatory,Restore Veeva regulatory,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-REG-00014,Veeva,regulatory,Edit Veeva regulatory,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-REG-00015,Veeva,regulatory,Reject Veeva regulatory,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-REG-00016,Veeva,regulatory,Escalate Veeva regulatory,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-REG-00017,Veeva,regulatory,Update Veeva regulatory,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-REG-00018,Veeva,regulatory,Validate Veeva regulatory,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-REG-00019,Veeva,regulatory,Submit Veeva regulatory,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-REG-00020,Veeva,regulatory,Restore Veeva regulatory,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-REG-00021,Veeva,regulatory,Clone Veeva regulatory,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-REG-00022,Veeva,regulatory,Submit Veeva regulatory,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-REG-00023,Veeva,regulatory,Restore Veeva regulatory,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-REG-00024,Veeva,regulatory,Create Veeva regulatory,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-REG-00025,Veeva,regulatory,Edit Veeva regulatory,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-REG-00026,Veeva,regulatory,Update Veeva regulatory,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-REG-00027,Veeva,regulatory,Escalate Veeva regulatory,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-REG-00028,Veeva,regulatory,Clone Veeva regulatory,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-REG-00029,Veeva,regulatory,Validate Veeva regulatory,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-REG-00030,Veeva,regulatory,Route Veeva regulatory,Veeva test data ready,Open module > perform action > validate result,Success,Low
