Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
VEE-VAU-00001,Veeva,vault,Delete Veeva vault,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-VAU-00002,Veeva,vault,Delete Veeva vault,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-VAU-00003,Veeva,vault,Submit Veeva vault,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-VAU-00004,Veeva,vault,Update Veeva vault,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-VAU-00005,Veeva,vault,Escalate Veeva vault,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-VAU-00006,Veeva,vault,Clone Veeva vault,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-VAU-00007,Veeva,vault,Route Veeva vault,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Low
VEE-VAU-00008,Veeva,vault,Update Veeva vault,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-VAU-00009,Veeva,vault,Route Veeva vault,Veeva test data ready,Open module > perform action > validate result,Success,Low
VEE-VAU-00010,Veeva,vault,Update Veeva vault,Veeva test data ready,Create record > route approval > verify status,Success,High
VEE-VAU-00011,Veeva,vault,Create Veeva vault,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-VAU-00012,Veeva,vault,Restore Veeva vault,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-VAU-00013,Veeva,vault,Clone Veeva vault,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-VAU-00014,Veeva,vault,Reject Veeva vault,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-VAU-00015,Veeva,vault,Submit Veeva vault,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Low
VEE-VAU-00016,Veeva,vault,Delete Veeva vault,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-VAU-00017,Veeva,vault,Create Veeva vault,Veeva test data ready,Create record > route approval > verify status,Success,Medium
VEE-VAU-00018,Veeva,vault,Escalate Veeva vault,Veeva test data ready,Open module > perform action > validate result,Success,High
VEE-VAU-00019,Veeva,vault,Archive Veeva vault,Veeva test data ready,Open module > perform action > validate result,Success,Medium
VEE-VAU-00020,Veeva,vault,Reject Veeva vault,Veeva test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VEE-VAU-00021,Veeva,vault,Update Veeva vault,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VEE-VAU-00022,Veeva,vault,Approve Veeva vault,Veeva test data ready,Submit transaction > sync system > reconcile report,Success,High
VEE-VAU-00023,Veeva,vault,Edit Veeva vault,Veeva test data ready,Create record > route approval > verify status,Success,High
