Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
WEB-ACC-00001,WebApps,accessibility,accessibility,Media,Browse -> Add -> Checkout -> Confirm,Integration,Reject WebApps accessibility,WebApps access and test data available,"1. Open accessibility.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-ACC-00002,WebApps,accessibility,accessibility,SaaS,Open -> Authenticate -> Use -> Close,Security,Update WebApps accessibility,WebApps access and test data available,"1. Open accessibility.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-ACC-00003,WebApps,accessibility,accessibility,Retail,Browse -> Add -> Checkout -> Confirm,Integration,Clone WebApps accessibility,WebApps access and test data available,"1. Open accessibility.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-ACC-00004,WebApps,accessibility,accessibility,Retail,Open -> Authenticate -> Use -> Close,UI,Create WebApps accessibility,WebApps access and test data available,"1. Open accessibility.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-ACC-00005,WebApps,accessibility,accessibility,Media,Browse -> Add -> Checkout -> Confirm,Regression,Route WebApps accessibility,WebApps access and test data available,"1. Open accessibility.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-ACC-00006,WebApps,accessibility,accessibility,Retail,Open -> Authenticate -> Use -> Close,Security,Create WebApps accessibility,WebApps access and test data available,"1. Open accessibility.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-ACC-00007,WebApps,accessibility,accessibility,SaaS,Open -> Authenticate -> Use -> Close,Functional,Clone WebApps accessibility,WebApps access and test data available,"1. Open accessibility.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-ACC-00008,WebApps,accessibility,accessibility,Marketplace,Open -> Authenticate -> Use -> Close,Security,Validate WebApps accessibility,WebApps access and test data available,"1. Open accessibility.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-ACC-00009,WebApps,accessibility,accessibility,Retail,Render -> Interact -> Persist -> Report,Performance,Update WebApps accessibility,WebApps access and test data available,"1. Open accessibility.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-ACC-00010,WebApps,accessibility,accessibility,SaaS,Open -> Authenticate -> Use -> Close,Accessibility,Update WebApps accessibility,WebApps access and test data available,"1. Open accessibility.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-ACC-00011,WebApps,accessibility,accessibility,Media,Browse -> Add -> Checkout -> Confirm,Performance,Restore WebApps accessibility,WebApps access and test data available,"1. Open accessibility.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-ACC-00012,WebApps,accessibility,accessibility,Retail,Render -> Interact -> Persist -> Report,Functional,Reject WebApps accessibility,WebApps access and test data available,"1. Open accessibility.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-ACC-00013,WebApps,accessibility,accessibility,SaaS,Render -> Interact -> Persist -> Report,UI,Restore WebApps accessibility,WebApps access and test data available,"1. Open accessibility.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
