Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
WEB-FOR-00001,WebApps,forms,forms,Marketplace,Browse -> Add -> Checkout -> Confirm,Security,Approve WebApps forms,WebApps access and test data available,"1. Open forms.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-FOR-00002,WebApps,forms,forms,Media,Open -> Authenticate -> Use -> Close,UI,Escalate WebApps forms,WebApps access and test data available,"1. Open forms.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-FOR-00003,WebApps,forms,forms,Retail,Render -> Interact -> Persist -> Report,Regression,Clone WebApps forms,WebApps access and test data available,"1. Open forms.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-FOR-00004,WebApps,forms,forms,Marketplace,Browse -> Add -> Checkout -> Confirm,Regression,Clone WebApps forms,WebApps access and test data available,"1. Open forms.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-FOR-00005,WebApps,forms,forms,SaaS,Open -> Authenticate -> Use -> Close,Accessibility,Reject WebApps forms,WebApps access and test data available,"1. Open forms.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-FOR-00006,WebApps,forms,forms,SaaS,Open -> Authenticate -> Use -> Close,Security,Edit WebApps forms,WebApps access and test data available,"1. Open forms.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-FOR-00007,WebApps,forms,forms,Media,Open -> Authenticate -> Use -> Close,Security,Update WebApps forms,WebApps access and test data available,"1. Open forms.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-FOR-00008,WebApps,forms,forms,SaaS,Open -> Authenticate -> Use -> Close,Regression,Approve WebApps forms,WebApps access and test data available,"1. Open forms.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-FOR-00009,WebApps,forms,forms,Retail,Render -> Interact -> Persist -> Report,Integration,Approve WebApps forms,WebApps access and test data available,"1. Open forms.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-FOR-00010,WebApps,forms,forms,Retail,Browse -> Add -> Checkout -> Confirm,Functional,Archive WebApps forms,WebApps access and test data available,"1. Open forms.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-FOR-00011,WebApps,forms,forms,SaaS,Render -> Interact -> Persist -> Report,Regression,Clone WebApps forms,WebApps access and test data available,"1. Open forms.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-FOR-00012,WebApps,forms,forms,Media,Render -> Interact -> Persist -> Report,Functional,Edit WebApps forms,WebApps access and test data available,"1. Open forms.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-FOR-00013,WebApps,forms,forms,Marketplace,Render -> Interact -> Persist -> Report,Accessibility,Validate WebApps forms,WebApps access and test data available,"1. Open forms.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-FOR-00014,WebApps,forms,forms,Marketplace,Browse -> Add -> Checkout -> Confirm,Regression,Escalate WebApps forms,WebApps access and test data available,"1. Open forms.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-FOR-00015,WebApps,forms,forms,Media,Browse -> Add -> Checkout -> Confirm,Regression,Escalate WebApps forms,WebApps access and test data available,"1. Open forms.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-FOR-00016,WebApps,forms,forms,SaaS,Open -> Authenticate -> Use -> Close,Security,Submit WebApps forms,WebApps access and test data available,"1. Open forms.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-FOR-00017,WebApps,forms,forms,Marketplace,Render -> Interact -> Persist -> Report,Functional,Validate WebApps forms,WebApps access and test data available,"1. Open forms.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-FOR-00018,WebApps,forms,forms,Marketplace,Browse -> Add -> Checkout -> Confirm,UI,Reject WebApps forms,WebApps access and test data available,"1. Open forms.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
