Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
WEB-PER-00001,WebApps,performance,performance,Retail,Open -> Authenticate -> Use -> Close,Performance,Validate WebApps performance,WebApps access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-PER-00002,WebApps,performance,performance,Marketplace,Open -> Authenticate -> Use -> Close,Accessibility,Delete WebApps performance,WebApps access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-PER-00003,WebApps,performance,performance,SaaS,Open -> Authenticate -> Use -> Close,Integration,Validate WebApps performance,WebApps access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-PER-00004,WebApps,performance,performance,Retail,Browse -> Add -> Checkout -> Confirm,Functional,Edit WebApps performance,WebApps access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-PER-00005,WebApps,performance,performance,Marketplace,Browse -> Add -> Checkout -> Confirm,Security,Create WebApps performance,WebApps access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-PER-00006,WebApps,performance,performance,Retail,Open -> Authenticate -> Use -> Close,Performance,Delete WebApps performance,WebApps access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-PER-00007,WebApps,performance,performance,Marketplace,Open -> Authenticate -> Use -> Close,Security,Validate WebApps performance,WebApps access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-PER-00008,WebApps,performance,performance,SaaS,Open -> Authenticate -> Use -> Close,Functional,Archive WebApps performance,WebApps access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-PER-00009,WebApps,performance,performance,SaaS,Open -> Authenticate -> Use -> Close,Security,Approve WebApps performance,WebApps access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-PER-00010,WebApps,performance,performance,Media,Open -> Authenticate -> Use -> Close,Integration,Approve WebApps performance,WebApps access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-PER-00011,WebApps,performance,performance,Marketplace,Open -> Authenticate -> Use -> Close,Integration,Reject WebApps performance,WebApps access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-PER-00012,WebApps,performance,performance,SaaS,Render -> Interact -> Persist -> Report,Performance,Edit WebApps performance,WebApps access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
