Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
WEB-AUT-00001,WebApps,auth,auth,Media,Render -> Interact -> Persist -> Report,Integration,Reject WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-AUT-00002,WebApps,auth,auth,Media,Open -> Authenticate -> Use -> Close,Security,Search WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-AUT-00003,WebApps,auth,auth,SaaS,Render -> Interact -> Persist -> Report,Integration,Search WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-AUT-00004,WebApps,auth,auth,SaaS,Render -> Interact -> Persist -> Report,Security,Route WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-AUT-00005,WebApps,auth,auth,Marketplace,Render -> Interact -> Persist -> Report,UI,Search WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-AUT-00006,WebApps,auth,auth,SaaS,Browse -> Add -> Checkout -> Confirm,Security,Validate WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-AUT-00007,WebApps,auth,auth,Marketplace,Render -> Interact -> Persist -> Report,UI,Restore WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-AUT-00008,WebApps,auth,auth,Media,Open -> Authenticate -> Use -> Close,Performance,Submit WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-AUT-00009,WebApps,auth,auth,Marketplace,Render -> Interact -> Persist -> Report,UI,Update WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-AUT-00010,WebApps,auth,auth,SaaS,Render -> Interact -> Persist -> Report,Security,Validate WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-AUT-00011,WebApps,auth,auth,Media,Open -> Authenticate -> Use -> Close,Security,Reject WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-AUT-00012,WebApps,auth,auth,Retail,Browse -> Add -> Checkout -> Confirm,Accessibility,Create WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-AUT-00013,WebApps,auth,auth,Marketplace,Open -> Authenticate -> Use -> Close,Security,Reject WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-AUT-00014,WebApps,auth,auth,SaaS,Render -> Interact -> Persist -> Report,Functional,Validate WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-AUT-00015,WebApps,auth,auth,SaaS,Render -> Interact -> Persist -> Report,Security,Search WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-AUT-00016,WebApps,auth,auth,Retail,Open -> Authenticate -> Use -> Close,Regression,Approve WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-AUT-00017,WebApps,auth,auth,SaaS,Open -> Authenticate -> Use -> Close,Security,Submit WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-AUT-00018,WebApps,auth,auth,Media,Render -> Interact -> Persist -> Report,Performance,Reject WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-AUT-00019,WebApps,auth,auth,Marketplace,Open -> Authenticate -> Use -> Close,UI,Search WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-AUT-00020,WebApps,auth,auth,Marketplace,Render -> Interact -> Persist -> Report,UI,Escalate WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-AUT-00021,WebApps,auth,auth,SaaS,Render -> Interact -> Persist -> Report,Accessibility,Reject WebApps auth,WebApps access and test data available,"1. Open auth.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
