Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
WEB-CHE-00001,WebApps,checkout,checkout,SaaS,Browse -> Add -> Checkout -> Confirm,Functional,Delete WebApps checkout,WebApps access and test data available,"1. Open checkout.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-CHE-00002,WebApps,checkout,checkout,SaaS,Browse -> Add -> Checkout -> Confirm,Functional,Clone WebApps checkout,WebApps access and test data available,"1. Open checkout.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-CHE-00003,WebApps,checkout,checkout,Marketplace,Render -> Interact -> Persist -> Report,Integration,Escalate WebApps checkout,WebApps access and test data available,"1. Open checkout.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-CHE-00004,WebApps,checkout,checkout,SaaS,Open -> Authenticate -> Use -> Close,Functional,Create WebApps checkout,WebApps access and test data available,"1. Open checkout.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-CHE-00005,WebApps,checkout,checkout,Marketplace,Render -> Interact -> Persist -> Report,Accessibility,Create WebApps checkout,WebApps access and test data available,"1. Open checkout.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-CHE-00006,WebApps,checkout,checkout,Retail,Render -> Interact -> Persist -> Report,Accessibility,Clone WebApps checkout,WebApps access and test data available,"1. Open checkout.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-CHE-00007,WebApps,checkout,checkout,Marketplace,Open -> Authenticate -> Use -> Close,UI,Escalate WebApps checkout,WebApps access and test data available,"1. Open checkout.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-CHE-00008,WebApps,checkout,checkout,Media,Open -> Authenticate -> Use -> Close,Performance,Edit WebApps checkout,WebApps access and test data available,"1. Open checkout.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-CHE-00009,WebApps,checkout,checkout,Media,Open -> Authenticate -> Use -> Close,Integration,Validate WebApps checkout,WebApps access and test data available,"1. Open checkout.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-CHE-00010,WebApps,checkout,checkout,Media,Render -> Interact -> Persist -> Report,Integration,Create WebApps checkout,WebApps access and test data available,"1. Open checkout.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-CHE-00011,WebApps,checkout,checkout,Retail,Render -> Interact -> Persist -> Report,UI,Reject WebApps checkout,WebApps access and test data available,"1. Open checkout.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-CHE-00012,WebApps,checkout,checkout,SaaS,Render -> Interact -> Persist -> Report,Functional,Clone WebApps checkout,WebApps access and test data available,"1. Open checkout.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-CHE-00013,WebApps,checkout,checkout,Media,Browse -> Add -> Checkout -> Confirm,Accessibility,Escalate WebApps checkout,WebApps access and test data available,"1. Open checkout.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-CHE-00014,WebApps,checkout,checkout,Retail,Render -> Interact -> Persist -> Report,UI,Escalate WebApps checkout,WebApps access and test data available,"1. Open checkout.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-CHE-00015,WebApps,checkout,checkout,Media,Open -> Authenticate -> Use -> Close,UI,Approve WebApps checkout,WebApps access and test data available,"1. Open checkout.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-CHE-00016,WebApps,checkout,checkout,Retail,Render -> Interact -> Persist -> Report,Regression,Delete WebApps checkout,WebApps access and test data available,"1. Open checkout.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-CHE-00017,WebApps,checkout,checkout,Retail,Render -> Interact -> Persist -> Report,Performance,Delete WebApps checkout,WebApps access and test data available,"1. Open checkout.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
