Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
WEB-SEC-00001,WebApps,security,security,Media,Browse -> Add -> Checkout -> Confirm,Accessibility,Submit WebApps security,WebApps access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-SEC-00002,WebApps,security,security,Retail,Browse -> Add -> Checkout -> Confirm,Performance,Approve WebApps security,WebApps access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-SEC-00003,WebApps,security,security,Retail,Render -> Interact -> Persist -> Report,Accessibility,Approve WebApps security,WebApps access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-SEC-00004,WebApps,security,security,Media,Render -> Interact -> Persist -> Report,Functional,Edit WebApps security,WebApps access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-SEC-00005,WebApps,security,security,SaaS,Browse -> Add -> Checkout -> Confirm,UI,Edit WebApps security,WebApps access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-SEC-00006,WebApps,security,security,Media,Render -> Interact -> Persist -> Report,Security,Edit WebApps security,WebApps access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-SEC-00007,WebApps,security,security,Marketplace,Open -> Authenticate -> Use -> Close,Accessibility,Reject WebApps security,WebApps access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-SEC-00008,WebApps,security,security,Media,Browse -> Add -> Checkout -> Confirm,Integration,Delete WebApps security,WebApps access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-SEC-00009,WebApps,security,security,Marketplace,Render -> Interact -> Persist -> Report,UI,Update WebApps security,WebApps access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-SEC-00010,WebApps,security,security,Marketplace,Open -> Authenticate -> Use -> Close,Integration,Archive WebApps security,WebApps access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
WEB-SEC-00011,WebApps,security,security,SaaS,Open -> Authenticate -> Use -> Close,UI,Validate WebApps security,WebApps access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""browser"": ""Chrome"", ""viewport"": ""1440x900"", ""user"": ""demo""}"
