Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ZEN-CHA-00001,Zendesk,chat,Reject Zendesk chat,Zendesk test data ready,Create record > route approval > verify status,Success,Low
ZEN-CHA-00002,Zendesk,chat,Search Zendesk chat,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,High
ZEN-CHA-00003,Zendesk,chat,Clone Zendesk chat,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZEN-CHA-00004,Zendesk,chat,Submit Zendesk chat,Zendesk test data ready,Create record > route approval > verify status,Success,Medium
ZEN-CHA-00005,Zendesk,chat,Create Zendesk chat,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,High
ZEN-CHA-00006,Zendesk,chat,Approve Zendesk chat,Zendesk test data ready,Open module > perform action > validate result,Success,Medium
ZEN-CHA-00007,Zendesk,chat,Approve Zendesk chat,Zendesk test data ready,Open module > perform action > validate result,Success,Low
ZEN-CHA-00008,Zendesk,chat,Route Zendesk chat,Zendesk test data ready,Open module > perform action > validate result,Success,Low
ZEN-CHA-00009,Zendesk,chat,Search Zendesk chat,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,High
ZEN-CHA-00010,Zendesk,chat,Update Zendesk chat,Zendesk test data ready,Create record > route approval > verify status,Success,Low
ZEN-CHA-00011,Zendesk,chat,Search Zendesk chat,Zendesk test data ready,Open module > perform action > validate result,Success,High
ZEN-CHA-00012,Zendesk,chat,Update Zendesk chat,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZEN-CHA-00013,Zendesk,chat,Edit Zendesk chat,Zendesk test data ready,Create record > route approval > verify status,Success,Medium
ZEN-CHA-00014,Zendesk,chat,Delete Zendesk chat,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZEN-CHA-00015,Zendesk,chat,Route Zendesk chat,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZEN-CHA-00016,Zendesk,chat,Reject Zendesk chat,Zendesk test data ready,Create record > route approval > verify status,Success,High
ZEN-CHA-00017,Zendesk,chat,Reject Zendesk chat,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZEN-CHA-00018,Zendesk,chat,Archive Zendesk chat,Zendesk test data ready,Open module > perform action > validate result,Success,High
ZEN-CHA-00019,Zendesk,chat,Create Zendesk chat,Zendesk test data ready,Create record > route approval > verify status,Success,Medium
ZEN-CHA-00020,Zendesk,chat,Archive Zendesk chat,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZEN-CHA-00021,Zendesk,chat,Approve Zendesk chat,Zendesk test data ready,Create record > route approval > verify status,Success,Low
ZEN-CHA-00022,Zendesk,chat,Search Zendesk chat,Zendesk test data ready,Open module > perform action > validate result,Success,Medium
