Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ZEN-EXP-00001,Zendesk,explore,Update Zendesk explore,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZEN-EXP-00002,Zendesk,explore,Validate Zendesk explore,Zendesk test data ready,Create record > route approval > verify status,Success,Medium
ZEN-EXP-00003,Zendesk,explore,Route Zendesk explore,Zendesk test data ready,Create record > route approval > verify status,Success,Low
ZEN-EXP-00004,Zendesk,explore,Edit Zendesk explore,Zendesk test data ready,Open module > perform action > validate result,Success,High
ZEN-EXP-00005,Zendesk,explore,Route Zendesk explore,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,High
ZEN-EXP-00006,Zendesk,explore,Reject Zendesk explore,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZEN-EXP-00007,Zendesk,explore,Route Zendesk explore,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZEN-EXP-00008,Zendesk,explore,Update Zendesk explore,Zendesk test data ready,Open module > perform action > validate result,Success,Medium
ZEN-EXP-00009,Zendesk,explore,Delete Zendesk explore,Zendesk test data ready,Create record > route approval > verify status,Success,Low
ZEN-EXP-00010,Zendesk,explore,Approve Zendesk explore,Zendesk test data ready,Open module > perform action > validate result,Success,High
ZEN-EXP-00011,Zendesk,explore,Route Zendesk explore,Zendesk test data ready,Open module > perform action > validate result,Success,High
ZEN-EXP-00012,Zendesk,explore,Restore Zendesk explore,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,High
ZEN-EXP-00013,Zendesk,explore,Create Zendesk explore,Zendesk test data ready,Create record > route approval > verify status,Success,Low
ZEN-EXP-00014,Zendesk,explore,Restore Zendesk explore,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,High
ZEN-EXP-00015,Zendesk,explore,Archive Zendesk explore,Zendesk test data ready,Open module > perform action > validate result,Success,Medium
ZEN-EXP-00016,Zendesk,explore,Search Zendesk explore,Zendesk test data ready,Create record > route approval > verify status,Success,Medium
ZEN-EXP-00017,Zendesk,explore,Create Zendesk explore,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZEN-EXP-00018,Zendesk,explore,Route Zendesk explore,Zendesk test data ready,Open module > perform action > validate result,Success,Medium
ZEN-EXP-00019,Zendesk,explore,Clone Zendesk explore,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZEN-EXP-00020,Zendesk,explore,Archive Zendesk explore,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZEN-EXP-00021,Zendesk,explore,Create Zendesk explore,Zendesk test data ready,Open module > perform action > validate result,Success,Low
ZEN-EXP-00022,Zendesk,explore,Route Zendesk explore,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZEN-EXP-00023,Zendesk,explore,Clone Zendesk explore,Zendesk test data ready,Open module > perform action > validate result,Success,High
ZEN-EXP-00024,Zendesk,explore,Approve Zendesk explore,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,High
ZEN-EXP-00025,Zendesk,explore,Search Zendesk explore,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZEN-EXP-00026,Zendesk,explore,Escalate Zendesk explore,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZEN-EXP-00027,Zendesk,explore,Approve Zendesk explore,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZEN-EXP-00028,Zendesk,explore,Delete Zendesk explore,Zendesk test data ready,Open module > perform action > validate result,Success,High
ZEN-EXP-00029,Zendesk,explore,Reject Zendesk explore,Zendesk test data ready,Open module > perform action > validate result,Success,Low
ZEN-EXP-00030,Zendesk,explore,Create Zendesk explore,Zendesk test data ready,Create record > route approval > verify status,Success,High
ZEN-EXP-00031,Zendesk,explore,Restore Zendesk explore,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,High
ZEN-EXP-00032,Zendesk,explore,Route Zendesk explore,Zendesk test data ready,Create record > route approval > verify status,Success,High
ZEN-EXP-00033,Zendesk,explore,Approve Zendesk explore,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZEN-EXP-00034,Zendesk,explore,Route Zendesk explore,Zendesk test data ready,Create record > route approval > verify status,Success,High
ZEN-EXP-00035,Zendesk,explore,Update Zendesk explore,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,High
ZEN-EXP-00036,Zendesk,explore,Create Zendesk explore,Zendesk test data ready,Create record > route approval > verify status,Success,Medium
ZEN-EXP-00037,Zendesk,explore,Search Zendesk explore,Zendesk test data ready,Create record > route approval > verify status,Success,Low
ZEN-EXP-00038,Zendesk,explore,Restore Zendesk explore,Zendesk test data ready,Create record > route approval > verify status,Success,Medium
ZEN-EXP-00039,Zendesk,explore,Approve Zendesk explore,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZEN-EXP-00040,Zendesk,explore,Reject Zendesk explore,Zendesk test data ready,Open module > perform action > validate result,Success,Medium
ZEN-EXP-00041,Zendesk,explore,Reject Zendesk explore,Zendesk test data ready,Create record > route approval > verify status,Success,Low
ZEN-EXP-00042,Zendesk,explore,Escalate Zendesk explore,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,High
ZEN-EXP-00043,Zendesk,explore,Edit Zendesk explore,Zendesk test data ready,Create record > route approval > verify status,Success,Low
ZEN-EXP-00044,Zendesk,explore,Reject Zendesk explore,Zendesk test data ready,Open module > perform action > validate result,Success,Medium
ZEN-EXP-00045,Zendesk,explore,Approve Zendesk explore,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZEN-EXP-00046,Zendesk,explore,Clone Zendesk explore,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZEN-EXP-00047,Zendesk,explore,Update Zendesk explore,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZEN-EXP-00048,Zendesk,explore,Validate Zendesk explore,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZEN-EXP-00049,Zendesk,explore,Escalate Zendesk explore,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZEN-EXP-00050,Zendesk,explore,Reject Zendesk explore,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Low
