Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ZEN-HEL-00001,Zendesk,help_center,Delete Zendesk help_center,Zendesk test data ready,Create record > route approval > verify status,Success,High
ZEN-HEL-00002,Zendesk,help_center,Escalate Zendesk help_center,Zendesk test data ready,Open module > perform action > validate result,Success,Medium
ZEN-HEL-00003,Zendesk,help_center,Clone Zendesk help_center,Zendesk test data ready,Open module > perform action > validate result,Success,Medium
ZEN-HEL-00004,Zendesk,help_center,Delete Zendesk help_center,Zendesk test data ready,Create record > route approval > verify status,Success,Medium
ZEN-HEL-00005,Zendesk,help_center,Edit Zendesk help_center,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,High
ZEN-HEL-00006,Zendesk,help_center,Escalate Zendesk help_center,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,High
ZEN-HEL-00007,Zendesk,help_center,Clone Zendesk help_center,Zendesk test data ready,Open module > perform action > validate result,Success,Low
ZEN-HEL-00008,Zendesk,help_center,Edit Zendesk help_center,Zendesk test data ready,Create record > route approval > verify status,Success,Medium
ZEN-HEL-00009,Zendesk,help_center,Route Zendesk help_center,Zendesk test data ready,Create record > route approval > verify status,Success,Medium
ZEN-HEL-00010,Zendesk,help_center,Search Zendesk help_center,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZEN-HEL-00011,Zendesk,help_center,Edit Zendesk help_center,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZEN-HEL-00012,Zendesk,help_center,Edit Zendesk help_center,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,High
ZEN-HEL-00013,Zendesk,help_center,Approve Zendesk help_center,Zendesk test data ready,Create record > route approval > verify status,Success,Medium
ZEN-HEL-00014,Zendesk,help_center,Delete Zendesk help_center,Zendesk test data ready,Create record > route approval > verify status,Success,Medium
ZEN-HEL-00015,Zendesk,help_center,Edit Zendesk help_center,Zendesk test data ready,Create record > route approval > verify status,Success,Medium
ZEN-HEL-00016,Zendesk,help_center,Update Zendesk help_center,Zendesk test data ready,Open module > perform action > validate result,Success,Low
ZEN-HEL-00017,Zendesk,help_center,Clone Zendesk help_center,Zendesk test data ready,Create record > route approval > verify status,Success,Medium
ZEN-HEL-00018,Zendesk,help_center,Update Zendesk help_center,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZEN-HEL-00019,Zendesk,help_center,Validate Zendesk help_center,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,High
ZEN-HEL-00020,Zendesk,help_center,Search Zendesk help_center,Zendesk test data ready,Create record > route approval > verify status,Success,Medium
ZEN-HEL-00021,Zendesk,help_center,Submit Zendesk help_center,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZEN-HEL-00022,Zendesk,help_center,Create Zendesk help_center,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,High
ZEN-HEL-00023,Zendesk,help_center,Clone Zendesk help_center,Zendesk test data ready,Open module > perform action > validate result,Success,Medium
ZEN-HEL-00024,Zendesk,help_center,Edit Zendesk help_center,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZEN-HEL-00025,Zendesk,help_center,Validate Zendesk help_center,Zendesk test data ready,Open module > perform action > validate result,Success,Medium
ZEN-HEL-00026,Zendesk,help_center,Archive Zendesk help_center,Zendesk test data ready,Create record > route approval > verify status,Success,Low
ZEN-HEL-00027,Zendesk,help_center,Restore Zendesk help_center,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZEN-HEL-00028,Zendesk,help_center,Clone Zendesk help_center,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZEN-HEL-00029,Zendesk,help_center,Search Zendesk help_center,Zendesk test data ready,Open module > perform action > validate result,Success,High
ZEN-HEL-00030,Zendesk,help_center,Reject Zendesk help_center,Zendesk test data ready,Create record > route approval > verify status,Success,Medium
ZEN-HEL-00031,Zendesk,help_center,Approve Zendesk help_center,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,High
ZEN-HEL-00032,Zendesk,help_center,Create Zendesk help_center,Zendesk test data ready,Open module > perform action > validate result,Success,High
ZEN-HEL-00033,Zendesk,help_center,Update Zendesk help_center,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZEN-HEL-00034,Zendesk,help_center,Create Zendesk help_center,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZEN-HEL-00035,Zendesk,help_center,Archive Zendesk help_center,Zendesk test data ready,Create record > route approval > verify status,Success,High
ZEN-HEL-00036,Zendesk,help_center,Validate Zendesk help_center,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZEN-HEL-00037,Zendesk,help_center,Update Zendesk help_center,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,High
ZEN-HEL-00038,Zendesk,help_center,Reject Zendesk help_center,Zendesk test data ready,Open module > perform action > validate result,Success,Medium
ZEN-HEL-00039,Zendesk,help_center,Clone Zendesk help_center,Zendesk test data ready,Open module > perform action > validate result,Success,High
ZEN-HEL-00040,Zendesk,help_center,Delete Zendesk help_center,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZEN-HEL-00041,Zendesk,help_center,Delete Zendesk help_center,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,High
ZEN-HEL-00042,Zendesk,help_center,Archive Zendesk help_center,Zendesk test data ready,Open module > perform action > validate result,Success,High
ZEN-HEL-00043,Zendesk,help_center,Delete Zendesk help_center,Zendesk test data ready,Create record > route approval > verify status,Success,High
ZEN-HEL-00044,Zendesk,help_center,Escalate Zendesk help_center,Zendesk test data ready,Open module > perform action > validate result,Success,Medium
ZEN-HEL-00045,Zendesk,help_center,Delete Zendesk help_center,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,High
ZEN-HEL-00046,Zendesk,help_center,Restore Zendesk help_center,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,Low
