Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ZEN-TAL-00001,Zendesk,talk,Search Zendesk talk,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZEN-TAL-00002,Zendesk,talk,Escalate Zendesk talk,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZEN-TAL-00003,Zendesk,talk,Escalate Zendesk talk,Zendesk test data ready,Open module > perform action > validate result,Success,High
ZEN-TAL-00004,Zendesk,talk,Clone Zendesk talk,Zendesk test data ready,Create record > route approval > verify status,Success,Low
ZEN-TAL-00005,Zendesk,talk,Edit Zendesk talk,Zendesk test data ready,Create record > route approval > verify status,Success,Medium
ZEN-TAL-00006,Zendesk,talk,Submit Zendesk talk,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,High
ZEN-TAL-00007,Zendesk,talk,Approve Zendesk talk,Zendesk test data ready,Create record > route approval > verify status,Success,Low
ZEN-TAL-00008,Zendesk,talk,Validate Zendesk talk,Zendesk test data ready,Open module > perform action > validate result,Success,Low
ZEN-TAL-00009,Zendesk,talk,Delete Zendesk talk,Zendesk test data ready,Create record > route approval > verify status,Success,Medium
ZEN-TAL-00010,Zendesk,talk,Archive Zendesk talk,Zendesk test data ready,Open module > perform action > validate result,Success,Low
ZEN-TAL-00011,Zendesk,talk,Create Zendesk talk,Zendesk test data ready,Open module > perform action > validate result,Success,High
ZEN-TAL-00012,Zendesk,talk,Approve Zendesk talk,Zendesk test data ready,Create record > route approval > verify status,Success,Medium
ZEN-TAL-00013,Zendesk,talk,Clone Zendesk talk,Zendesk test data ready,Initiate integration > check queue > confirm completion,Success,High
ZEN-TAL-00014,Zendesk,talk,Reject Zendesk talk,Zendesk test data ready,Create record > route approval > verify status,Success,High
ZEN-TAL-00015,Zendesk,talk,Search Zendesk talk,Zendesk test data ready,Create record > route approval > verify status,Success,High
ZEN-TAL-00016,Zendesk,talk,Restore Zendesk talk,Zendesk test data ready,Create record > route approval > verify status,Success,High
ZEN-TAL-00017,Zendesk,talk,Submit Zendesk talk,Zendesk test data ready,Create record > route approval > verify status,Success,Medium
ZEN-TAL-00018,Zendesk,talk,Delete Zendesk talk,Zendesk test data ready,Open module > perform action > validate result,Success,Low
ZEN-TAL-00019,Zendesk,talk,Restore Zendesk talk,Zendesk test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZEN-TAL-00020,Zendesk,talk,Reject Zendesk talk,Zendesk test data ready,Open module > perform action > validate result,Success,Low
