Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ZOH-DES-00001,Zoho,desk,Route Zoho desk,Zoho test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZOH-DES-00002,Zoho,desk,Archive Zoho desk,Zoho test data ready,Create record > route approval > verify status,Success,High
ZOH-DES-00003,Zoho,desk,Reject Zoho desk,Zoho test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZOH-DES-00004,Zoho,desk,Edit Zoho desk,Zoho test data ready,Create record > route approval > verify status,Success,High
ZOH-DES-00005,Zoho,desk,Validate Zoho desk,Zoho test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZOH-DES-00006,Zoho,desk,Validate Zoho desk,Zoho test data ready,Open module > perform action > validate result,Success,High
ZOH-DES-00007,Zoho,desk,Approve Zoho desk,Zoho test data ready,Create record > route approval > verify status,Success,High
ZOH-DES-00008,Zoho,desk,Reject Zoho desk,Zoho test data ready,Open module > perform action > validate result,Success,Low
ZOH-DES-00009,Zoho,desk,Edit Zoho desk,Zoho test data ready,Create record > route approval > verify status,Success,High
ZOH-DES-00010,Zoho,desk,Search Zoho desk,Zoho test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZOH-DES-00011,Zoho,desk,Restore Zoho desk,Zoho test data ready,Submit transaction > sync system > reconcile report,Success,High
ZOH-DES-00012,Zoho,desk,Approve Zoho desk,Zoho test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZOH-DES-00013,Zoho,desk,Validate Zoho desk,Zoho test data ready,Create record > route approval > verify status,Success,Medium
ZOH-DES-00014,Zoho,desk,Escalate Zoho desk,Zoho test data ready,Create record > route approval > verify status,Success,Medium
ZOH-DES-00015,Zoho,desk,Route Zoho desk,Zoho test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZOH-DES-00016,Zoho,desk,Escalate Zoho desk,Zoho test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZOH-DES-00017,Zoho,desk,Restore Zoho desk,Zoho test data ready,Create record > route approval > verify status,Success,Low
ZOH-DES-00018,Zoho,desk,Update Zoho desk,Zoho test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZOH-DES-00019,Zoho,desk,Escalate Zoho desk,Zoho test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZOH-DES-00020,Zoho,desk,Search Zoho desk,Zoho test data ready,Create record > route approval > verify status,Success,Low
