Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ZOO-REC-00001,Zoom,recordings,Approve Zoom recordings,Zoom test data ready,Create record > route approval > verify status,Success,High
ZOO-REC-00002,Zoom,recordings,Create Zoom recordings,Zoom test data ready,Submit transaction > sync system > reconcile report,Success,High
ZOO-REC-00003,Zoom,recordings,Approve Zoom recordings,Zoom test data ready,Open module > perform action > validate result,Success,Medium
ZOO-REC-00004,Zoom,recordings,Clone Zoom recordings,Zoom test data ready,Open module > perform action > validate result,Success,Medium
ZOO-REC-00005,Zoom,recordings,Create Zoom recordings,Zoom test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZOO-REC-00006,Zoom,recordings,Approve Zoom recordings,Zoom test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZOO-REC-00007,Zoom,recordings,Clone Zoom recordings,Zoom test data ready,Initiate integration > check queue > confirm completion,Success,High
ZOO-REC-00008,Zoom,recordings,Clone Zoom recordings,Zoom test data ready,Create record > route approval > verify status,Success,Medium
ZOO-REC-00009,Zoom,recordings,Validate Zoom recordings,Zoom test data ready,Open module > perform action > validate result,Success,Low
ZOO-REC-00010,Zoom,recordings,Approve Zoom recordings,Zoom test data ready,Create record > route approval > verify status,Success,Low
ZOO-REC-00011,Zoom,recordings,Validate Zoom recordings,Zoom test data ready,Create record > route approval > verify status,Success,Low
ZOO-REC-00012,Zoom,recordings,Edit Zoom recordings,Zoom test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZOO-REC-00013,Zoom,recordings,Reject Zoom recordings,Zoom test data ready,Open module > perform action > validate result,Success,High
ZOO-REC-00014,Zoom,recordings,Validate Zoom recordings,Zoom test data ready,Create record > route approval > verify status,Success,Low
ZOO-REC-00015,Zoom,recordings,Create Zoom recordings,Zoom test data ready,Create record > route approval > verify status,Success,Low
ZOO-REC-00016,Zoom,recordings,Restore Zoom recordings,Zoom test data ready,Open module > perform action > validate result,Success,Medium
ZOO-REC-00017,Zoom,recordings,Restore Zoom recordings,Zoom test data ready,Open module > perform action > validate result,Success,Medium
ZOO-REC-00018,Zoom,recordings,Update Zoom recordings,Zoom test data ready,Create record > route approval > verify status,Success,Medium
ZOO-REC-00019,Zoom,recordings,Reject Zoom recordings,Zoom test data ready,Initiate integration > check queue > confirm completion,Success,High
