Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ZSC-INT-00001,Zscaler,internet_access,Clone Zscaler internet_access,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZSC-INT-00002,Zscaler,internet_access,Approve Zscaler internet_access,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZSC-INT-00003,Zscaler,internet_access,Escalate Zscaler internet_access,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZSC-INT-00004,Zscaler,internet_access,Create Zscaler internet_access,Zscaler test data ready,Open module > perform action > validate result,Success,High
ZSC-INT-00005,Zscaler,internet_access,Clone Zscaler internet_access,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,High
ZSC-INT-00006,Zscaler,internet_access,Route Zscaler internet_access,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZSC-INT-00007,Zscaler,internet_access,Clone Zscaler internet_access,Zscaler test data ready,Create record > route approval > verify status,Success,Medium
ZSC-INT-00008,Zscaler,internet_access,Reject Zscaler internet_access,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,High
ZSC-INT-00009,Zscaler,internet_access,Restore Zscaler internet_access,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,High
ZSC-INT-00010,Zscaler,internet_access,Edit Zscaler internet_access,Zscaler test data ready,Create record > route approval > verify status,Success,Medium
ZSC-INT-00011,Zscaler,internet_access,Submit Zscaler internet_access,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,High
ZSC-INT-00012,Zscaler,internet_access,Approve Zscaler internet_access,Zscaler test data ready,Create record > route approval > verify status,Success,Medium
ZSC-INT-00013,Zscaler,internet_access,Edit Zscaler internet_access,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZSC-INT-00014,Zscaler,internet_access,Restore Zscaler internet_access,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZSC-INT-00015,Zscaler,internet_access,Delete Zscaler internet_access,Zscaler test data ready,Open module > perform action > validate result,Success,Low
ZSC-INT-00016,Zscaler,internet_access,Restore Zscaler internet_access,Zscaler test data ready,Create record > route approval > verify status,Success,High
ZSC-INT-00017,Zscaler,internet_access,Delete Zscaler internet_access,Zscaler test data ready,Create record > route approval > verify status,Success,Low
ZSC-INT-00018,Zscaler,internet_access,Approve Zscaler internet_access,Zscaler test data ready,Create record > route approval > verify status,Success,Low
ZSC-INT-00019,Zscaler,internet_access,Clone Zscaler internet_access,Zscaler test data ready,Open module > perform action > validate result,Success,Low
ZSC-INT-00020,Zscaler,internet_access,Approve Zscaler internet_access,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZSC-INT-00021,Zscaler,internet_access,Edit Zscaler internet_access,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,High
ZSC-INT-00022,Zscaler,internet_access,Submit Zscaler internet_access,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZSC-INT-00023,Zscaler,internet_access,Clone Zscaler internet_access,Zscaler test data ready,Open module > perform action > validate result,Success,Low
ZSC-INT-00024,Zscaler,internet_access,Restore Zscaler internet_access,Zscaler test data ready,Create record > route approval > verify status,Success,Low
ZSC-INT-00025,Zscaler,internet_access,Clone Zscaler internet_access,Zscaler test data ready,Open module > perform action > validate result,Success,Low
ZSC-INT-00026,Zscaler,internet_access,Route Zscaler internet_access,Zscaler test data ready,Create record > route approval > verify status,Success,Low
ZSC-INT-00027,Zscaler,internet_access,Submit Zscaler internet_access,Zscaler test data ready,Create record > route approval > verify status,Success,Low
