Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ZSC-POL-00001,Zscaler,policy,Restore Zscaler policy,Zscaler test data ready,Open module > perform action > validate result,Success,Medium
ZSC-POL-00002,Zscaler,policy,Delete Zscaler policy,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,High
ZSC-POL-00003,Zscaler,policy,Search Zscaler policy,Zscaler test data ready,Create record > route approval > verify status,Success,Low
ZSC-POL-00004,Zscaler,policy,Update Zscaler policy,Zscaler test data ready,Open module > perform action > validate result,Success,Medium
ZSC-POL-00005,Zscaler,policy,Search Zscaler policy,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZSC-POL-00006,Zscaler,policy,Search Zscaler policy,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,High
ZSC-POL-00007,Zscaler,policy,Edit Zscaler policy,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZSC-POL-00008,Zscaler,policy,Update Zscaler policy,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZSC-POL-00009,Zscaler,policy,Submit Zscaler policy,Zscaler test data ready,Open module > perform action > validate result,Success,Low
ZSC-POL-00010,Zscaler,policy,Clone Zscaler policy,Zscaler test data ready,Create record > route approval > verify status,Success,High
ZSC-POL-00011,Zscaler,policy,Delete Zscaler policy,Zscaler test data ready,Create record > route approval > verify status,Success,High
ZSC-POL-00012,Zscaler,policy,Archive Zscaler policy,Zscaler test data ready,Open module > perform action > validate result,Success,High
ZSC-POL-00013,Zscaler,policy,Reject Zscaler policy,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,High
ZSC-POL-00014,Zscaler,policy,Create Zscaler policy,Zscaler test data ready,Create record > route approval > verify status,Success,Medium
ZSC-POL-00015,Zscaler,policy,Escalate Zscaler policy,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZSC-POL-00016,Zscaler,policy,Clone Zscaler policy,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZSC-POL-00017,Zscaler,policy,Create Zscaler policy,Zscaler test data ready,Create record > route approval > verify status,Success,Medium
ZSC-POL-00018,Zscaler,policy,Reject Zscaler policy,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,High
ZSC-POL-00019,Zscaler,policy,Edit Zscaler policy,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZSC-POL-00020,Zscaler,policy,Create Zscaler policy,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,High
ZSC-POL-00021,Zscaler,policy,Clone Zscaler policy,Zscaler test data ready,Open module > perform action > validate result,Success,High
