Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ZSC-SAN-00001,Zscaler,sandbox,Search Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZSC-SAN-00002,Zscaler,sandbox,Delete Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,Low
ZSC-SAN-00003,Zscaler,sandbox,Search Zscaler sandbox,Zscaler test data ready,Create record > route approval > verify status,Success,Low
ZSC-SAN-00004,Zscaler,sandbox,Reject Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZSC-SAN-00005,Zscaler,sandbox,Submit Zscaler sandbox,Zscaler test data ready,Create record > route approval > verify status,Success,High
ZSC-SAN-00006,Zscaler,sandbox,Reject Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZSC-SAN-00007,Zscaler,sandbox,Restore Zscaler sandbox,Zscaler test data ready,Create record > route approval > verify status,Success,Low
ZSC-SAN-00008,Zscaler,sandbox,Delete Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,High
ZSC-SAN-00009,Zscaler,sandbox,Restore Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,High
ZSC-SAN-00010,Zscaler,sandbox,Route Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,High
ZSC-SAN-00011,Zscaler,sandbox,Submit Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZSC-SAN-00012,Zscaler,sandbox,Approve Zscaler sandbox,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,High
ZSC-SAN-00013,Zscaler,sandbox,Reject Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,High
ZSC-SAN-00014,Zscaler,sandbox,Restore Zscaler sandbox,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,High
ZSC-SAN-00015,Zscaler,sandbox,Validate Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZSC-SAN-00016,Zscaler,sandbox,Restore Zscaler sandbox,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZSC-SAN-00017,Zscaler,sandbox,Search Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZSC-SAN-00018,Zscaler,sandbox,Validate Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZSC-SAN-00019,Zscaler,sandbox,Restore Zscaler sandbox,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZSC-SAN-00020,Zscaler,sandbox,Clone Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,High
ZSC-SAN-00021,Zscaler,sandbox,Route Zscaler sandbox,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZSC-SAN-00022,Zscaler,sandbox,Reject Zscaler sandbox,Zscaler test data ready,Create record > route approval > verify status,Success,High
ZSC-SAN-00023,Zscaler,sandbox,Submit Zscaler sandbox,Zscaler test data ready,Create record > route approval > verify status,Success,High
ZSC-SAN-00024,Zscaler,sandbox,Update Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,High
ZSC-SAN-00025,Zscaler,sandbox,Clone Zscaler sandbox,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZSC-SAN-00026,Zscaler,sandbox,Validate Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,Medium
ZSC-SAN-00027,Zscaler,sandbox,Route Zscaler sandbox,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZSC-SAN-00028,Zscaler,sandbox,Clone Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZSC-SAN-00029,Zscaler,sandbox,Delete Zscaler sandbox,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZSC-SAN-00030,Zscaler,sandbox,Archive Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZSC-SAN-00031,Zscaler,sandbox,Submit Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZSC-SAN-00032,Zscaler,sandbox,Delete Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZSC-SAN-00033,Zscaler,sandbox,Clone Zscaler sandbox,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZSC-SAN-00034,Zscaler,sandbox,Clone Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,Medium
ZSC-SAN-00035,Zscaler,sandbox,Delete Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZSC-SAN-00036,Zscaler,sandbox,Edit Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,High
ZSC-SAN-00037,Zscaler,sandbox,Route Zscaler sandbox,Zscaler test data ready,Create record > route approval > verify status,Success,Low
ZSC-SAN-00038,Zscaler,sandbox,Submit Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,Low
ZSC-SAN-00039,Zscaler,sandbox,Delete Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,Low
ZSC-SAN-00040,Zscaler,sandbox,Clone Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,Medium
ZSC-SAN-00041,Zscaler,sandbox,Route Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,Low
ZSC-SAN-00042,Zscaler,sandbox,Search Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZSC-SAN-00043,Zscaler,sandbox,Validate Zscaler sandbox,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,High
ZSC-SAN-00044,Zscaler,sandbox,Delete Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZSC-SAN-00045,Zscaler,sandbox,Submit Zscaler sandbox,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,High
ZSC-SAN-00046,Zscaler,sandbox,Archive Zscaler sandbox,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZSC-SAN-00047,Zscaler,sandbox,Clone Zscaler sandbox,Zscaler test data ready,Create record > route approval > verify status,Success,Low
ZSC-SAN-00048,Zscaler,sandbox,Reject Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,High
ZSC-SAN-00049,Zscaler,sandbox,Search Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,Medium
ZSC-SAN-00050,Zscaler,sandbox,Escalate Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZSC-SAN-00051,Zscaler,sandbox,Clone Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,High
ZSC-SAN-00052,Zscaler,sandbox,Edit Zscaler sandbox,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZSC-SAN-00053,Zscaler,sandbox,Restore Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,Low
ZSC-SAN-00054,Zscaler,sandbox,Restore Zscaler sandbox,Zscaler test data ready,Create record > route approval > verify status,Success,Low
ZSC-SAN-00055,Zscaler,sandbox,Submit Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZSC-SAN-00056,Zscaler,sandbox,Clone Zscaler sandbox,Zscaler test data ready,Create record > route approval > verify status,Success,Medium
ZSC-SAN-00057,Zscaler,sandbox,Escalate Zscaler sandbox,Zscaler test data ready,Create record > route approval > verify status,Success,Medium
ZSC-SAN-00058,Zscaler,sandbox,Reject Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,High
ZSC-SAN-00059,Zscaler,sandbox,Clone Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,High
ZSC-SAN-00060,Zscaler,sandbox,Submit Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,Low
ZSC-SAN-00061,Zscaler,sandbox,Create Zscaler sandbox,Zscaler test data ready,Create record > route approval > verify status,Success,Medium
ZSC-SAN-00062,Zscaler,sandbox,Restore Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,High
ZSC-SAN-00063,Zscaler,sandbox,Escalate Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,Medium
ZSC-SAN-00064,Zscaler,sandbox,Search Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,Low
ZSC-SAN-00065,Zscaler,sandbox,Submit Zscaler sandbox,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZSC-SAN-00066,Zscaler,sandbox,Delete Zscaler sandbox,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ZSC-SAN-00067,Zscaler,sandbox,Reject Zscaler sandbox,Zscaler test data ready,Create record > route approval > verify status,Success,Medium
ZSC-SAN-00068,Zscaler,sandbox,Approve Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,High
ZSC-SAN-00069,Zscaler,sandbox,Delete Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,High
ZSC-SAN-00070,Zscaler,sandbox,Create Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,Low
ZSC-SAN-00071,Zscaler,sandbox,Route Zscaler sandbox,Zscaler test data ready,Create record > route approval > verify status,Success,Medium
ZSC-SAN-00072,Zscaler,sandbox,Validate Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,High
ZSC-SAN-00073,Zscaler,sandbox,Validate Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Low
ZSC-SAN-00074,Zscaler,sandbox,Approve Zscaler sandbox,Zscaler test data ready,Create record > route approval > verify status,Success,Medium
ZSC-SAN-00075,Zscaler,sandbox,Clone Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ZSC-SAN-00076,Zscaler,sandbox,Submit Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,Medium
ZSC-SAN-00077,Zscaler,sandbox,Search Zscaler sandbox,Zscaler test data ready,Submit transaction > sync system > reconcile report,Success,High
ZSC-SAN-00078,Zscaler,sandbox,Clone Zscaler sandbox,Zscaler test data ready,Create record > route approval > verify status,Success,High
ZSC-SAN-00079,Zscaler,sandbox,Edit Zscaler sandbox,Zscaler test data ready,Create record > route approval > verify status,Success,Medium
ZSC-SAN-00080,Zscaler,sandbox,Delete Zscaler sandbox,Zscaler test data ready,Open module > perform action > validate result,Success,High
ZSC-SAN-00081,Zscaler,sandbox,Escalate Zscaler sandbox,Zscaler test data ready,Initiate integration > check queue > confirm completion,Success,Low
ZSC-SAN-00082,Zscaler,sandbox,Clone Zscaler sandbox,Zscaler test data ready,Create record > route approval > verify status,Success,High
