Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
IOS-NOT-00001,iOS,notifications,notifications,Consumer,Launch -> Authenticate -> Use -> Logout,Regression,Reject iOS notifications,iOS access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-NOT-00002,iOS,notifications,notifications,Healthcare,Push -> Open -> Verify,UI,Approve iOS notifications,iOS access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-NOT-00003,iOS,notifications,notifications,Consumer,Push -> Open -> Verify,Performance,Approve iOS notifications,iOS access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-NOT-00004,iOS,notifications,notifications,Healthcare,Launch -> Authenticate -> Use -> Logout,UI,Create iOS notifications,iOS access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-NOT-00005,iOS,notifications,notifications,Healthcare,Offline -> Sync -> Resolve,Regression,Escalate iOS notifications,iOS access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-NOT-00006,iOS,notifications,notifications,Consumer,Offline -> Sync -> Resolve,Security,Archive iOS notifications,iOS access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-NOT-00007,iOS,notifications,notifications,Consumer,Launch -> Authenticate -> Use -> Logout,Accessibility,Submit iOS notifications,iOS access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-NOT-00008,iOS,notifications,notifications,Enterprise,Launch -> Authenticate -> Use -> Logout,Integration,Clone iOS notifications,iOS access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-NOT-00009,iOS,notifications,notifications,Consumer,Launch -> Authenticate -> Use -> Logout,Accessibility,Submit iOS notifications,iOS access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-NOT-00010,iOS,notifications,notifications,Healthcare,Push -> Open -> Verify,UI,Edit iOS notifications,iOS access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-NOT-00011,iOS,notifications,notifications,Healthcare,Offline -> Sync -> Resolve,Functional,Delete iOS notifications,iOS access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-NOT-00012,iOS,notifications,notifications,Consumer,Permission -> Action -> Persist,Regression,Approve iOS notifications,iOS access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-NOT-00013,iOS,notifications,notifications,Healthcare,Push -> Open -> Verify,Regression,Route iOS notifications,iOS access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-NOT-00014,iOS,notifications,notifications,FinTech,Permission -> Action -> Persist,Integration,Route iOS notifications,iOS access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-NOT-00015,iOS,notifications,notifications,FinTech,Launch -> Authenticate -> Use -> Logout,Regression,Restore iOS notifications,iOS access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-NOT-00016,iOS,notifications,notifications,Enterprise,Permission -> Action -> Persist,Functional,Reject iOS notifications,iOS access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-NOT-00017,iOS,notifications,notifications,Consumer,Push -> Open -> Verify,UI,Restore iOS notifications,iOS access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-NOT-00018,iOS,notifications,notifications,Enterprise,Permission -> Action -> Persist,UI,Archive iOS notifications,iOS access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-NOT-00019,iOS,notifications,notifications,FinTech,Offline -> Sync -> Resolve,Security,Archive iOS notifications,iOS access and test data available,"1. Open notifications.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
