Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
IOS-OFF-00001,iOS,offline,offline,Enterprise,Permission -> Action -> Persist,Accessibility,Create iOS offline,iOS access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-OFF-00002,iOS,offline,offline,Consumer,Push -> Open -> Verify,Security,Clone iOS offline,iOS access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-OFF-00003,iOS,offline,offline,FinTech,Push -> Open -> Verify,Regression,Edit iOS offline,iOS access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-OFF-00004,iOS,offline,offline,Enterprise,Permission -> Action -> Persist,UI,Archive iOS offline,iOS access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-OFF-00005,iOS,offline,offline,Healthcare,Push -> Open -> Verify,Regression,Search iOS offline,iOS access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-OFF-00006,iOS,offline,offline,Enterprise,Permission -> Action -> Persist,Regression,Delete iOS offline,iOS access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-OFF-00007,iOS,offline,offline,FinTech,Launch -> Authenticate -> Use -> Logout,Regression,Edit iOS offline,iOS access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-OFF-00008,iOS,offline,offline,Healthcare,Offline -> Sync -> Resolve,Performance,Clone iOS offline,iOS access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-OFF-00009,iOS,offline,offline,Consumer,Permission -> Action -> Persist,UI,Delete iOS offline,iOS access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-OFF-00010,iOS,offline,offline,Enterprise,Offline -> Sync -> Resolve,UI,Submit iOS offline,iOS access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
