industry,count,v3,strict,incremental,high,autoReady,products,lineage
Banking,600,500,100,0,217,567,600,Banking
Manufacturing,600,500,100,0,550,67,600,Manufacturing
Edge/IoT,500,500,0,0,500,0,500,Edge/IoT
Government,500,500,0,0,0,500,500,Government
Research,500,500,0,0,0,500,500,Research
Insurance,400,300,100,0,150,367,400,Insurance
Healthcare,350,250,100,0,300,67,350,Healthcare
Life Sciences,350,250,100,0,300,317,350,Life Sciences
Logistics,350,250,100,0,300,317,350,Logistics
Pharma,350,250,100,0,113,317,350,Pharma
Public Sector,350,250,100,0,300,317,350,Public Sector
Cloud Reliability,300,0,0,300,150,201,100,Cloud Reliability
Telecom,300,200,100,0,250,267,300,Telecom
Retail,250,150,100,0,200,217,250,Retail
Automotive,250,250,0,0,250,250,250,Automotive
Platform & Cloud,250,250,0,0,0,250,250,Platform & Cloud
Consumer Finance,250,250,0,0,250,250,250,Consumer Finance
Chemicals,250,250,0,0,250,0,250,Chemicals
Commerce,250,250,0,0,250,250,250,Commerce
Cybersecurity,250,250,0,0,250,250,250,Cybersecurity
Education,250,250,0,0,0,250,250,Education
Energy & Utilities,250,250,0,0,250,0,250,Energy & Utilities
Finance,250,250,0,0,250,250,250,Finance
GovTech,250,250,0,0,250,250,250,GovTech
HCM,250,250,0,0,250,250,250,HCM
High Tech,250,250,0,0,250,0,250,High Tech
IT Services,250,250,0,0,250,250,250,IT Services
Media,250,250,0,0,0,250,250,Media
Real Estate,250,250,0,0,0,0,250,Real Estate
Retail & eCommerce,250,250,0,0,250,250,250,Retail & eCommerce
Supply Chain,250,250,0,0,250,250,250,Supply Chain
Transportation,250,250,0,0,0,250,250,Transportation
Travel,250,250,0,0,250,250,250,Travel
Pharmaceutical Logistics,200,0,0,200,100,134,100,Pharmaceutical Logistics
Hospital Operations,200,0,0,200,100,134,100,Hospital Operations
Enterprise Procurement,200,0,0,200,100,134,100,Enterprise Procurement
Power Distribution,200,0,0,200,100,134,100,Power Distribution
Industrial Production,200,0,0,200,100,134,100,Industrial Production
Clinical Compliance,200,0,0,200,100,134,100,Clinical Compliance
Public Assistance,200,0,0,200,100,134,100,Public Assistance
Education Operations,200,0,0,200,100,134,100,Education Operations
Global Freight,200,0,0,200,100,134,100,Global Freight
Manufacturing Traceability,200,0,100,100,100,134,100,Manufacturing Traceability
Digital Commerce,200,0,100,100,100,134,200,Digital Commerce
Technology > Observability,200,0,0,200,100,134,200,Technology > Observability
Procurement > Operations,200,0,0,200,100,134,100,Procurement > Operations
Aerospace,200,200,0,0,200,0,200,Aerospace
CPG,150,150,0,0,0,0,150,CPG
Retail Pharma Distribution,100,0,0,100,50,67,100,Retail Pharma Distribution
Acute Care Ops,100,0,0,100,50,67,100,Acute Care Ops
Sourcing Operations,100,0,0,100,50,67,100,Sourcing Operations
Transmission Grid,100,0,0,100,50,67,100,Transmission Grid
Regulatory Compliance,100,0,0,100,50,67,100,Regulatory Compliance
Benefits Eligibility,100,0,0,100,50,67,100,Benefits Eligibility
Platform SRE,100,0,0,100,50,67,100,Platform SRE
Academic Finance,100,0,0,100,50,67,100,Academic Finance
International Logistics,100,0,0,100,50,67,100,International Logistics
Retail Fulfillment,100,0,0,100,50,67,100,Retail Fulfillment
Inpatient Care,100,0,0,100,50,67,100,Inpatient Care
Indirect Procurement,100,0,0,100,50,67,100,Indirect Procurement
Network Operations,100,0,0,100,50,67,100,Network Operations
Quality Control,100,0,0,100,50,67,100,Quality Control
Pharmacovigilance,100,0,0,100,50,67,100,Pharmacovigilance
Citizen Services,100,0,0,100,50,67,100,Citizen Services
Site Reliability,100,0,0,100,50,67,100,Site Reliability
Learning Operations,100,0,0,100,50,67,100,Learning Operations
Import Export Logistics,100,0,0,100,50,67,100,Import Export Logistics
Ecommerce Delivery,100,0,0,100,50,67,100,Ecommerce Delivery
Emergency Ward,100,0,0,100,50,67,100,Emergency Ward
Global Sourcing,100,0,0,100,50,67,100,Global Sourcing
Utility Metering,100,0,0,100,50,67,100,Utility Metering
Assembly Quality,100,0,0,100,50,67,100,Assembly Quality
Safety Reporting,100,0,0,100,50,67,100,Safety Reporting
Public Casework,100,0,0,100,50,67,100,Public Casework
Release Reliability,100,0,0,100,50,67,100,Release Reliability
Training Compliance,100,0,0,100,50,67,100,Training Compliance
International Shipping,100,0,0,100,50,67,100,International Shipping
Online Retail Ops,100,0,0,100,50,67,100,Online Retail Ops
Critical Care,100,0,0,100,50,67,100,Critical Care
Strategic Sourcing,100,0,0,100,50,67,100,Strategic Sourcing
Grid Monitoring,100,0,0,100,50,67,100,Grid Monitoring
Plant Operations,100,0,0,100,50,67,100,Plant Operations
Clinical Safety,100,0,0,100,50,67,100,Clinical Safety
Government Intake,100,0,0,100,50,67,100,Government Intake
Platform Operations,100,0,0,100,50,67,100,Platform Operations
Workforce Learning,100,0,0,100,50,67,100,Workforce Learning
Trade Logistics,100,0,0,100,50,67,100,Trade Logistics
Emergency Surgery,100,0,0,100,50,67,100,Emergency Surgery
Supplier Collaboration,100,0,0,100,50,67,100,Supplier Collaboration
Electric Grid Control,100,0,0,100,50,67,100,Electric Grid Control
Production Execution,100,0,0,100,50,67,100,Production Execution
Regulatory Quality,100,0,0,100,50,67,100,Regulatory Quality
Public Benefits,100,0,0,100,50,67,100,Public Benefits
DevOps Platform,100,0,0,100,50,67,100,DevOps Platform
