scenario_id,industry,erp_system,product,e2e_scenario_name,business_description,modules,data_sources,priority,test_type,auto_feasibility,integration_hint
PH-SAP-001,Pharma,SAP S/4HANA,SAP Pharma Process 1,Pharma E2E #1: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",High,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-002,Pharma,SAP S/4HANA,SAP Pharma Process 2,Pharma E2E #2: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-003,Pharma,SAP S/4HANA,SAP Pharma Process 3,Pharma E2E #3: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-004,Pharma,SAP S/4HANA,SAP Pharma Process 4,Pharma E2E #4: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-005,Pharma,SAP S/4HANA,SAP Pharma Process 5,Pharma E2E #5: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",High,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-006,Pharma,SAP S/4HANA,SAP Pharma Process 6,Pharma E2E #6: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-007,Pharma,SAP S/4HANA,SAP Pharma Process 7,Pharma E2E #7: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-008,Pharma,SAP S/4HANA,SAP Pharma Process 8,Pharma E2E #8: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-009,Pharma,SAP S/4HANA,SAP Pharma Process 9,Pharma E2E #9: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",High,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-010,Pharma,SAP S/4HANA,SAP Pharma Process 10,Pharma E2E #10: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-011,Pharma,SAP S/4HANA,SAP Pharma Process 11,Pharma E2E #11: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-012,Pharma,SAP S/4HANA,SAP Pharma Process 12,Pharma E2E #12: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,E2E,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-013,Pharma,SAP S/4HANA,SAP Pharma Process 13,Pharma E2E #13: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",High,Integration,High,SAP OData + Veeva REST APIs + LIMS integration
PH-SAP-014,Pharma,SAP S/4HANA,SAP Pharma Process 14,Pharma E2E #14: Drug Lifecycle Stage 1,End-to-end pharma process from R&D to distribution using SAP modules including MM PP QM SD FI CO with GxP compliance [web:38],"['MM', 'PP', 'QM', 'SD', 'FI', 'CO']","['SAP', 'Veeva', 'LIMS']",Medium,Regression,High,SAP OData + Veeva REST APIs + LIMS integration
