Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
VSP-DRS-00001,vSphere,drs,Escalate vSphere drs,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-DRS-00002,vSphere,drs,Clone vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-DRS-00003,vSphere,drs,Archive vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-DRS-00004,vSphere,drs,Validate vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-DRS-00005,vSphere,drs,Validate vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-DRS-00006,vSphere,drs,Route vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-DRS-00007,vSphere,drs,Search vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-DRS-00008,vSphere,drs,Clone vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-DRS-00009,vSphere,drs,Validate vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-DRS-00010,vSphere,drs,Archive vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-DRS-00011,vSphere,drs,Delete vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-DRS-00012,vSphere,drs,Archive vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-DRS-00013,vSphere,drs,Validate vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-DRS-00014,vSphere,drs,Create vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-DRS-00015,vSphere,drs,Restore vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-DRS-00016,vSphere,drs,Route vSphere drs,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-DRS-00017,vSphere,drs,Delete vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-DRS-00018,vSphere,drs,Escalate vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-DRS-00019,vSphere,drs,Route vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-DRS-00020,vSphere,drs,Submit vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-DRS-00021,vSphere,drs,Edit vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-DRS-00022,vSphere,drs,Clone vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-DRS-00023,vSphere,drs,Reject vSphere drs,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-DRS-00024,vSphere,drs,Delete vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-DRS-00025,vSphere,drs,Escalate vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-DRS-00026,vSphere,drs,Search vSphere drs,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-DRS-00027,vSphere,drs,Edit vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-DRS-00028,vSphere,drs,Update vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-DRS-00029,vSphere,drs,Approve vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-DRS-00030,vSphere,drs,Archive vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-DRS-00031,vSphere,drs,Approve vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-DRS-00032,vSphere,drs,Edit vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-DRS-00033,vSphere,drs,Clone vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-DRS-00034,vSphere,drs,Create vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-DRS-00035,vSphere,drs,Route vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-DRS-00036,vSphere,drs,Edit vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-DRS-00037,vSphere,drs,Delete vSphere drs,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-DRS-00038,vSphere,drs,Approve vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-DRS-00039,vSphere,drs,Search vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-DRS-00040,vSphere,drs,Reject vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-DRS-00041,vSphere,drs,Restore vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-DRS-00042,vSphere,drs,Archive vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-DRS-00043,vSphere,drs,Approve vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-DRS-00044,vSphere,drs,Edit vSphere drs,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-DRS-00045,vSphere,drs,Update vSphere drs,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-DRS-00046,vSphere,drs,Archive vSphere drs,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-DRS-00047,vSphere,drs,Update vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-DRS-00048,vSphere,drs,Archive vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-DRS-00049,vSphere,drs,Clone vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-DRS-00050,vSphere,drs,Delete vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-DRS-00051,vSphere,drs,Approve vSphere drs,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-DRS-00052,vSphere,drs,Escalate vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-DRS-00053,vSphere,drs,Route vSphere drs,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-DRS-00054,vSphere,drs,Delete vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-DRS-00055,vSphere,drs,Edit vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-DRS-00056,vSphere,drs,Archive vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-DRS-00057,vSphere,drs,Validate vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-DRS-00058,vSphere,drs,Archive vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-DRS-00059,vSphere,drs,Reject vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-DRS-00060,vSphere,drs,Route vSphere drs,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-DRS-00061,vSphere,drs,Submit vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-DRS-00062,vSphere,drs,Create vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-DRS-00063,vSphere,drs,Approve vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-DRS-00064,vSphere,drs,Escalate vSphere drs,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-DRS-00065,vSphere,drs,Submit vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-DRS-00066,vSphere,drs,Reject vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-DRS-00067,vSphere,drs,Reject vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-DRS-00068,vSphere,drs,Submit vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-DRS-00069,vSphere,drs,Restore vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-DRS-00070,vSphere,drs,Approve vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-DRS-00071,vSphere,drs,Clone vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-DRS-00072,vSphere,drs,Delete vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-DRS-00073,vSphere,drs,Reject vSphere drs,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-DRS-00074,vSphere,drs,Archive vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-DRS-00075,vSphere,drs,Approve vSphere drs,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-DRS-00076,vSphere,drs,Reject vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-DRS-00077,vSphere,drs,Restore vSphere drs,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-DRS-00078,vSphere,drs,Clone vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-DRS-00079,vSphere,drs,Escalate vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-DRS-00080,vSphere,drs,Archive vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-DRS-00081,vSphere,drs,Archive vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-DRS-00082,vSphere,drs,Archive vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-DRS-00083,vSphere,drs,Approve vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-DRS-00084,vSphere,drs,Clone vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-DRS-00085,vSphere,drs,Clone vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-DRS-00086,vSphere,drs,Archive vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-DRS-00087,vSphere,drs,Archive vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-DRS-00088,vSphere,drs,Route vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-DRS-00089,vSphere,drs,Search vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-DRS-00090,vSphere,drs,Approve vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-DRS-00091,vSphere,drs,Search vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-DRS-00092,vSphere,drs,Route vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-DRS-00093,vSphere,drs,Delete vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-DRS-00094,vSphere,drs,Delete vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-DRS-00095,vSphere,drs,Reject vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-DRS-00096,vSphere,drs,Submit vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-DRS-00097,vSphere,drs,Validate vSphere drs,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-DRS-00098,vSphere,drs,Reject vSphere drs,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-DRS-00099,vSphere,drs,Escalate vSphere drs,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-DRS-00100,vSphere,drs,Escalate vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-DRS-00101,vSphere,drs,Submit vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-DRS-00102,vSphere,drs,Approve vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-DRS-00103,vSphere,drs,Create vSphere drs,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-DRS-00104,vSphere,drs,Archive vSphere drs,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-DRS-00105,vSphere,drs,Edit vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-DRS-00106,vSphere,drs,Create vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-DRS-00107,vSphere,drs,Approve vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-DRS-00108,vSphere,drs,Search vSphere drs,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-DRS-00109,vSphere,drs,Create vSphere drs,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
