Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
VSP-HA-00001,vSphere,ha,Update vSphere ha,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-HA-00002,vSphere,ha,Restore vSphere ha,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-HA-00003,vSphere,ha,Submit vSphere ha,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-HA-00004,vSphere,ha,Update vSphere ha,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-HA-00005,vSphere,ha,Clone vSphere ha,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-HA-00006,vSphere,ha,Edit vSphere ha,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-HA-00007,vSphere,ha,Delete vSphere ha,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-HA-00008,vSphere,ha,Escalate vSphere ha,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-HA-00009,vSphere,ha,Approve vSphere ha,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-HA-00010,vSphere,ha,Archive vSphere ha,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-HA-00011,vSphere,ha,Approve vSphere ha,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-HA-00012,vSphere,ha,Create vSphere ha,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-HA-00013,vSphere,ha,Submit vSphere ha,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-HA-00014,vSphere,ha,Search vSphere ha,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-HA-00015,vSphere,ha,Archive vSphere ha,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-HA-00016,vSphere,ha,Escalate vSphere ha,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-HA-00017,vSphere,ha,Update vSphere ha,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-HA-00018,vSphere,ha,Reject vSphere ha,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-HA-00019,vSphere,ha,Validate vSphere ha,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-HA-00020,vSphere,ha,Approve vSphere ha,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-HA-00021,vSphere,ha,Clone vSphere ha,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-HA-00022,vSphere,ha,Create vSphere ha,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-HA-00023,vSphere,ha,Search vSphere ha,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-HA-00024,vSphere,ha,Edit vSphere ha,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-HA-00025,vSphere,ha,Approve vSphere ha,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-HA-00026,vSphere,ha,Delete vSphere ha,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-HA-00027,vSphere,ha,Edit vSphere ha,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-HA-00028,vSphere,ha,Escalate vSphere ha,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-HA-00029,vSphere,ha,Update vSphere ha,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-HA-00030,vSphere,ha,Archive vSphere ha,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-HA-00031,vSphere,ha,Edit vSphere ha,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-HA-00032,vSphere,ha,Edit vSphere ha,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-HA-00033,vSphere,ha,Submit vSphere ha,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-HA-00034,vSphere,ha,Approve vSphere ha,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-HA-00035,vSphere,ha,Approve vSphere ha,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-HA-00036,vSphere,ha,Search vSphere ha,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-HA-00037,vSphere,ha,Approve vSphere ha,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-HA-00038,vSphere,ha,Edit vSphere ha,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-HA-00039,vSphere,ha,Update vSphere ha,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-HA-00040,vSphere,ha,Create vSphere ha,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-HA-00041,vSphere,ha,Update vSphere ha,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-HA-00042,vSphere,ha,Submit vSphere ha,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-HA-00043,vSphere,ha,Archive vSphere ha,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-HA-00044,vSphere,ha,Approve vSphere ha,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-HA-00045,vSphere,ha,Approve vSphere ha,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-HA-00046,vSphere,ha,Route vSphere ha,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-HA-00047,vSphere,ha,Delete vSphere ha,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
