Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
VSP-NET-00001,vSphere,network,Submit vSphere network,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-NET-00002,vSphere,network,Delete vSphere network,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-NET-00003,vSphere,network,Edit vSphere network,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-NET-00004,vSphere,network,Approve vSphere network,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-NET-00005,vSphere,network,Delete vSphere network,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-NET-00006,vSphere,network,Escalate vSphere network,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-NET-00007,vSphere,network,Submit vSphere network,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-NET-00008,vSphere,network,Create vSphere network,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-NET-00009,vSphere,network,Search vSphere network,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-NET-00010,vSphere,network,Create vSphere network,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-NET-00011,vSphere,network,Reject vSphere network,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-NET-00012,vSphere,network,Create vSphere network,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-NET-00013,vSphere,network,Route vSphere network,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-NET-00014,vSphere,network,Update vSphere network,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-NET-00015,vSphere,network,Search vSphere network,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-NET-00016,vSphere,network,Clone vSphere network,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-NET-00017,vSphere,network,Approve vSphere network,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-NET-00018,vSphere,network,Update vSphere network,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-NET-00019,vSphere,network,Delete vSphere network,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-NET-00020,vSphere,network,Edit vSphere network,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-NET-00021,vSphere,network,Archive vSphere network,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-NET-00022,vSphere,network,Escalate vSphere network,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-NET-00023,vSphere,network,Create vSphere network,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
