Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
VSP-STO-00001,vSphere,storage,Submit vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-STO-00002,vSphere,storage,Approve vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-STO-00003,vSphere,storage,Validate vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-STO-00004,vSphere,storage,Edit vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-STO-00005,vSphere,storage,Archive vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-STO-00006,vSphere,storage,Submit vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-STO-00007,vSphere,storage,Approve vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-STO-00008,vSphere,storage,Update vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-STO-00009,vSphere,storage,Reject vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-STO-00010,vSphere,storage,Edit vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-STO-00011,vSphere,storage,Approve vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-STO-00012,vSphere,storage,Search vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-STO-00013,vSphere,storage,Approve vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-STO-00014,vSphere,storage,Clone vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-STO-00015,vSphere,storage,Validate vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-STO-00016,vSphere,storage,Approve vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-STO-00017,vSphere,storage,Delete vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-STO-00018,vSphere,storage,Restore vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-STO-00019,vSphere,storage,Edit vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-STO-00020,vSphere,storage,Edit vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-STO-00021,vSphere,storage,Approve vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-STO-00022,vSphere,storage,Restore vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-STO-00023,vSphere,storage,Escalate vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-STO-00024,vSphere,storage,Reject vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-STO-00025,vSphere,storage,Update vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-STO-00026,vSphere,storage,Search vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-STO-00027,vSphere,storage,Clone vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-STO-00028,vSphere,storage,Edit vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-STO-00029,vSphere,storage,Approve vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-STO-00030,vSphere,storage,Delete vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-STO-00031,vSphere,storage,Validate vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-STO-00032,vSphere,storage,Restore vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-STO-00033,vSphere,storage,Route vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-STO-00034,vSphere,storage,Clone vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-STO-00035,vSphere,storage,Edit vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-STO-00036,vSphere,storage,Escalate vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-STO-00037,vSphere,storage,Approve vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-STO-00038,vSphere,storage,Search vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-STO-00039,vSphere,storage,Escalate vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-STO-00040,vSphere,storage,Approve vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-STO-00041,vSphere,storage,Submit vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-STO-00042,vSphere,storage,Update vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-STO-00043,vSphere,storage,Restore vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-STO-00044,vSphere,storage,Clone vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-STO-00045,vSphere,storage,Create vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-STO-00046,vSphere,storage,Search vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-STO-00047,vSphere,storage,Approve vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-STO-00048,vSphere,storage,Restore vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-STO-00049,vSphere,storage,Approve vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-STO-00050,vSphere,storage,Create vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-STO-00051,vSphere,storage,Approve vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-STO-00052,vSphere,storage,Archive vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-STO-00053,vSphere,storage,Escalate vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-STO-00054,vSphere,storage,Delete vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-STO-00055,vSphere,storage,Reject vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-STO-00056,vSphere,storage,Reject vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-STO-00057,vSphere,storage,Approve vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-STO-00058,vSphere,storage,Create vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-STO-00059,vSphere,storage,Approve vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-STO-00060,vSphere,storage,Reject vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-STO-00061,vSphere,storage,Restore vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-STO-00062,vSphere,storage,Update vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-STO-00063,vSphere,storage,Clone vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-STO-00064,vSphere,storage,Approve vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-STO-00065,vSphere,storage,Clone vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-STO-00066,vSphere,storage,Delete vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-STO-00067,vSphere,storage,Create vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-STO-00068,vSphere,storage,Create vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-STO-00069,vSphere,storage,Delete vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-STO-00070,vSphere,storage,Route vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-STO-00071,vSphere,storage,Route vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-STO-00072,vSphere,storage,Clone vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-STO-00073,vSphere,storage,Clone vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-STO-00074,vSphere,storage,Approve vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-STO-00075,vSphere,storage,Create vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-STO-00076,vSphere,storage,Submit vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-STO-00077,vSphere,storage,Route vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-STO-00078,vSphere,storage,Clone vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-STO-00079,vSphere,storage,Update vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-STO-00080,vSphere,storage,Search vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-STO-00081,vSphere,storage,Archive vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-STO-00082,vSphere,storage,Restore vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-STO-00083,vSphere,storage,Create vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-STO-00084,vSphere,storage,Update vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-STO-00085,vSphere,storage,Create vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-STO-00086,vSphere,storage,Route vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-STO-00087,vSphere,storage,Reject vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-STO-00088,vSphere,storage,Delete vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-STO-00089,vSphere,storage,Submit vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-STO-00090,vSphere,storage,Approve vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-STO-00091,vSphere,storage,Restore vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-STO-00092,vSphere,storage,Submit vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-STO-00093,vSphere,storage,Create vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-STO-00094,vSphere,storage,Delete vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-STO-00095,vSphere,storage,Search vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-STO-00096,vSphere,storage,Create vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-STO-00097,vSphere,storage,Escalate vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-STO-00098,vSphere,storage,Validate vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-STO-00099,vSphere,storage,Submit vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-STO-00100,vSphere,storage,Validate vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-STO-00101,vSphere,storage,Search vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-STO-00102,vSphere,storage,Validate vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-STO-00103,vSphere,storage,Search vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-STO-00104,vSphere,storage,Update vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-STO-00105,vSphere,storage,Create vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-STO-00106,vSphere,storage,Restore vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-STO-00107,vSphere,storage,Escalate vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-STO-00108,vSphere,storage,Route vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-STO-00109,vSphere,storage,Update vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-STO-00110,vSphere,storage,Search vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-STO-00111,vSphere,storage,Update vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-STO-00112,vSphere,storage,Validate vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-STO-00113,vSphere,storage,Validate vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-STO-00114,vSphere,storage,Search vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-STO-00115,vSphere,storage,Restore vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-STO-00116,vSphere,storage,Edit vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-STO-00117,vSphere,storage,Validate vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-STO-00118,vSphere,storage,Update vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-STO-00119,vSphere,storage,Update vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-STO-00120,vSphere,storage,Search vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-STO-00121,vSphere,storage,Approve vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-STO-00122,vSphere,storage,Clone vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-STO-00123,vSphere,storage,Archive vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-STO-00124,vSphere,storage,Approve vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-STO-00125,vSphere,storage,Escalate vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-STO-00126,vSphere,storage,Archive vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-STO-00127,vSphere,storage,Reject vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-STO-00128,vSphere,storage,Create vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-STO-00129,vSphere,storage,Update vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-STO-00130,vSphere,storage,Escalate vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-STO-00131,vSphere,storage,Search vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-STO-00132,vSphere,storage,Update vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-STO-00133,vSphere,storage,Archive vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-STO-00134,vSphere,storage,Delete vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-STO-00135,vSphere,storage,Edit vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-STO-00136,vSphere,storage,Approve vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-STO-00137,vSphere,storage,Restore vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-STO-00138,vSphere,storage,Route vSphere storage,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-STO-00139,vSphere,storage,Reject vSphere storage,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-STO-00140,vSphere,storage,Clone vSphere storage,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-STO-00141,vSphere,storage,Delete vSphere storage,vSphere test data ready,Open module > perform action > validate result,Success,High
