Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
VSP-VM-00001,vSphere,vm,Edit vSphere vm,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-VM-00002,vSphere,vm,Reject vSphere vm,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-VM-00003,vSphere,vm,Route vSphere vm,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-VM-00004,vSphere,vm,Search vSphere vm,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-VM-00005,vSphere,vm,Search vSphere vm,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-VM-00006,vSphere,vm,Archive vSphere vm,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-VM-00007,vSphere,vm,Archive vSphere vm,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-VM-00008,vSphere,vm,Clone vSphere vm,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-VM-00009,vSphere,vm,Archive vSphere vm,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-VM-00010,vSphere,vm,Archive vSphere vm,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-VM-00011,vSphere,vm,Update vSphere vm,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-VM-00012,vSphere,vm,Submit vSphere vm,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-VM-00013,vSphere,vm,Create vSphere vm,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-VM-00014,vSphere,vm,Reject vSphere vm,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-VM-00015,vSphere,vm,Escalate vSphere vm,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-VM-00016,vSphere,vm,Submit vSphere vm,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Medium
VSP-VM-00017,vSphere,vm,Search vSphere vm,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-VM-00018,vSphere,vm,Reject vSphere vm,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-VM-00019,vSphere,vm,Update vSphere vm,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-VM-00020,vSphere,vm,Delete vSphere vm,vSphere test data ready,Open module > perform action > validate result,Success,High
VSP-VM-00021,vSphere,vm,Escalate vSphere vm,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-VM-00022,vSphere,vm,Reject vSphere vm,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-VM-00023,vSphere,vm,Delete vSphere vm,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,High
VSP-VM-00024,vSphere,vm,Validate vSphere vm,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-VM-00025,vSphere,vm,Validate vSphere vm,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-VM-00026,vSphere,vm,Update vSphere vm,vSphere test data ready,Open module > perform action > validate result,Success,Medium
VSP-VM-00027,vSphere,vm,Submit vSphere vm,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Medium
VSP-VM-00028,vSphere,vm,Validate vSphere vm,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-VM-00029,vSphere,vm,Edit vSphere vm,vSphere test data ready,Create record > route approval > verify status,Success,High
VSP-VM-00030,vSphere,vm,Route vSphere vm,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-VM-00031,vSphere,vm,Search vSphere vm,vSphere test data ready,Create record > route approval > verify status,Success,Medium
VSP-VM-00032,vSphere,vm,Clone vSphere vm,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-VM-00033,vSphere,vm,Clone vSphere vm,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,High
VSP-VM-00034,vSphere,vm,Create vSphere vm,vSphere test data ready,Open module > perform action > validate result,Success,Low
VSP-VM-00035,vSphere,vm,Edit vSphere vm,vSphere test data ready,Submit transaction > sync system > reconcile report,Success,Low
VSP-VM-00036,vSphere,vm,Update vSphere vm,vSphere test data ready,Create record > route approval > verify status,Success,Low
VSP-VM-00037,vSphere,vm,Clone vSphere vm,vSphere test data ready,Initiate integration > check queue > confirm completion,Success,Low
VSP-VM-00038,vSphere,vm,Submit vSphere vm,vSphere test data ready,Create record > route approval > verify status,Success,Medium
