Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
WOR-HCM-00001,Workday,hcm,Delete Workday hcm,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-HCM-00002,Workday,hcm,Approve Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-HCM-00003,Workday,hcm,Clone Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-HCM-00004,Workday,hcm,Escalate Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-HCM-00005,Workday,hcm,Archive Workday hcm,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-HCM-00006,Workday,hcm,Delete Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-HCM-00007,Workday,hcm,Restore Workday hcm,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-HCM-00008,Workday,hcm,Escalate Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-HCM-00009,Workday,hcm,Escalate Workday hcm,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-HCM-00010,Workday,hcm,Restore Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-HCM-00011,Workday,hcm,Restore Workday hcm,Workday test data ready,Create record > route approval > verify status,Success,High
WOR-HCM-00012,Workday,hcm,Archive Workday hcm,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-HCM-00013,Workday,hcm,Clone Workday hcm,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-HCM-00014,Workday,hcm,Validate Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-HCM-00015,Workday,hcm,Delete Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-HCM-00016,Workday,hcm,Search Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-HCM-00017,Workday,hcm,Delete Workday hcm,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-HCM-00018,Workday,hcm,Restore Workday hcm,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-HCM-00019,Workday,hcm,Delete Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-HCM-00020,Workday,hcm,Reject Workday hcm,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-HCM-00021,Workday,hcm,Delete Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-HCM-00022,Workday,hcm,Validate Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-HCM-00023,Workday,hcm,Approve Workday hcm,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-HCM-00024,Workday,hcm,Approve Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-HCM-00025,Workday,hcm,Validate Workday hcm,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-HCM-00026,Workday,hcm,Reject Workday hcm,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-HCM-00027,Workday,hcm,Restore Workday hcm,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-HCM-00028,Workday,hcm,Create Workday hcm,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-HCM-00029,Workday,hcm,Reject Workday hcm,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-HCM-00030,Workday,hcm,Create Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-HCM-00031,Workday,hcm,Create Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-HCM-00032,Workday,hcm,Submit Workday hcm,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-HCM-00033,Workday,hcm,Reject Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-HCM-00034,Workday,hcm,Archive Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-HCM-00035,Workday,hcm,Reject Workday hcm,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-HCM-00036,Workday,hcm,Restore Workday hcm,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-HCM-00037,Workday,hcm,Submit Workday hcm,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-HCM-00038,Workday,hcm,Archive Workday hcm,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-HCM-00039,Workday,hcm,Archive Workday hcm,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-HCM-00040,Workday,hcm,Delete Workday hcm,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-HCM-00041,Workday,hcm,Approve Workday hcm,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-HCM-00042,Workday,hcm,Route Workday hcm,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-HCM-00043,Workday,hcm,Search Workday hcm,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-HCM-00044,Workday,hcm,Clone Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-HCM-00045,Workday,hcm,Reject Workday hcm,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-HCM-00046,Workday,hcm,Edit Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-HCM-00047,Workday,hcm,Delete Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-HCM-00048,Workday,hcm,Submit Workday hcm,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-HCM-00049,Workday,hcm,Validate Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-HCM-00050,Workday,hcm,Search Workday hcm,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-HCM-00051,Workday,hcm,Submit Workday hcm,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-HCM-00052,Workday,hcm,Search Workday hcm,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-HCM-00053,Workday,hcm,Validate Workday hcm,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-HCM-00054,Workday,hcm,Escalate Workday hcm,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-HCM-00055,Workday,hcm,Delete Workday hcm,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-HCM-00056,Workday,hcm,Create Workday hcm,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-HCM-00057,Workday,hcm,Update Workday hcm,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-HCM-00058,Workday,hcm,Delete Workday hcm,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-HCM-00059,Workday,hcm,Delete Workday hcm,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-HCM-00060,Workday,hcm,Approve Workday hcm,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-HCM-00061,Workday,hcm,Delete Workday hcm,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-HCM-00062,Workday,hcm,Escalate Workday hcm,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-HCM-00063,Workday,hcm,Reject Workday hcm,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-HCM-00064,Workday,hcm,Validate Workday hcm,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-HCM-00065,Workday,hcm,Validate Workday hcm,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-HCM-00066,Workday,hcm,Escalate Workday hcm,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-HCM-00067,Workday,hcm,Search Workday hcm,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-HCM-00068,Workday,hcm,Approve Workday hcm,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
